Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR30163340,160767447,5166297178,32,5734,SRX25630286,GSM8444806,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274789,SAMN43067375,simple,9606,Homo sapiens,GSM8444806,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, Ribo-seq, rep1",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,WT,Ngn2 overexpression,missing,missing
SRR30163339,169753606,5487094378,32,6070,SRX25630287,GSM8444807,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274790,SAMN43067374,simple,9606,Homo sapiens,GSM8444807,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, Ribo-seq, rep2",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,WT,Ngn2 overexpression,missing,missing
SRR30163338,190456311,6089197559,31,6794,SRX25630288,GSM8444808,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274791,SAMN43067373,simple,9606,Homo sapiens,GSM8444808,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, Ribo-seq, rep3",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,WT,Ngn2 overexpression,missing,missing
SRR30163337,135368199,4331295319,32,4809,SRX25630289,GSM8444809,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274792,SAMN43067372,simple,9606,Homo sapiens,GSM8444809,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHwt/wt, Ribo-seq, rep1",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163336,182766898,5786939958,31,6483,SRX25630290,GSM8444810,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274793,SAMN43067371,simple,9606,Homo sapiens,GSM8444810,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHwt/wt, Ribo-seq, rep2",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163335,187021871,6039708944,32,6677,SRX25630291,GSM8444811,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274794,SAMN43067370,simple,9606,Homo sapiens,GSM8444811,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHwt/wt, Ribo-seq, rep3",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163334,23717445,7115233500,150,2149,SRX25630292,GSM8444812,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274795,SAMN43067369,simple,9606,Homo sapiens,GSM8444812,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, RNAseq, rep1",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163333,22809429,6842828700,150,2035,SRX25630293,GSM8444813,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274796,SAMN43067368,simple,9606,Homo sapiens,GSM8444813,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, RNAseq, rep2",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163332,25879510,7763853000,150,2296,SRX25630294,GSM8444814,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274797,SAMN43067367,simple,9606,Homo sapiens,GSM8444814,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHNterm/Nterm, RNAseq, rep3",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,LLPHNterm/Nterm,Ngn2 overexpression,missing,missing
SRR30163331,29496225,8848867500,150,2613,SRX25630295,GSM8444815,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP524765,PRJNA1145378,,"",SRS22274798,SAMN43067366,simple,9606,Homo sapiens,GSM8444815,"Wan Yue, Genome Institute of Singapore",SRA1968317,09,2024,Susanto,derived from H1-hESC,"H1 hiN D14, LLPHwt/wt, RNAseq, rep1",derived from H1-hESC,derived from H1-hESC,human induced neurons (hiNs) days in vitro (DIV) 14,WT,Ngn2 overexpression,missing,missing
