Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,biomaterial_provider,collection_date,geo_loc_name,tissue,cell_line,treatment,sample,BioSampleModel
SRR28178898,232910490,23291049000,100,7063,SRX23808964,6968-1,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP492776,PRJNA1082660,,"",SRS20631876,SAMN40214309,simple,9606,Homo sapiens,Puromycin-Untreated-in-WT-subclone,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for puromycin in untreated cells,HAP1,NKI,2022-08-04,Netherlands,HAP1,HAP1,-,Puromycin-Untreated-in-WT-subclone,Human
SRR28178897,151161217,15116121700,100,4610,SRX23808965,6968-2,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP492776,PRJNA1082660,,"",SRS20631876,SAMN40214309,simple,9606,Homo sapiens,Puromycin-Untreated-in-WT-subclone,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for puromycin in untreated cells,HAP1,NKI,2022-08-04,Netherlands,HAP1,HAP1,-,Puromycin-Untreated-in-WT-subclone,Human
SRR28178896,226589622,22658962200,100,6803,SRX23808966,6968-3,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP492776,PRJNA1082660,,"",SRS20631877,SAMN40214310,simple,9606,Homo sapiens,Puromycin-Etoposide-in-WT-subclone,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for puromycin in etoposide treated cells,HAP1,NKI,2022-08-04,Netherlands,HAP1,HAP1,5M etoposide for 3h,Puromycin-Etoposide-in-WT-subclone,Human
SRR28178895,273573317,27357331700,100,8141,SRX23808967,6968-4,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP492776,PRJNA1082660,,"",SRS20631877,SAMN40214310,simple,9606,Homo sapiens,Puromycin-Etoposide-in-WT-subclone,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for puromycin in etoposide treated cells,HAP1,NKI,2022-08-04,Netherlands,HAP1,HAP1,5M etoposide for 3h,Puromycin-Etoposide-in-WT-subclone,Human
SRR28178894,158231007,10285015455,65,4709,SRX23808968,6415-1,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631878,SAMN40214311,simple,9606,Homo sapiens,Active-caspase-3-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for cleaved caspase 3 in etoposide treated cells,HAP1,NKI,2021-04-21,Netherlands,HAP1,HAP1,5M etoposide for 4h,Active-caspase-3-in-WT-(5uM-etoposide-5h),Human
SRR28178893,263190438,17107378470,65,9641,SRX23808969,6415-2,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631878,SAMN40214311,simple,9606,Homo sapiens,Active-caspase-3-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for cleaved caspase 3 in etoposide treated cells,HAP1,NKI,2021-04-21,Netherlands,HAP1,HAP1,5M etoposide for 4h,Active-caspase-3-in-WT-(5uM-etoposide-5h),Human
SRR28178892,273969407,17808011455,65,9417,SRX23808970,6603-1,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631879,SAMN40214312,simple,9606,Homo sapiens,p-JNK-Etoposide-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for p-JNK in etoposide treated cells,HAP1,NKI,2021-09-14,Netherlands,HAP1,HAP1,5M etoposide for 3h,p-JNK-Etoposide-in-WT,Human
SRR28178891,274627635,17850796275,65,9418,SRX23808971,6603-2,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631879,SAMN40214312,simple,9606,Homo sapiens,p-JNK-Etoposide-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for p-JNK in etoposide treated cells,HAP1,NKI,2021-09-14,Netherlands,HAP1,HAP1,5M etoposide for 3h,p-JNK-Etoposide-in-WT,Human
SRR28178890,241451300,15694334500,65,7706,SRX23808972,6728-1,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631880,SAMN40214313,simple,9606,Homo sapiens,p-JNK-Anisomycin-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for p-JNK in anisomycin treated cells,HAP1,NKI,2022-02-01,Netherlands,HAP1,HAP1,5g/ml anisomycin for 1h,p-JNK-Anisomycin-in-WT,Human
SRR28178889,252685073,16424529745,65,8176,SRX23808973,6728-2,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP492776,PRJNA1082660,,"",SRS20631880,SAMN40214313,simple,9606,Homo sapiens,p-JNK-Anisomycin-in-WT,Netherlands Cancer Institute,SRA1814726,05,2024,Hekkelman,"",Intracellular phenotype screen for p-JNK in anisomycin treated cells,HAP1,NKI,2022-02-01,Netherlands,HAP1,HAP1,5g/ml anisomycin for 1h,p-JNK-Anisomycin-in-WT,Human
