Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,geo_loc_name,collection_date
SRR28770506,23423065,7026919500,150,2157,SRX24335688,GSM8221216,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095956,SAMN41045361,simple,9823,Sus scrofa,GSM8221216,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC1_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770505,17822428,5346728400,150,1627,SRX24335689,GSM8221217,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095957,SAMN41045360,simple,9823,Sus scrofa,GSM8221217,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC2_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770504,16808478,5042543400,150,1444,SRX24335690,GSM8221218,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095955,SAMN41045359,simple,9823,Sus scrofa,GSM8221218,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC3_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770503,15632935,4689880500,150,1444,SRX24335691,GSM8221219,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095958,SAMN41045358,simple,9823,Sus scrofa,GSM8221219,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC1_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
SRR28770502,21088686,6326605800,150,1935,SRX24335692,GSM8221220,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095959,SAMN41045357,simple,9823,Sus scrofa,GSM8221220,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC2_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
SRR28770501,3005148,901544400,150,285,SRX24335693,GSM8221221,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095960,SAMN41045356,simple,9823,Sus scrofa,GSM8221221,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC3_RNA,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
SRR28770500,82710318,4135515900,50,3252,SRX24335694,GSM8221222,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095961,SAMN41045355,simple,9823,Sus scrofa,GSM8221222,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC1_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770499,60809166,3040458300,50,2440,SRX24335695,GSM8221223,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095963,SAMN41045354,simple,9823,Sus scrofa,GSM8221223,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC2_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770498,92253700,4612685000,50,3650,SRX24335696,GSM8221224,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095962,SAMN41045353,simple,9823,Sus scrofa,GSM8221224,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,NC3_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,normal calcium,missing,missing
SRR28770497,48624769,2431238450,50,1942,SRX24335697,GSM8221226,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095964,SAMN41045352,simple,9823,Sus scrofa,GSM8221226,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC1_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
SRR28770496,61255965,3062798250,50,2477,SRX24335698,GSM8221227,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095965,SAMN41045351,simple,9823,Sus scrofa,GSM8221227,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC2_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
SRR28770495,67110942,3355547100,50,2725,SRX24335699,GSM8221228,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP503331,PRJNA1103142,38811812,"",SRS21095966,SAMN41045350,simple,9823,Sus scrofa,GSM8221228,"College of Animal Science and Technology, Guangxi University",SRA1850861,04,2024,Yu,the longissimus dorsi muscles,HC3_Ribo,the longissimus dorsi muscles,the longissimus dorsi muscles,calcium supplement,missing,missing
