Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,geo_loc_name,collection_date
SRR26060428,41030248,12309074400,150,5143,SRX21776544,GSM7780695,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881964,SAMN37395369,simple,5811,Toxoplasma gondii,GSM7780695,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RIBOseq_1,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060427,21224343,6367302900,150,2657,SRX21776545,GSM7780696,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881968,SAMN37395368,simple,5811,Toxoplasma gondii,GSM7780696,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RIBOseq_2,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060426,38544650,11563395000,150,4831,SRX21776546,GSM7780697,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881962,SAMN37395367,simple,5811,Toxoplasma gondii,GSM7780697,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RIBOseq_3,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060425,42545715,12763714500,150,5315,SRX21776547,GSM7780698,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881967,SAMN37395366,simple,5811,Toxoplasma gondii,GSM7780698,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RIBOseq_1,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060424,25892114,7767634200,150,3245,SRX21776548,GSM7780699,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881966,SAMN37395365,simple,5811,Toxoplasma gondii,GSM7780699,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RIBOseq_2,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060423,40837711,12251313300,150,5106,SRX21776549,GSM7780700,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881965,SAMN37395364,simple,5811,Toxoplasma gondii,GSM7780700,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RIBOseq_3,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060422,17599173,5279751900,150,2200,SRX21776550,GSM7780701,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881971,SAMN37395363,simple,5811,Toxoplasma gondii,GSM7780701,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RNAseq_1,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060421,33345607,10003682100,150,4149,SRX21776551,GSM7780702,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881963,SAMN37395362,simple,5811,Toxoplasma gondii,GSM7780702,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RNAseq_2,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060420,9231747,2769524100,150,1149,SRX21776552,GSM7780703,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881969,SAMN37395361,simple,5811,Toxoplasma gondii,GSM7780703,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_control_RNAseq_3,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060419,39828526,11948557800,150,4957,SRX21776553,GSM7780704,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881970,SAMN37395360,simple,5811,Toxoplasma gondii,GSM7780704,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RNAseq_1,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060418,48001905,14400571500,150,6165,SRX21776554,GSM7780705,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881972,SAMN37395359,simple,5811,Toxoplasma gondii,GSM7780705,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RNAseq_2,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
SRR26060417,24924883,7477464900,150,3103,SRX21776555,GSM7780706,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460544,PRJNA1017399,37873335,"",SRS18881973,SAMN37395358,simple,5811,Toxoplasma gondii,GSM7780706,"Pharmacology & Toxicology, Indiana University School of Medicine",SRA1711994,11,2023,Holmes,RH::TIR1 parental strain,eIF4E1_IAA_RNAseq_3,RH::TIR1 parental strain,RH::TIR1 parental strain,tachyzoites,missing,missing
