Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,collection_date,geo_loc_name,sample_type,Replicate,BioSampleModel
SRR26920259,58187787,2717962965,46,1148,SRX22614113,CCU-OE-1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619695,SAMN38221784,simple,4932,Saccharomyces cerevisiae,tRNA-CCU-OverExp-Rep1,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep1CCUOE,"Microbe, viral or environmental"
SRR26920258,88881253,4021986723,45,1689,SRX22614114,CCU-OE-2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619696,SAMN38221785,simple,4932,Saccharomyces cerevisiae,tRNA-CCU-OverExp-Rep2,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep2CCUOE,"Microbe, viral or environmental"
SRR26920257,113086880,5277501728,46,2163,SRX22614115,CCU-del-1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619697,SAMN38221786,simple,4932,Saccharomyces cerevisiae,tRNA-CCU-deletion-Rep1,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep1CCUdel,"Microbe, viral or environmental"
SRR26920256,115931915,5377111286,46,2252,SRX22614116,CCU-del-2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619698,SAMN38221787,simple,4932,Saccharomyces cerevisiae,tRNA-CCU-deletion-Rep2,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep2CCUdel,"Microbe, viral or environmental"
SRR26920255,72927670,3357606823,46,1399,SRX22614117,UCU-OE-1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619699,SAMN38221788,simple,4932,Saccharomyces cerevisiae,tRNA-UCU-OverExp-Rep1,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep1UCUOE,"Microbe, viral or environmental"
SRR26920254,64748926,2927636754,45,1227,SRX22614118,UCU-OE-2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619700,SAMN38221789,simple,4932,Saccharomyces cerevisiae,tRNA-UCU-OverExp-Rep2,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep2UCUOE,"Microbe, viral or environmental"
SRR26920253,111399489,5139517012,46,2119,SRX22614119,EV-1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619701,SAMN38221790,simple,4932,Saccharomyces cerevisiae,EmptyVector-WT-Rep1,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep1EV,"Microbe, viral or environmental"
SRR26920252,68387267,3072795587,44,1529,SRX22614120,EV-2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619702,SAMN38221791,simple,4932,Saccharomyces cerevisiae,EmptyVector-WT-Rep2,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep2EV,"Microbe, viral or environmental"
SRR26920251,116644722,5421779355,46,2223,SRX22614121,WT-1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619703,SAMN38221792,simple,4932,Saccharomyces cerevisiae,WT1-Rep1,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep1WT,"Microbe, viral or environmental"
SRR26920250,107013638,4950468547,46,2071,SRX22614122,WT-2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP473735,PRJNA1039557,,"",SRS19619704,SAMN38221793,simple,4932,Saccharomyces cerevisiae,WT2-Rep2,Stanford University,SRA1749222,09,2024,Aguilar Rangel,"","",BY4741,2016,"USA: California, Stanford",cell culture,Rep2WT,"Microbe, viral or environmental"
