Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,ecotype,dev_stage,collection_date,geo_loc_name,tissue,treatment,BioSampleModel
SRR30548772,11270781,3381234300,150,1101,SRX25972091,ABA-Col-0-1-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549599,SAMN43508903,simple,3702,Arabidopsis thaliana,ABA-Col-0-1-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-1-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548771,11423784,3427135200,150,1119,SRX25972092,ABA-Col-0-2-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549600,SAMN43508904,simple,3702,Arabidopsis thaliana,ABA-Col-0-2-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-2-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,ABA,Plant
SRR30548770,12224333,3667299900,150,1180,SRX25972093,Mock-g7g8-2-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549602,SAMN43508913,simple,3702,Arabidopsis thaliana,Mock-g7g8-2-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-2-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548769,11394860,3418458000,150,1107,SRX25972094,Mock-g7g8-3-RNA,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549604,SAMN43508914,simple,3702,Arabidopsis thaliana,Mock-g7g8-3-RNA,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-g7g8-3-RNA,Columbia,3 days after germination,2023-05,China: Beijing,Seedling,Mock,Plant
SRR30548768,26725733,8017719900,150,2679,SRX25972095,ABA-Col-0-CLIP-1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549606,SAMN43508915,simple,3702,Arabidopsis thaliana,ABA-Col-0-CLIP-1,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-CLIP-1,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,ABA,Plant
SRR30548767,22517618,6755285400,150,2258,SRX25972096,ABA-Col-0-CLIP-2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549605,SAMN43508916,simple,3702,Arabidopsis thaliana,ABA-Col-0-CLIP-2,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-Col-0-CLIP-2,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,ABA,Plant
SRR30548766,26400749,7920224700,150,2680,SRX25972097,ABA-G7-GFP-CLIP-1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549609,SAMN43508917,simple,3702,Arabidopsis thaliana,ABA-G7-GFP-CLIP-1,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-G7-GFP-CLIP-1,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,ABA,Plant
SRR30548765,24888071,7466421300,150,2499,SRX25972098,ABA-G7-GFP-CLIP-2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549607,SAMN43508918,simple,3702,Arabidopsis thaliana,ABA-G7-GFP-CLIP-2,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",ABA-G7-GFP-CLIP-2,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,ABA,Plant
SRR30548764,21904509,6571352700,150,2184,SRX25972099,Mock-Col-0-CLIP-1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549610,SAMN43508919,simple,3702,Arabidopsis thaliana,Mock-Col-0-CLIP-1,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-CLIP-1,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,Mock,Plant
SRR30548763,26094680,7828404000,150,2588,SRX25972100,Mock-Col-0-CLIP-2,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549608,SAMN43508920,simple,3702,Arabidopsis thaliana,Mock-Col-0-CLIP-2,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-Col-0-CLIP-2,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,Mock,Plant
SRR30548762,28649269,8594780700,150,2892,SRX25972101,Mock-G7-GFP-CLIP-1,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP530528,PRJNA1157223,,"",SRS22549626,SAMN43508921,simple,3702,Arabidopsis thaliana,Mock-G7-GFP-CLIP-1,Institute of Genetics and Developmental Biology,SRA1963195,11,2024,Xu,"","",Mock-G7-GFP-CLIP-1,Columbia,3 days after germination,2023-07,China: Beijing,Seedling,Mock,Plant
