Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,nuclease treatment,rrna depletion,genotype,treatment,molecule type,geo_loc_name,collection_date
SRR23689222,33210199,2490764925,75,801,SRX19551722,GSM7078140,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936802,SAMN33572029,simple,3702,Arabidopsis thaliana,GSM7078140,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 75 U MNase",8-day old seedlings,8-day old seedlings,75 Units MNase,no,Wild type,RPFs generated using 75 U MNase,ribosome protected fragment,missing,missing
SRR23689221,35015539,2626165425,75,868,SRX19551723,GSM7078141,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936803,SAMN33572028,simple,3702,Arabidopsis thaliana,GSM7078141,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 150 U MNase",8-day old seedlings,8-day old seedlings,150 Units MNase,no,Wild type,RPFs generated using 150 U MNase,ribosome protected fragment,missing,missing
SRR23689220,28415135,2131135125,75,705,SRX19551724,GSM7078142,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936804,SAMN33572027,simple,3702,Arabidopsis thaliana,GSM7078142,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 300 U MNase",8-day old seedlings,8-day old seedlings,300 Units MNase,no,Wild type,RPFs generated using 300 U MNase,ribosome protected fragment,missing,missing
SRR23689219,26284530,1971339750,75,645,SRX19551725,GSM7078143,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936805,SAMN33572026,simple,3702,Arabidopsis thaliana,GSM7078143,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 63 U RNaseI",8-day old seedlings,8-day old seedlings,63 Units RNaseI,no,Wild type,RPFs generated using 62.5 U RNaseI,ribosome protected fragment,missing,missing
SRR23689218,33897465,2542309875,75,824,SRX19551726,GSM7078144,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936806,SAMN33572025,simple,3702,Arabidopsis thaliana,GSM7078144,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 125 U RNaseI",8-day old seedlings,8-day old seedlings,125 Units RNaseI,no,Wild type,RPFs generated using 125 U RNaseI,ribosome protected fragment,missing,missing
SRR23689217,36665618,2749921350,75,924,SRX19551727,GSM7078145,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936807,SAMN33572024,simple,3702,Arabidopsis thaliana,GSM7078145,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,8-day old seedlings,"Ath RPFs, 250 U RNaseI",8-day old seedlings,8-day old seedlings,250 Units RNaseI,no,Wild type,RPFs generated using 250 U RNaseI,ribosome protected fragment,missing,missing
SRR23689216,29926494,2244487050,75,699,SRX19551728,GSM7078146,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936808,SAMN33572023,simple,3702,Arabidopsis thaliana,GSM7078146,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, 400 U RNaseI",14-day old seedlings,14-day old seedlings,400 Units RNaseI,no,Wild type,RPFs generated using 400 U RNaseI,ribosome protected fragment,missing,missing
SRR23689215,29903835,2242787625,75,699,SRX19551729,GSM7078147,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936809,SAMN33572022,simple,3702,Arabidopsis thaliana,GSM7078147,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, 550 U RNaseI",14-day old seedlings,14-day old seedlings,550 Units RNaseI,no,Wild type,RPFs generated using 550 U RNaseI,ribosome protected fragment,missing,missing
SRR23689214,38334171,2875062825,75,899,SRX19551730,GSM7078148,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936810,SAMN33572021,simple,3702,Arabidopsis thaliana,GSM7078148,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, 700 U RNaseI",14-day old seedlings,14-day old seedlings,700 Units RNaseI,no,Wild type,RPFs generated using 700 U RNaseI,ribosome protected fragment,missing,missing
SRR23689213,34623996,2596799700,75,819,SRX19551731,GSM7078149,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936811,SAMN33572020,simple,3702,Arabidopsis thaliana,GSM7078149,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, 700 U RNaseI, replicate2",14-day old seedlings,14-day old seedlings,700 Units RNaseI,no,Wild type,RPFs generated using 700 U RNaseI,ribosome protected fragment,missing,missing
SRR23689212,10866466,814984950,75,254,SRX19551732,GSM7078150,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936812,SAMN33572019,simple,3702,Arabidopsis thaliana,GSM7078150,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, rRNA depletion version 1",14-day old seedlings,14-day old seedlings,600 Units RNaseI,yes,Wild type,RPFs treated with rRNA depletion version 1,ribosome protected fragment,missing,missing
SRR23689211,8236538,617740350,75,192,SRX19551733,GSM7078151,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936813,SAMN33572018,simple,3702,Arabidopsis thaliana,GSM7078151,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, rRNA depletion version 2",14-day old seedlings,14-day old seedlings,600 Units RNaseI,yes,Wild type,RPFs treated with rRNA depletion version 2,ribosome protected fragment,missing,missing
SRR23689210,39355100,2951632500,75,969,SRX19551734,GSM7078152,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP425357,PRJNA940452,,"",SRS16936814,SAMN33572017,simple,4097,Nicotiana tabacum,GSM7078152,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,leaves harvested from 28-day old plants,"Nta RPFs, no rRNA depletion",leaves harvested from 28-day old plants,leaves harvested from 28-day old plants,250 Units RNaseI,no,Wild type,RPFs without rRNA depletion,ribosome protected fragment,missing,missing
SRR23689209,51562981,5156298100,100,1588,SRX19551735,GSM7078153,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425357,PRJNA940452,,"",SRS16936815,SAMN33572016,simple,4097,Nicotiana tabacum,GSM7078153,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1598755,07,2024,Zoschke,leaves harvested from 28-day old plants,"Nta RPFs, with rRNA depletion",leaves harvested from 28-day old plants,leaves harvested from 28-day old plants,600 Units RNaseI,yes,Wild type,RPFs with rRNA depletion,ribosome protected fragment,missing,missing
SRR25180998,5854192,585419200,100,199,SRX20928719,GSM7566849,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425357,PRJNA940452,,"",SRS18204657,SAMN36345866,simple,3702,Arabidopsis thaliana,GSM7566849,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1668852,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, ligation-based Ribo-seq",14-day old seedlings,14-day old seedlings,600 Units RNaseI,yes,Wild type,,ribosome protected fragment,missing,missing
SRR25180997,9417781,941778100,100,346,SRX20928720,GSM7566850,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425357,PRJNA940452,,"",SRS18204658,SAMN36345865,simple,3702,Arabidopsis thaliana,GSM7566850,"Zoschke Lab, Max Planck Institute of Molecular Plant Physiology",SRA1668852,07,2024,Zoschke,14-day old seedlings,"Ath RPFs, ligation-free Ribo-seq",14-day old seedlings,14-day old seedlings,600 Units RNaseI,yes,Wild type,,ribosome protected fragment,missing,missing
