Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,organism,collection date,scientific_name,common name,geographic location (country and/or sea),ENA-LAST-UPDATE
ERR12549891,29366258,5874137298,100,2124,ERX11924169,hs_CM_BIHi242-C1_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985205,SAMEA115164736,simple,9606,Homo sapiens,hs_CM_BIHi242-C1_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Homo sapiens,not provided,Homo sapiens,human,Netherlands,2024-01-30
ERR12549939,307467380,15680836380,51,6261,ERX11924217,gg_CM_AssumboSK09_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985204,SAMEA115164735,simple,9593,Gorilla gorilla,gg_CM_AssumboSK09_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549917,130029789,6631519239,51,2618,ERX11924195,pt_lv_Barney_Ri,Ribo-seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985172,SAMEA115164704,simple,9598,Pan troglodytes,pt_lv_Barney_Ri,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295695,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549913,21929414,4380248565,99,1600,ERX11924191,rm_iPS_WT103_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985229,SAMEA115164758,simple,9544,Macaca mulatta,rm_iPS_WT103_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
ERR12549916,52965339,7995213270,75,2751,ERX11924194,gg_iPS_Gorilla03_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985232,SAMEA115164761,simple,9593,Gorilla gorilla,gg_iPS_Gorilla03_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549908,52579495,7937385771,75,2742,ERX11924186,pt_iPS_Chimp01_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985223,SAMEA115164753,simple,9598,Pan troglodytes,pt_iPS_Chimp01_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549898,66735548,10072077695,75,3467,ERX11924176,pt_CM_KarlchenDM07_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985213,SAMEA115164743,simple,9598,Pan troglodytes,pt_CM_KarlchenDM07_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Pan troglodytes,not provided,Pan troglodytes,chimpanzee,Netherlands,2024-01-30
ERR12549915,74191833,11197346066,75,4032,ERX11924193,gg_iPS_Gorilla02_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985231,SAMEA115164760,simple,9593,Gorilla gorilla,gg_iPS_Gorilla02_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549903,77172742,11643565713,75,4036,ERX11924181,gg_CM_AssumboDM05_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985218,SAMEA115164748,simple,9593,Gorilla gorilla,gg_CM_AssumboDM05_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Gorilla gorilla,not provided,Gorilla gorilla,western gorilla,Netherlands,2024-01-30
ERR12549901,29644164,5929296414,100,2121,ERX11924179,rm_CM_WT103_mR,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP150947,PRJEB65856,,"",ERS17985216,SAMEA115164746,simple,9544,Macaca mulatta,rm_CM_WT103_mR,"Max Delbrück Center for Molecular Medicine, Berlin-Buch, Germany",ERA28295694,02,2024,"","","",Macaca mulatta,not provided,Macaca mulatta,Rhesus monkey,Netherlands,2024-01-30
