Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,BioSampleModel
SRR28476232,9999629,246864938,24,58,SRX24079030,WT_1_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869066,SAMN40631732,simple,562,Escherichia coli,wild type replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25113,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476231,19135819,2774365882,144,244,SRX24079031,WT_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869066,SAMN40631732,simple,562,Escherichia coli,wild type replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25113,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476230,8881835,220934339,24,50,SRX24079032,dEFPL_3_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869067,SAMN40631736,simple,562,Escherichia coli,JW5362 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25117,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476229,20265428,2964271269,146,283,SRX24079033,dEFPL_3_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869067,SAMN40631736,simple,562,Escherichia coli,JW5362 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25117,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476228,7764406,184863897,23,42,SRX24079034,dEFP_1_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869068,SAMN40631738,simple,562,Escherichia coli,JW4107 replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25119,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476227,19812239,2902428760,146,264,SRX24079035,dEFP_1_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869068,SAMN40631738,simple,562,Escherichia coli,JW4107 replicate 1,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25119,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476226,9674200,232704263,24,52,SRX24079036,dEFP_2_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869069,SAMN40631739,simple,562,Escherichia coli,JW4107 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25120,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476225,21430674,3020816254,140,291,SRX24079037,dEFP_2_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869069,SAMN40631739,simple,562,Escherichia coli,JW4107 replicate 2,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25120,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476224,11102222,271641302,24,57,SRX24079038,dEFP_3_ribo,Ribo-seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869070,SAMN40631740,simple,562,Escherichia coli,JW4107 replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25121,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
SRR28476223,24420121,3533816026,144,342,SRX24079039,dEFP_3_rna,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP498199,PRJNA1092679,,"",SRS20869070,SAMN40631740,simple,562,Escherichia coli,JW4107 replicate 3,Ludwig Maximilian University,SRA1834624,10,2024,Parr,"","",BW25121,Lab strain,not applicable,not applicable,cell culture,"Microbe, viral or environmental"
