Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,GEO Accession
SRR15912575,21798149,655936481,30,255,SRX12202936,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179516,SAMN21450306,simple,9606,Homo sapiens,GSM5582398,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_naive_DMSO_replicate1,HEK293 T-REx,HEK293 T-REx,Naive,DMSO,GSM5582398
SRR15912576,31178877,934457224,29,365,SRX12202937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179517,SAMN21450307,simple,9606,Homo sapiens,GSM5582399,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_naive_DMSO_replicate2,HEK293 T-REx,HEK293 T-REx,Naive,DMSO,GSM5582399
SRR15912577,13473209,406914335,30,157,SRX12202938,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179518,SAMN21450308,simple,9606,Homo sapiens,GSM5582400,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_naive_PP242_10uM,HEK293 T-REx,HEK293 T-REx,Naive,PP242 10 microM,GSM5582400
SRR15912578,20944474,632938206,30,246,SRX12202939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179519,SAMN21450309,simple,9606,Homo sapiens,GSM5582401,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_naive_PP242_1uM,HEK293 T-REx,HEK293 T-REx,Naive,PP242 1 microM,GSM5582401
SRR15912579,11222885,337812272,30,132,SRX12202940,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10193164,SAMN21450310,simple,9606,Homo sapiens,GSM5582402,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A1KO_DMSO_replicate1,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,DMSO,GSM5582402
SRR15912580,10068073,303415549,30,120,SRX12202941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10193165,SAMN21450311,simple,9606,Homo sapiens,GSM5582403,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A1KO_DMSO_replicate2,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,DMSO,GSM5582403
SRR15912581,29590780,894821348,30,343,SRX12202942,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179520,SAMN21450312,simple,9606,Homo sapiens,GSM5582404,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A1KO_PP242_10uM,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,PP242 10 microM,GSM5582404
SRR15912582,22189793,669342529,30,258,SRX12202943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179521,SAMN21450313,simple,9606,Homo sapiens,GSM5582405,GEO,SRA1295324,02,2024,"",HEK293 T-REx,Ribo_4A1KO_PP242_1uM,HEK293 T-REx,HEK293 T-REx,EIF4A1 KO,PP242 1 microM,GSM5582405
SRR15912587,27236448,1361607275,49,872,SRX12202948,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179526,SAMN21450289,simple,9606,Homo sapiens,GSM5582410,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_input_replicate1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,,GSM5582410
SRR15912588,28936579,1446619419,49,927,SRX12202949,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179527,SAMN21450290,simple,9606,Homo sapiens,GSM5582411,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_input_replicate2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,,GSM5582411
SRR15912589,21314392,1065517293,49,575,SRX12202950,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179528,SAMN21450291,simple,9606,Homo sapiens,GSM5582412,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_pulldown_replicate1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,,GSM5582412
SRR15912590,23556487,1177635141,49,635,SRX12202951,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179529,SAMN21450292,simple,9606,Homo sapiens,GSM5582413,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_pulldown_replicate2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,,GSM5582413
SRR15912595,32063615,1635013015,50,555,SRX12202956,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179534,SAMN21450296,simple,9606,Homo sapiens,GSM5582418,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siControl_input_replicate1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,Control siRNA,GSM5582418
SRR15912596,23106725,1178286080,50,402,SRX12202957,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179535,SAMN21450297,simple,9606,Homo sapiens,GSM5582419,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siControl_input_replicate2,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,Control siRNA,GSM5582419
SRR15912597,32219713,1642954115,50,563,SRX12202958,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP337382,PRJNA763797,,"",SRS10179536,SAMN21450317,simple,9606,Homo sapiens,GSM5582420,GEO,SRA1295324,02,2024,"",HEK293 T-REx,RIP_4A1_siControl_pulldown_replicate1,HEK293 T-REx,HEK293 T-REx,SBP-eIF4A1,Control siRNA,GSM5582420
