Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR30609954,56040579,3642637635,65,1670,SRX26032521,GSM8504205,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP531679,PRJNA1158720,39588782,"",SRS22604086,SAMN43552147,simple,9606,Homo sapiens,GSM8504205,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Melanoma,MD55A3_WT_1,Melanoma,Melanoma,MD55A3,Melanoma cancer,WT,WT,missing,missing
SRR30609953,65216930,4239100450,65,1932,SRX26032522,GSM8504206,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP531679,PRJNA1158720,39588782,"",SRS22604082,SAMN43552146,simple,9606,Homo sapiens,GSM8504206,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Melanoma,MD55A3_Leucine_depletion_1,Melanoma,Melanoma,MD55A3,Melanoma cancer,WT,Leucine depletion,missing,missing
SRR30609952,68566363,5142477225,75,2174,SRX26032523,GSM8504207,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604085,SAMN43552145,simple,9606,Homo sapiens,GSM8504207,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_WT_1,Prostate,Prostate,PC3,Prostate cancer,WT,WT,missing,missing
SRR30609951,25496178,1912213350,75,801,SRX26032524,GSM8504208,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604098,SAMN43552144,simple,9606,Homo sapiens,GSM8504208,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_WT_2,Prostate,Prostate,PC3,Prostate cancer,WT,WT,missing,missing
SRR30609950,90647426,6798556950,75,2804,SRX26032525,GSM8504209,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604091,SAMN43552143,simple,9606,Homo sapiens,GSM8504209,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_Leucine_depletion_1,Prostate,Prostate,PC3,Prostate cancer,WT,Leucine depletion,missing,missing
SRR30609949,71070711,5330303325,75,2202,SRX26032526,GSM8504210,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604087,SAMN43552142,simple,9606,Homo sapiens,GSM8504210,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_Leucine_depletion_2,Prostate,Prostate,PC3,Prostate cancer,WT,Leucine depletion,missing,missing
SRR30609948,109492719,8211953925,75,3461,SRX26032527,GSM8504211,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604088,SAMN43552141,simple,9606,Homo sapiens,GSM8504211,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_Etoposide_1,Prostate,Prostate,PC3,Prostate cancer,WT,Etoposide treatment,missing,missing
SRR30609947,56907666,4268074950,75,1754,SRX26032528,GSM8504212,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604090,SAMN43552140,simple,9606,Homo sapiens,GSM8504212,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Prostate,PC3_Etoposide_2,Prostate,Prostate,PC3,Prostate cancer,WT,Etoposide treatment,missing,missing
SRR30609946,17277453,1295808975,75,481,SRX26032529,GSM8504213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604094,SAMN43552139,simple,9606,Homo sapiens,GSM8504213,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_WT_1,Breast,Breast,MDA-MB-231,Breast cancer,WT,WT,missing,missing
SRR30609945,44900309,3367523175,75,1228,SRX26032530,GSM8504214,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604089,SAMN43552138,simple,9606,Homo sapiens,GSM8504214,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_WT_2,Breast,Breast,MDA-MB-231,Breast cancer,WT,WT,missing,missing
SRR30609944,35233543,2642515725,75,972,SRX26032531,GSM8504215,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604096,SAMN43552137,simple,9606,Homo sapiens,GSM8504215,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_Leucine_depletion_1,Breast,Breast,MDA-MB-231,Breast cancer,WT,Leucine depletion,missing,missing
SRR30609943,38642204,2898165300,75,1071,SRX26032532,GSM8504216,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604092,SAMN43552136,simple,9606,Homo sapiens,GSM8504216,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_Leucine_depletion_2,Breast,Breast,MDA-MB-231,Breast cancer,WT,Leucine depletion,missing,missing
SRR30609942,35012180,2625913500,75,975,SRX26032533,GSM8504217,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604095,SAMN43552135,simple,9606,Homo sapiens,GSM8504217,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_TAA_overexpression_WT_1,Breast,Breast,MDA-MB-231,Breast cancer,tRNA-TAA_overexpression,tRNA-TAA_overexpression_WT_1,missing,missing
SRR30609941,31944992,2395874400,75,897,SRX26032534,GSM8504218,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604093,SAMN43552134,simple,9606,Homo sapiens,GSM8504218,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_TAA_overexpression_WT_2,Breast,Breast,MDA-MB-231,Breast cancer,tRNA-TAA_overexpression,tRNA-TAA_overexpression_WT_2,missing,missing
SRR30609940,24496370,1837227750,75,661,SRX26032535,GSM8504219,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604103,SAMN43552133,simple,9606,Homo sapiens,GSM8504219,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_TAA_overexpression_Leu_depletion_1,Breast,Breast,MDA-MB-231,Breast cancer,tRNA-TAA_overexpression,tRNA-TAA_overexpression_Leucine_depletion_1,missing,missing
SRR30609939,9567398,717554850,75,262,SRX26032536,GSM8504220,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604097,SAMN43552132,simple,9606,Homo sapiens,GSM8504220,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_TAA_overexpression_Leu_depletion_2,Breast,Breast,MDA-MB-231,Breast cancer,tRNA-TAA_overexpression,tRNA-TAA_overexpression_Leucine_depletion_2,missing,missing
SRR30609938,25698319,1927373925,75,712,SRX26032537,GSM8504221,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604099,SAMN43552131,simple,9606,Homo sapiens,GSM8504221,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_CAA_overexpression_WT_1,Breast,Breast,MDA-MB-231,Breast cancer,tRNA_CAA_overexpression,tRNA_CAA_overexpression_WT_1,missing,missing
SRR30609937,27134871,2035115325,75,739,SRX26032538,GSM8504222,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604100,SAMN43552130,simple,9606,Homo sapiens,GSM8504222,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_CAA_overexpression_WT_2,Breast,Breast,MDA-MB-231,Breast cancer,tRNA_CAA_overexpression,tRNA_CAA_overexpression_WT_2,missing,missing
SRR30609936,36689279,2751695925,75,993,SRX26032539,GSM8504223,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604101,SAMN43552129,simple,9606,Homo sapiens,GSM8504223,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_CAA_overexpression_Leu_depletion_1,Breast,Breast,MDA-MB-231,Breast cancer,tRNA_CAA_overexpression,tRNA_CAA_overexpression_Leucine_depletion_1,missing,missing
SRR30609935,34194475,2564585625,75,956,SRX26032540,GSM8504224,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP531679,PRJNA1158720,39588782,"",SRS22604102,SAMN43552128,simple,9606,Homo sapiens,GSM8504224,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1967258,12,2024,Kochavi,Breast,MDA-MB-231_tRNA_CAA_overexpression_Leu_depletion_2,Breast,Breast,MDA-MB-231,Breast cancer,tRNA_CAA_overexpression,tRNA_CAA_overexpression_Leucine_depletion_2,missing,missing
SRR30831888,15895205,1716682140,54,763,SRX26231162,GSM8545402,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP531679,PRJNA1158720,39588782,"",SRS22772734,SAMN43978680,simple,9606,Homo sapiens,GSM8545402,"Oncogenomics, Netherlands Cancer Institute (NKI)",SRA1981728,12,2024,Kochavi,Breast,MDA-MD-231_Ctrl1,Breast,Breast,MDA-MB-231,Breast cancer,WT,WT,missing,missing
