Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,geo_loc_name,collection_date
SRR29164336,28531451,1826012864,64,607,SRX24684605,GSM8289640,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418887,SAMN41526234,simple,9606,Homo sapiens,GSM8289640,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 0h_rep1_SLAM3,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164335,36527019,2337729216,64,782,SRX24684606,GSM8289641,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418888,SAMN41526233,simple,9606,Homo sapiens,GSM8289641,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 0h_rep2_SLAM4,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164334,43266697,2769068608,64,921,SRX24684607,GSM8289642,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418889,SAMN41526232,simple,9606,Homo sapiens,GSM8289642,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 1h_rep1_SLAM7,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164333,42104332,2694677248,64,902,SRX24684608,GSM8289643,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418890,SAMN41526231,simple,9606,Homo sapiens,GSM8289643,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 1h_rep2_SLAM8,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164332,36124013,2311936832,64,776,SRX24684609,GSM8289644,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418891,SAMN41526230,simple,9606,Homo sapiens,GSM8289644,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 2h_rep1_SLAM11,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164331,116637158,7464778112,64,2454,SRX24684610,GSM8289645,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418892,SAMN41526229,simple,9606,Homo sapiens,GSM8289645,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 2h_rep2_SLAM12,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164330,44298736,2835119104,64,943,SRX24684611,GSM8289646,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418893,SAMN41526228,simple,9606,Homo sapiens,GSM8289646,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 4h_rep1_SLAM15,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164329,91712748,5869615872,64,1928,SRX24684612,GSM8289647,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418894,SAMN41526227,simple,9606,Homo sapiens,GSM8289647,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 4h_rep2_SLAM16,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164328,38793681,2482795584,64,824,SRX24684613,GSM8289648,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418895,SAMN41526226,simple,9606,Homo sapiens,GSM8289648,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 8h_rep1_SLAM19,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
SRR29164327,97629530,6248289920,64,2045,SRX24684614,GSM8289649,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP509791,PRJNA1116215,39571015,"",SRS21418897,SAMN41526225,simple,9606,Homo sapiens,GSM8289649,"Molecular Biology, UT Southwestern Medical Center",SRA1877376,11,2024,Zhu,Human embryonic kidney,sgCNOT3-chase 8h_rep2_SLAM20,Human embryonic kidney,Human embryonic kidney,HEK293T,CNOT3-knockout,missing,missing
