Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,cell type,knock-out,time point,GEO Accession
SRR12146090,98400085,24600021250,125,10862,SRX8666814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947383,SAMN15448003,simple,10090,Mus musculus,GSM4654311,GEO,SRA1094715,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 1 [RNA-seq]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654311
SRR12146091,96558602,24139650500,125,10898,SRX8666815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947384,SAMN15448002,simple,10090,Mus musculus,GSM4654312,GEO,SRA1094715,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 2 [RNA-seq]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654312
SRR12146092,94963792,23740948000,125,10546,SRX8666816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947385,SAMN15448001,simple,10090,Mus musculus,GSM4654313,GEO,SRA1094715,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 3 [RNA-seq]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654313
SRR12146093,96374564,24093641000,125,11057,SRX8666817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947386,SAMN15448000,simple,10090,Mus musculus,GSM4654314,GEO,SRA1094715,08,2024,"","Sam68 KO, time 10","Sam68 KO, time 10, replicate 1 [RNA-seq]","Sam68 KO, time 10",E14,mouse embryonic stem cells,Sam68,t10,GSM4654314
SRR12146094,96993670,24248417500,125,10816,SRX8666818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947387,SAMN15447999,simple,10090,Mus musculus,GSM4654315,GEO,SRA1094715,08,2024,"","Sam68 KO, time 10","Sam68 KO, time 10, replicate 2 [RNA-seq]","Sam68 KO, time 10",E14,mouse embryonic stem cells,Sam68,t10,GSM4654315
SRR12146095,94604876,23651219000,125,10579,SRX8666819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947388,SAMN15447998,simple,10090,Mus musculus,GSM4654316,GEO,SRA1094715,08,2024,"","Sam68 KO, time 10","Sam68 KO, time 10, replicate 3 [RNA-seq]","Sam68 KO, time 10",E14,mouse embryonic stem cells,Sam68,t10,GSM4654316
SRR12146096,99029940,24757485000,125,10949,SRX8666820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947389,SAMN15447997,simple,10090,Mus musculus,GSM4654317,GEO,SRA1094715,08,2024,"","Sam68 KO, time 3","Sam68 KO, time 3, replicate 1 [RNA-seq]","Sam68 KO, time 3",E14,mouse embryonic stem cells,Sam68,t3,GSM4654317
SRR12146097,95071630,23767907500,125,10540,SRX8666821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947390,SAMN15447996,simple,10090,Mus musculus,GSM4654318,GEO,SRA1094715,08,2024,"","Sam68 KO, time 3","Sam68 KO, time 3, replicate 2 [RNA-seq]","Sam68 KO, time 3",E14,mouse embryonic stem cells,Sam68,t3,GSM4654318
SRR12146098,96327740,24081935000,125,10816,SRX8666822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947391,SAMN15447995,simple,10090,Mus musculus,GSM4654319,GEO,SRA1094715,08,2024,"","Sam68 KO, time 3","Sam68 KO, time 3, replicate 3 [RNA-seq]","Sam68 KO, time 3",E14,mouse embryonic stem cells,Sam68,t3,GSM4654319
SRR12146099,87689985,21922496250,125,9528,SRX8666823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947392,SAMN15447994,simple,10090,Mus musculus,GSM4654320,GEO,SRA1094715,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 1 [RNA-seq]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654320
SRR12146100,93340179,23335044750,125,10407,SRX8666824,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947393,SAMN15447993,simple,10090,Mus musculus,GSM4654321,GEO,SRA1094715,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 1 [RNA-seq]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654321
SRR12146101,92152304,23038076000,125,10062,SRX8666825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947394,SAMN15448043,simple,10090,Mus musculus,GSM4654322,GEO,SRA1094715,08,2024,"","Quaking KO, time 3","Quaking KO, time 3, replicate 1 [RNA-seq]","Quaking KO, time 3",E14,mouse embryonic stem cells,Quaking,t3,GSM4654322
SRR12146102,90686885,22671721250,125,9880,SRX8666826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947395,SAMN15448042,simple,10090,Mus musculus,GSM4654323,GEO,SRA1094715,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 2 [RNA-seq]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654323
SRR12146103,90441821,22610455250,125,9938,SRX8666827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947396,SAMN15448041,simple,10090,Mus musculus,GSM4654324,GEO,SRA1094715,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 2 [RNA-seq]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654324
SRR12146104,92579852,23144963000,125,10278,SRX8666828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947397,SAMN15448040,simple,10090,Mus musculus,GSM4654325,GEO,SRA1094715,08,2024,"","Quaking KO, time 3","Quaking KO, time 3, replicate 2 [RNA-seq]","Quaking KO, time 3",E14,mouse embryonic stem cells,Quaking,t3,GSM4654325
SRR12146105,89701699,22425424750,125,9713,SRX8666829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270009,PRJNA644121,,"",SRS6947398,SAMN15448039,simple,10090,Mus musculus,GSM4654326,GEO,SRA1094715,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 3 [RNA-seq]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654326
