Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,geo_loc_name,collection_date
SRR26405675,21059223,6317766900,150,1857,SRX22111246,GSM7841586,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175665,SAMN37810168,simple,7227,Drosophila melanogaster,GSM7841586,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 WT 5,heads,heads,heads,WT,missing,missing
SRR26405674,22808230,2280823000,50,1047,SRX22111247,GSM7841587,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175666,SAMN37810167,simple,7227,Drosophila melanogaster,GSM7841587,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 A224T 1,heads,heads,heads,A224T,missing,missing
SRR26405673,23139381,2313938100,50,1051,SRX22111248,GSM7841588,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175667,SAMN37810166,simple,7227,Drosophila melanogaster,GSM7841588,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 A224T 2,heads,heads,heads,A224T,missing,missing
SRR26405672,22453002,2245300200,50,1031,SRX22111249,GSM7841589,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175668,SAMN37810165,simple,7227,Drosophila melanogaster,GSM7841589,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 A224T 3,heads,heads,heads,A224T,missing,missing
SRR26405671,4185053,1248242585,149,359,SRX22111250,GSM7841590,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175669,SAMN37810164,simple,7227,Drosophila melanogaster,GSM7841590,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 D234G 1,heads,heads,heads,D234G,missing,missing
SRR26405670,5451430,1623850708,148,464,SRX22111251,GSM7841591,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175670,SAMN37810163,simple,7227,Drosophila melanogaster,GSM7841591,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 D234G 2,heads,heads,heads,D234G,missing,missing
SRR26405669,21688317,6506495100,150,1875,SRX22111252,GSM7841592,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175671,SAMN37810162,simple,7227,Drosophila melanogaster,GSM7841592,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 D234G 3,heads,heads,heads,D234G,missing,missing
SRR26405668,20685933,2068593300,50,1115,SRX22111253,GSM7841593,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175672,SAMN37810161,simple,7227,Drosophila melanogaster,GSM7841593,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 JmjC 1,heads,heads,heads,JmjC,missing,missing
SRR26405667,19380153,1938015300,50,1014,SRX22111254,GSM7841594,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175673,SAMN37810160,simple,7227,Drosophila melanogaster,GSM7841594,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 JmjC 2,heads,heads,heads,JmjC,missing,missing
SRR26405666,19256362,1925636200,50,1047,SRX22111255,GSM7841595,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP466714,PRJNA1027912,1,"",SRS19175674,SAMN37810159,simple,7227,Drosophila melanogaster,GSM7841595,"Julie Secombe, Genetics, Albert Einstein College of Medicine",SRA1731693,11,2023,Makar,heads,KDM5 JmjC 3,heads,heads,heads,JmjC,missing,missing
