Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,host ecotype,treatment,tissue,sample type,ecotype
SRR18083507,58415010,8820666510,151,3676,SRX14235004,GSM5908104,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP360703,PRJNA808784,,"",SRS12056002,SAMN26105125,simple,3702,Arabidopsis thaliana,GSM5908104,"RNA computational biology, langebio, cinvestav",SRA1578055,09,2024,Sanchez,"plant leaves, fungal hyphae",At_EV_Infected 1,"plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",extracellular vesicles,
SRR18083506,54064631,8163759281,151,3423,SRX14235005,GSM5908105,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP360703,PRJNA808784,,"",SRS12056003,SAMN26105124,simple,3702,Arabidopsis thaliana,GSM5908105,"RNA computational biology, langebio, cinvestav",SRA1578055,09,2024,Sanchez,"plant leaves, fungal hyphae",At_EV_Infected 2,"plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",extracellular vesicles,
SRR18083505,57932523,8747810973,151,3658,SRX14235006,GSM5908106,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP360703,PRJNA808784,,"",SRS12056005,SAMN26105123,simple,3702,Arabidopsis thaliana,GSM5908106,"RNA computational biology, langebio, cinvestav",SRA1578055,09,2024,Sanchez,"plant leaves, fungal hyphae",At_EV_Infected 3,"plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",extracellular vesicles,
SRR18083504,3849122,388761322,101,113,SRX14235007,GSM5908107,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056004,SAMN26105122,simple,3702,Arabidopsis thaliana,GSM5908107,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","At, total, control, 1","plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",total tissue,
SRR18083503,3454794,348934194,101,102,SRX14235008,GSM5908108,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056006,SAMN26105121,simple,3702,Arabidopsis thaliana,GSM5908108,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","At, total, control, 2","plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",total tissue,
SRR18083502,2012184,203230584,101,59,SRX14235009,GSM5908109,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056008,SAMN26105120,simple,3702,Arabidopsis thaliana,GSM5908109,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","At, total, control, 3","plant leaves, fungal hyphae",Col-0,infected with B.cinerea B05,"plant leaves, fungal hyphae",total tissue,
SRR18083501,59247370,5983984370,101,1713,SRX14235010,GSM5908110,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056007,SAMN26105119,simple,3702,Arabidopsis thaliana,GSM5908110,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","TRAP, infected, 1","plant leaves, fungal hyphae",Col-0,infected with BcRPL23-YFP B.cinerea B05,"plant leaves, fungal hyphae",,
SRR18083500,71923193,7264242493,101,2071,SRX14235011,GSM5908111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056009,SAMN26105118,simple,3702,Arabidopsis thaliana,GSM5908111,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","TRAP, infected, 2","plant leaves, fungal hyphae",Col-0,infected with BcRPL23-YFP B.cinerea B05,"plant leaves, fungal hyphae",,
SRR18083499,66076385,6673714885,101,1909,SRX14235012,GSM5908112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056011,SAMN26105117,simple,3702,Arabidopsis thaliana,GSM5908112,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","TRAP, infected, 3","plant leaves, fungal hyphae",Col-0,infected with BcRPL23-YFP B.cinerea B05,"plant leaves, fungal hyphae",,
SRR18083498,26526188,2679144988,101,762,SRX14235013,GSM5908113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360703,PRJNA808784,,"",SRS12056010,SAMN26105116,simple,3702,Arabidopsis thaliana,GSM5908113,"RNA computational biology, langebio, cinvestav",SRA1376291,09,2024,Sanchez,"plant leaves, fungal hyphae","TRAP, mix, control, 1","plant leaves, fungal hyphae",Col-0,mixed with cultured BcRPL23-YFP B.cinerea B05,"plant leaves, fungal hyphae",,
