Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,genotype,geo_loc_name,collection_date
SRR29550569,14466272,417402674,28,164,SRX25057780,GSM8352100,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754746,SAMN42045116,simple,4932,Saccharomyces cerevisiae,GSM8352100,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_WT_Replicate_1,Yeast whole cells,Yeast whole cells,W303,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100",missing,missing
SRR29550568,17456417,480312199,27,193,SRX25057781,GSM8352101,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754747,SAMN42045115,simple,4932,Saccharomyces cerevisiae,GSM8352101,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_WT_Replicate_2,Yeast whole cells,Yeast whole cells,W303,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100",missing,missing
SRR29550567,17540749,506863049,28,197,SRX25057782,GSM8352102,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754750,SAMN42045114,simple,4932,Saccharomyces cerevisiae,GSM8352102,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_edc3_Replicate_1,Yeast whole cells,Yeast whole cells,FZY862,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 edc3::KanMX4",missing,missing
SRR29550566,15531559,437192954,28,172,SRX25057783,GSM8352103,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754749,SAMN42045113,simple,4932,Saccharomyces cerevisiae,GSM8352103,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_edc3_Replicate_2,Yeast whole cells,Yeast whole cells,FZY862,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 edc3::KanMX4",missing,missing
SRR29550565,15760480,441125378,27,172,SRX25057784,GSM8352104,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754756,SAMN42045112,simple,4932,Saccharomyces cerevisiae,GSM8352104,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_scd6_Replicate_1,Yeast whole cells,Yeast whole cells,SYY2352,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 scd6::KanMX6",missing,missing
SRR29550564,15536969,435084867,28,169,SRX25057785,GSM8352105,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754755,SAMN42045111,simple,4932,Saccharomyces cerevisiae,GSM8352105,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_scd6_Replicate_2,Yeast whole cells,Yeast whole cells,SYY2352,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 scd6::KanMX6",missing,missing
SRR29550563,11681237,332139701,28,130,SRX25057786,GSM8352106,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754751,SAMN42045110,simple,4932,Saccharomyces cerevisiae,GSM8352106,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_edc3scd6_Replicate_1,Yeast whole cells,Yeast whole cells,FZY858,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 edc3::KanMX4 scd6::hphMX4",missing,missing
SRR29550562,16317197,461890514,28,181,SRX25057787,GSM8352107,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754752,SAMN42045109,simple,4932,Saccharomyces cerevisiae,GSM8352107,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,Ribo_edc3scd6_Replicate_2,Yeast whole cells,Yeast whole cells,FZY858,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 edc3::KanMX4 scd6::hphMX4",missing,missing
SRR29550561,64376841,6437684100,100,1871,SRX25057788,GSM8352108,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754753,SAMN42045108,simple,4932,Saccharomyces cerevisiae,GSM8352108,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,RNA_WT_Replicate_1,Yeast whole cells,Yeast whole cells,W303,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100",missing,missing
SRR29550560,62965001,6296500100,100,1826,SRX25057789,GSM8352109,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP516096,PRJNA1128174,39257769,"",SRS21754757,SAMN42045107,simple,4932,Saccharomyces cerevisiae,GSM8352109,"Gene Regulation and Development, NICHD, NIH",SRA1911692,10,2024,Kumar,Yeast whole cells,RNA_WT_Replacte_2,Yeast whole cells,Yeast whole cells,W303,"MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100",missing,missing
