Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,batch,geo_loc_name,collection_date
SRR28818888,20988090,6296427000,150,2033,SRX24381901,GSM8239120,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138135,SAMN41097682,simple,10090,Mus musculus,GSM8239120,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 1",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818887,17193633,5158089900,150,1680,SRX24381902,GSM8239121,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138136,SAMN41097681,simple,10090,Mus musculus,GSM8239121,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 2",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818886,31180490,9354147000,150,3774,SRX24381903,GSM8239122,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138137,SAMN41097680,simple,10090,Mus musculus,GSM8239122,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 3",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818885,25240221,7572066300,150,2826,SRX24381904,GSM8239123,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138138,SAMN41097679,simple,10090,Mus musculus,GSM8239123,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 4",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818884,16660500,4998150000,150,1617,SRX24381905,GSM8239124,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138141,SAMN41097678,simple,10090,Mus musculus,GSM8239124,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 5",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818883,26334315,7900294500,150,3002,SRX24381906,GSM8239125,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138139,SAMN41097677,simple,10090,Mus musculus,GSM8239125,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Head,"Day 0, IP, ONH, Replicate 6",Optic Nerve Head,Optic Nerve Head,1,missing,missing
SRR28818882,23604092,7081227600,150,2313,SRX24381907,GSM8239126,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138140,SAMN41097676,simple,10090,Mus musculus,GSM8239126,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 1",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
SRR28818881,16506245,4951873500,150,1616,SRX24381908,GSM8239127,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138142,SAMN41097675,simple,10090,Mus musculus,GSM8239127,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 2",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
SRR28818880,22349443,6704832900,150,2206,SRX24381909,GSM8239128,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138143,SAMN41097674,simple,10090,Mus musculus,GSM8239128,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 3",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
SRR28818879,19347272,5804181600,150,1880,SRX24381910,GSM8239129,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP504340,PRJNA1105098,,"",SRS21138144,SAMN41097673,simple,10090,Mus musculus,GSM8239129,Harvard University,SRA1854469,05,2024,Smela,Optic Nerve Proper,"Day 0, IP, ONP, Replicate 4",Optic Nerve Proper,Optic Nerve Proper,1,missing,missing
