Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,developmental stage,genotype,geo_loc_name,collection_date,cell type
SRR25764132,1304769,86021968,65,36,SRX21486790,GSM7734771,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719089,SAMN37162415,simple,7955,Danio rerio,GSM7734771,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Unfertilized egg,WT egg (0 hpf) tRNA-seq rep1,Unfertilized egg,TLAB strain,Unfertilized egg,unfertilized egg (0 hpf),WT,missing,missing,
SRR25764131,3181706,206374994,64,86,SRX21486791,GSM7734772,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719090,SAMN37162414,simple,7955,Danio rerio,GSM7734772,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Unfertilized egg,WT egg (0 hpf) tRNA-seq rep2,Unfertilized egg,TLAB strain,Unfertilized egg,unfertilized egg (0 hpf),WT,missing,missing,
SRR25764130,3436266,215968508,62,90,SRX21486792,GSM7734773,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719088,SAMN37162413,simple,7955,Danio rerio,GSM7734773,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT 256-cell (2.5 hpf) tRNA-seq rep1,Blastula,TLAB strain,Blastula,256-cell (2.5 hpf),WT,missing,missing,
SRR25764129,13660310,844659062,61,355,SRX21486793,GSM7734774,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719091,SAMN37162412,simple,7955,Danio rerio,GSM7734774,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT 256-cell (2.5 hpf) tRNA-seq rep2,Blastula,TLAB strain,Blastula,256-cell (2.5 hpf),WT,missing,missing,
SRR25764128,2445091,153597915,62,65,SRX21486794,GSM7734775,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719095,SAMN37162411,simple,7955,Danio rerio,GSM7734775,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT 1000-cell (3 hpf) tRNA-seq rep1,Blastula,TLAB strain,Blastula,1000-cell (3 hpf),WT,missing,missing,
SRR25764127,3918764,240973473,61,102,SRX21486795,GSM7734776,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719097,SAMN37162410,simple,7955,Danio rerio,GSM7734776,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT 1000-cell (3 hpf) tRNA-seq rep2,Blastula,TLAB strain,Blastula,1000-cell (3 hpf),WT,missing,missing,
SRR25764126,4080366,273027894,66,114,SRX21486796,GSM7734777,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719096,SAMN37162409,simple,7955,Danio rerio,GSM7734777,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT sphere (4 hpf) tRNA-seq rep1,Blastula,TLAB strain,Blastula,Sphere (4 hpf),WT,missing,missing,
SRR25764125,2998867,196089572,65,82,SRX21486797,GSM7734778,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719094,SAMN37162408,simple,7955,Danio rerio,GSM7734778,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Blastula,WT sphere (4 hpf) tRNA-seq rep2,Blastula,TLAB strain,Blastula,Sphere (4 hpf),WT,missing,missing,
SRR25764124,7521930,487207771,64,203,SRX21486798,GSM7734779,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719100,SAMN37162407,simple,7955,Danio rerio,GSM7734779,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Gastrula,WT shield (6 hpf) tRNA-seq rep1,Gastrula,TLAB strain,Gastrula,Shield (6 hpf),WT,missing,missing,
SRR25764123,7421688,469031736,63,197,SRX21486799,GSM7734780,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP457111,PRJNA1009808,,"",SRS18719098,SAMN37162406,simple,7955,Danio rerio,GSM7734780,"Mechanisms of Protein Biogenesis, Max Planck Institute for Biochemistry",SRA1700461,10,2024,Nedialkova,Gastrula,WT shield (6 hpf) tRNA-seq rep2,Gastrula,TLAB strain,Gastrula,Shield (6 hpf),WT,missing,missing,
