Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date,rna or_ribo
SRR23921793,63904037,7093348107,111,2089,SRX19732507,GSM7107921,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099273,SAMN33831732,simple,9606,Homo sapiens,GSM7107921,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Cycling cells RNA-seq, 1",IMR90,IMR90,Fibroblasts,WT,None,missing,missing,
SRR23921792,74775975,8300133225,111,2457,SRX19732508,GSM7107922,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099275,SAMN33831731,simple,9606,Homo sapiens,GSM7107922,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Cycling cells RNA-seq, 2",IMR90,IMR90,Fibroblasts,WT,None,missing,missing,
SRR23921791,73072990,8111101890,111,2379,SRX19732509,GSM7107923,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099277,SAMN33831730,simple,9606,Homo sapiens,GSM7107923,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells RNA-seq, 1",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921790,68156757,7565400027,111,2230,SRX19732510,GSM7107924,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099274,SAMN33831729,simple,9606,Homo sapiens,GSM7107924,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells RNA-seq, 2",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921789,56913011,6317344221,111,1874,SRX19732511,GSM7107925,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099276,SAMN33831728,simple,9606,Homo sapiens,GSM7107925,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells RNA-seq, 3",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921788,71901335,7981048185,111,2350,SRX19732512,GSM7107926,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099278,SAMN33831727,simple,9606,Homo sapiens,GSM7107926,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells RNA-seq, 1",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921787,70305744,7803937584,111,2292,SRX19732513,GSM7107927,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099279,SAMN33831726,simple,9606,Homo sapiens,GSM7107927,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells RNA-seq, 2",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921786,64874768,7201099248,111,2113,SRX19732514,GSM7107928,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099280,SAMN33831725,simple,9606,Homo sapiens,GSM7107928,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells RNA-seq, 3",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921785,71989271,7990809081,111,2356,SRX19732515,GSM7107929,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099281,SAMN33831724,simple,9606,Homo sapiens,GSM7107929,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells RNA-seq, 1",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR23921784,85021695,9437408145,111,2759,SRX19732516,GSM7107930,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099282,SAMN33831723,simple,9606,Homo sapiens,GSM7107930,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells RNA-seq, 2",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR23921783,81596982,9057265002,111,2638,SRX19732517,GSM7107931,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099283,SAMN33831722,simple,9606,Homo sapiens,GSM7107931,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells RNA-seq, 3",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR23921782,65535092,3342289692,51,964,SRX19732518,GSM7107932,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099284,SAMN33831721,simple,9606,Homo sapiens,GSM7107932,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Cycling cells Ribo-seq, 1",IMR90,IMR90,Fibroblasts,WT,None,missing,missing,
SRR23921781,96222934,4907369634,51,1391,SRX19732519,GSM7107933,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099285,SAMN33831720,simple,9606,Homo sapiens,GSM7107933,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Cycling cells Ribo-seq, 2",IMR90,IMR90,Fibroblasts,WT,None,missing,missing,
SRR23921780,66111785,3371701035,51,960,SRX19732520,GSM7107934,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099286,SAMN33831719,simple,9606,Homo sapiens,GSM7107934,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Cycling cells Ribo-seq, 3",IMR90,IMR90,Fibroblasts,WT,None,missing,missing,
SRR23921779,88193146,4497850446,51,1296,SRX19732521,GSM7107935,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099287,SAMN33831718,simple,9606,Homo sapiens,GSM7107935,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells Ribo-seq, 1",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921778,78600635,4008632385,51,1146,SRX19732522,GSM7107936,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099288,SAMN33831717,simple,9606,Homo sapiens,GSM7107936,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells Ribo-seq, 2",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921777,133706571,6819035121,51,1956,SRX19732523,GSM7107937,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099289,SAMN33831716,simple,9606,Homo sapiens,GSM7107937,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Contact-inhibited quiescent cells Ribo-seq, 3",IMR90,IMR90,Fibroblasts,WT,Contact-inhibited quiescent cells,missing,missing,
SRR23921776,95687233,4880048883,51,1343,SRX19732524,GSM7107938,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099290,SAMN33831715,simple,9606,Homo sapiens,GSM7107938,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells Ribo-seq, 1",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921775,63593276,3243257076,51,887,SRX19732525,GSM7107939,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099291,SAMN33831714,simple,9606,Homo sapiens,GSM7107939,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells Ribo-seq, 2",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921774,74098706,3779034006,51,1043,SRX19732526,GSM7107940,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099292,SAMN33831713,simple,9606,Homo sapiens,GSM7107940,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Ionizing Radiation induced senescent cells Ribo-seq, 3",IMR90,IMR90,Fibroblasts,WT,Ionizing radiation (15 gy) induced senescence,missing,missing,
SRR23921773,90137065,4596990315,51,1272,SRX19732527,GSM7107941,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099293,SAMN33831712,simple,9606,Homo sapiens,GSM7107941,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells Ribo-seq, 1",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR23921772,78038303,3979953453,51,1120,SRX19732528,GSM7107942,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099294,SAMN33831711,simple,9606,Homo sapiens,GSM7107942,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells Ribo-seq, 2",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR23921771,81717162,4167575262,51,1171,SRX19732529,GSM7107943,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS17099295,SAMN33831710,simple,9606,Homo sapiens,GSM7107943,National Institute on Aging,SRA1607849,09,2024,Maragkakis,IMR90,"Etoposide-induced senecent cells Ribo-seq, 3",IMR90,IMR90,Fibroblasts,WT,"Etoposide 50 uM, 10d",missing,missing,
SRR30623065,78009608,17064847773,109,5562,SRX26045020,GSM8508334,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS22615912,SAMN43573421,simple,9606,Homo sapiens,GSM8508334,National Institute on Aging,SRA1968281,09,2024,Maragkakis,IMR90,"Cycling Tg Treated RNA-seq, 1",IMR90,IMR90,Fibroblast,,,missing,missing,Ribosome Protected Fragments
SRR30623064,80347184,17615043429,109,5697,SRX26045021,GSM8508335,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS22615913,SAMN43573420,simple,9606,Homo sapiens,GSM8508335,National Institute on Aging,SRA1968281,09,2024,Maragkakis,IMR90,"Cycling Tg Treated RNA-seq, 2",IMR90,IMR90,Fibroblast,,,missing,missing,Ribosome Protected Fragments
SRR30623063,74386300,9818991600,66,2853,SRX26045022,GSM8508336,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS22615914,SAMN43573419,simple,9606,Homo sapiens,GSM8508336,National Institute on Aging,SRA1968281,09,2024,Maragkakis,IMR90,"Cycling Tg Treated Ribo-seq, 1",IMR90,IMR90,Fibroblast,,,missing,missing,Ribosome Protected Fragments
SRR30623062,60622330,8002147560,66,2340,SRX26045023,GSM8508337,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP428305,PRJNA946781,,"",SRS22615916,SAMN43573418,simple,9606,Homo sapiens,GSM8508337,National Institute on Aging,SRA1968281,09,2024,Maragkakis,IMR90,"Cycling Tg Treated Ribo-seq, 2",IMR90,IMR90,Fibroblast,,,missing,missing,Ribosome Protected Fragments
