Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,tissue,cell type,rrna depletion,treatment,treatment,geo_loc_name,collection_date,strain,age,Sex
SRR24746820,29248115,755480555,25,969,SRX20523866,GSM7430225,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833454,SAMN35438995,simple,9606,Homo sapiens,GSM7430225,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_CT1,cultures,HEK293,cultures,WT,control condtion,None,None,missing,missing,,,
SRR24746819,28526861,733711937,25,944,SRX20523867,GSM7430226,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833457,SAMN35438994,simple,9606,Homo sapiens,GSM7430226,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_CT2,cultures,HEK293,cultures,WT,control condtion,None,None,missing,missing,,,
SRR24746818,56401574,1403420673,24,1851,SRX20523868,GSM7430227,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833456,SAMN35438993,simple,9606,Homo sapiens,GSM7430227,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo_zero_1,cultures,HEK293,cultures,WT,Ribo zero,None,None,missing,missing,,,
SRR24746817,72301142,1771229723,24,2365,SRX20523869,GSM7430228,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833455,SAMN35438992,simple,9606,Homo sapiens,GSM7430228,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo_zero_2,cultures,HEK293,cultures,WT,Ribo zero,None,None,missing,missing,,,
SRR24746816,19623343,502281165,25,651,SRX20523870,GSM7430229,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833458,SAMN35438991,simple,9606,Homo sapiens,GSM7430229,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo-Filterout_1,cultures,HEK293,cultures,WT,Ribo-Filterout,None,None,missing,missing,,,
SRR24746815,20643560,536576681,25,686,SRX20523871,GSM7430230,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833459,SAMN35438990,simple,9606,Homo sapiens,GSM7430230,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo-Filterout_2,cultures,HEK293,cultures,WT,Ribo-Filterout,None,None,missing,missing,,,
SRR24746814,9022038,226227964,25,297,SRX20523872,GSM7430231,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833460,SAMN35438989,simple,9606,Homo sapiens,GSM7430231,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo_zero_Ribo-Filterout_1,cultures,HEK293,cultures,WT,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746813,7513945,187214106,24,247,SRX20523873,GSM7430232,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP439789,PRJNA976655,,"",SRS17833461,SAMN35438988,simple,9606,Homo sapiens,GSM7430232,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HEK_Ribo_zero_Ribo-Filterout_2,cultures,HEK293,cultures,WT,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746811,5939762,1587187669,133,658,SRX20523875,GSM7430258,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833463,SAMN35438962,simple,9606,Homo sapiens,GSM7430258,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_RocA0.3μM2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,0.3 uM RocA,0.3 uM RocA,missing,missing,,,
SRR24746810,5845652,1662015492,141,705,SRX20523876,GSM7430259,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833465,SAMN35438961,simple,9606,Homo sapiens,GSM7430259,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_RocA3μM1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,3 uM RocA,3 uM RocA,missing,missing,,,
SRR24746809,5477517,1501231743,136,639,SRX20523877,GSM7430260,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833464,SAMN35438960,simple,9606,Homo sapiens,GSM7430260,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,RNA_RocA3μM2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,3 uM RocA,3 uM RocA,missing,missing,,,
SRR24746808,76503753,1563551881,20,2588,SRX20523878,GSM7430261,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833467,SAMN35438959,simple,9606,Homo sapiens,GSM7430261,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_CT1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,None,missing,missing,,,
SRR24746807,35814459,764712300,21,1223,SRX20523879,GSM7430262,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833466,SAMN35438958,simple,9606,Homo sapiens,GSM7430262,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_CT2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,control condtion,None,missing,missing,,,
SRR24746806,34502375,699334546,20,1168,SRX20523880,GSM7430263,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833470,SAMN35438957,simple,9606,Homo sapiens,GSM7430263,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_0.5,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 0.5 h,None,missing,missing,,,
SRR24746805,64027055,1376986401,21,2189,SRX20523881,GSM7430264,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833468,SAMN35438956,simple,9606,Homo sapiens,GSM7430264,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_1,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 1h,None,missing,missing,,,
SRR24746804,38083679,800839150,21,1298,SRX20523882,GSM7430265,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833469,SAMN35438955,simple,9606,Homo sapiens,GSM7430265,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_HS_2,cultures,HEK293,cultures,Human Embryonic Kidney cells293,Ribo zero and Ribo-Filterout,Heatshock 2h,None,missing,missing,,,
SRR24746803,49432159,1137440334,23,1699,SRX20523883,GSM7430290,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833471,SAMN35438930,simple,9606,Homo sapiens,GSM7430290,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_IPSC2,cultures,409B3,cultures,human iPS cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746802,17616984,335137791,19,585,SRX20523884,GSM7430291,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833472,SAMN35438929,simple,9606,Homo sapiens,GSM7430291,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Mela1,cultures,HEMn-DP,cultures,human melanocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746801,19604129,384812446,19,655,SRX20523885,GSM7430292,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833473,SAMN35438928,simple,9606,Homo sapiens,GSM7430292,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Mela2,cultures,HEMn-DP,cultures,human melanocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
SRR24746800,19567504,369085119,18,650,SRX20523886,GSM7430293,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP439789,PRJNA976655,,"",SRS17833474,SAMN35438927,simple,9606,Homo sapiens,GSM7430293,"RNA Systems Biochemistry Laboratory, CPR, RIKEN",SRA1645250,07,2024,Iwasaki,cultures,Ribo_Kera1,cultures,HEKn,cultures,human keratynocyte cells,Ribo zero and Ribo-Filterout,None,None,missing,missing,,,
