Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,library prep,time,treatment,geo_loc_name,collection_date
SRR24474755,14950991,331215654,22,154,SRX20261073,GSM7306546,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591873,SAMN35004588,simple,1358,Lactococcus lactis,GSM7306546,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 2min, rep1",bacteria,bacteria,Ribo-seq,2 minutes,mock,missing,missing
SRR24474754,5914795,113586557,19,52,SRX20261074,GSM7306547,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591872,SAMN35004587,simple,1358,Lactococcus lactis,GSM7306547,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 5min, rep1",bacteria,bacteria,Ribo-seq,5 minutes,mock,missing,missing
SRR24474753,4075268,80053927,19,36,SRX20261075,GSM7306548,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591874,SAMN35004586,simple,1358,Lactococcus lactis,GSM7306548,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 15min, rep1",bacteria,bacteria,Ribo-seq,15 minutes,mock,missing,missing
SRR24474752,4079214,83412152,20,39,SRX20261076,GSM7306549,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591877,SAMN35004585,simple,1358,Lactococcus lactis,GSM7306549,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 2min, rep2",bacteria,bacteria,Ribo-seq,2 minutes,mock,missing,missing
SRR24474751,7816704,155873879,19,75,SRX20261077,GSM7306550,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591878,SAMN35004584,simple,1358,Lactococcus lactis,GSM7306550,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 5min, rep2",bacteria,bacteria,Ribo-seq,5 minutes,mock,missing,missing
SRR24474750,8602973,170032653,19,78,SRX20261078,GSM7306551,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591875,SAMN35004583,simple,1358,Lactococcus lactis,GSM7306551,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Mock riboseq, 15min, rep2",bacteria,bacteria,Ribo-seq,15 minutes,mock,missing,missing
SRR24474749,4268112,85183886,19,40,SRX20261079,GSM7306552,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591876,SAMN35004582,simple,1358,Lactococcus lactis,GSM7306552,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Phage riboseq, 2min, rep1",bacteria,bacteria,Ribo-seq,2 minutes,sk1 phage infected,missing,missing
SRR24474748,2411885,46910368,19,21,SRX20261080,GSM7306553,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591879,SAMN35004581,simple,1358,Lactococcus lactis,GSM7306553,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Phage riboseq, 5min, rep1",bacteria,bacteria,Ribo-seq,5 minutes,sk1 phage infected,missing,missing
SRR24474747,6239922,121825798,19,56,SRX20261081,GSM7306554,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591881,SAMN35004580,simple,1358,Lactococcus lactis,GSM7306554,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Phage riboseq, 15min, rep1",bacteria,bacteria,Ribo-seq,15 minutes,sk1 phage infected,missing,missing
SRR24474746,8155978,161035657,19,76,SRX20261082,GSM7306555,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436568,PRJNA970321,38451091,"",SRS17591880,SAMN35004579,simple,1358,Lactococcus lactis,GSM7306555,"School of Biochemistry and Cell Biology, University College Cork",SRA1635232,02,2024,O'Connor,bacteria,"Phage riboseq, 2min, rep2",bacteria,bacteria,Ribo-seq,2 minutes,sk1 phage infected,missing,missing
