Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,biomaterial_provider,sex,tissue,cell_line,cell_subtype,BioSampleModel,disease
SRR27992961,150668269,7533413450,50,2308,SRX23645667,20220504_DAOY_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454507,SAMN34359890,simple,9606,Homo sapiens,DAOY,University of Michigan,SRA1803531,12,2024,Clauwaert,"",DAOY,DAOY,ATCC,not provided,Brain,DAOY,Medulloblastoma,Human,
SRR27992960,258904074,12945203700,50,4005,SRX23645668,20220818_Med2112_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454500,SAMN34359884,simple,9606,Homo sapiens,Med2112,University of Michigan,SRA1803531,12,2024,Clauwaert,"",Med2112,Med2112,Broad Institute,not provided,Brain,Med2112,Medulloblastoma,Human,
SRR27992959,204485118,10224255900,50,3102,SRX23645669,20220222_D341_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454505,SAMN34359880,simple,9606,Homo sapiens,D341,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D341,D341,ATCC,not provided,Brain,D341,Medulloblastoma,Human,
SRR27992958,324805939,16240296950,50,4970,SRX23645670,20220131_CHLA-01-MEDR_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS20479497,SAMN34250959,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-01-MEDR from Homo sapiens,CHLA-01-MEDR,ATCC,missing,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
SRR27992957,233101425,11655071250,50,3796,SRX23645671,20220131_D384_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992956,187643887,9382194350,50,2895,SRX23645672,20220613_Med411_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454501,SAMN34359883,simple,9606,Homo sapiens,Med411,University of Michigan,SRA1803531,12,2024,Clauwaert,"",Med411,Med411,Broad Institute,not provided,Brain,Med411,Medulloblastoma,Human,
SRR27992955,181612869,9080643450,50,2622,SRX23645673,20220510_D425_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454490,SAMN34359879,simple,9606,Homo sapiens,D425,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D425,D425,ATCC,not provided,Brain,D425,Medulloblastoma,Human,
SRR27992954,261051894,13052594700,50,3939,SRX23645674,20211215_D384_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454503,SAMN34359882,simple,9606,Homo sapiens,D384,University of Michigan,SRA1803531,12,2024,Clauwaert,"",D384,D384,Broad Institute,not provided,Brain,D384,Medulloblastoma,Human,
SRR27992953,252555160,12627758000,50,3926,SRX23645675,20220613_MB002_HHT,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS17454508,SAMN34359885,simple,9606,Homo sapiens,SUMB002,University of Michigan,SRA1803531,12,2024,Clauwaert,"",SUMB002,SUMB002,Broad Institute,not provided,Brain,MB002,Medulloblastoma,Human,
SRR27992952,250731224,12536561200,50,3855,SRX23645676,20220131_CHLA-01-MEDR_DMSO,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP490072,PRJNA1077309,,"",SRS20479497,SAMN34250959,simple,9606,Homo sapiens,CHLA-01-MEDR,University of Michigan,SRA1803531,12,2024,Clauwaert,"",CHLA-01-MEDR from Homo sapiens,CHLA-01-MEDR,ATCC,missing,Brain,CHLA-01-MEDR,,Human,Medulloblastoma
