Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell line,treatment,geo_loc_name,collection_date,sample type
SRR24793085,33932528,1730558928,51,611,SRX20565472,GSM7438596,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17869996,SAMN35556663,simple,9606,Homo sapiens,GSM7438596,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,RNA_DMSO1,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,
SRR24793084,36971049,1885523499,51,656,SRX20565473,GSM7438597,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17869997,SAMN35556662,simple,9606,Homo sapiens,GSM7438597,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,RNA_DMSO2,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,
SRR24793083,32491187,1657050537,51,580,SRX20565474,GSM7438598,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17869998,SAMN35556661,simple,9606,Homo sapiens,GSM7438598,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,RNA_Giro1,HEK293T flp-In,wild type,HEK293T flp-In,1 µM girolline,missing,missing,
SRR24793082,38853492,1981528092,51,702,SRX20565475,GSM7438599,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870001,SAMN35556660,simple,9606,Homo sapiens,GSM7438599,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,RNA_Giro10,HEK293T flp-In,wild type,HEK293T flp-In,10 µM girolline,missing,missing,
SRR24793080,57699698,1574007895,27,1926,SRX20565476,GSM7438600,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17869999,SAMN35556659,simple,9606,Homo sapiens,GSM7438600,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Monosomes_DMSO1,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,Monosomes
SRR24793079,57157243,1599000232,27,1923,SRX20565477,GSM7438601,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870000,SAMN35556658,simple,9606,Homo sapiens,GSM7438601,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Monosomes_DMSO2,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,Monosomes
SRR24793078,33434230,934488579,27,1124,SRX20565478,GSM7438602,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870002,SAMN35556657,simple,9606,Homo sapiens,GSM7438602,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Monosomes_Giro1,HEK293T flp-In,wild type,HEK293T flp-In,1 µM girolline,missing,missing,Monosomes
SRR24793081,57582297,1573613947,27,1922,SRX20565479,GSM7438603,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870003,SAMN35556656,simple,9606,Homo sapiens,GSM7438603,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Monosomes_Giro10,HEK293T flp-In,wild type,HEK293T flp-In,10 µM girolline,missing,missing,Monosomes
SRR24793077,73851526,4162169464,56,3009,SRX20565480,GSM7438604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870004,SAMN35556655,simple,9606,Homo sapiens,GSM7438604,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Disomes_DMSO1,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,Disomes
SRR24793076,97342598,5577385613,57,3990,SRX20565481,GSM7438605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP440656,PRJNA978511,,"",SRS17870005,SAMN35556654,simple,9606,Homo sapiens,GSM7438605,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1647579,06,2024,Schneider-Poetsch,HEK293T flp-In,Disomes_DMSO2,HEK293T flp-In,wild type,HEK293T flp-In,DMSO,missing,missing,Disomes
