Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR26500040,22124016,2212401600,60,727,SRX22203699,GSM7856941,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468162,PRJNA1031631,1,"",SRS19259120,SAMN37950286,simple,9606,Homo sapiens,GSM7856941,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,Conventional_RiboSeq_UTR5_Flag_COMT_moxGFP,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500039,10966130,1096613000,60,366,SRX22203700,GSM7856943,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468162,PRJNA1031631,1,"",SRS19259119,SAMN37950284,simple,9606,Homo sapiens,GSM7856943,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,Selective_RiboSeq_UTR5_Flag_COMT_moxGFP_400uL_M2_beads,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500038,5954034,1786210200,150,658,SRX22203701,GSM7856954,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259121,SAMN37950273,simple,9606,Homo sapiens,GSM7856954,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep1_F'5,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500037,126318,37895400,150,15,SRX22203702,GSM7856955,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259126,SAMN37950272,simple,9606,Homo sapiens,GSM7856955,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep2_F'1,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500036,12118033,1211803300,60,408,SRX22203703,GSM7856942,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP468162,PRJNA1031631,1,"",SRS19259124,SAMN37950285,simple,9606,Homo sapiens,GSM7856942,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,Selective_RiboSeq_UTR5_Flag_COMT_moxGFP_100uL_M2_beads,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500035,5301703,1590510900,150,593,SRX22203704,GSM7856957,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259122,SAMN37950270,simple,9606,Homo sapiens,GSM7856957,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep2_F'3,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500034,9815640,2944692000,150,1092,SRX22203705,GSM7856953,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259123,SAMN37950274,simple,9606,Homo sapiens,GSM7856953,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep1_F'4,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500033,6446404,1933921200,150,720,SRX22203706,GSM7856959,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259125,SAMN37950268,simple,9606,Homo sapiens,GSM7856959,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep2_F'5,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500032,3444942,1033482600,150,380,SRX22203707,GSM7856952,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259128,SAMN37950275,simple,9606,Homo sapiens,GSM7856952,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep1_F'3,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
SRR26500031,501887,150566100,150,56,SRX22203708,GSM7856961,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP468162,PRJNA1031631,1,"",SRS19259127,SAMN37950266,simple,9606,Homo sapiens,GSM7856961,"Cenik, Molecular Biosciences, The University of Texas at Austin",SRA1738842,11,2023,Makar,HEK293T LLP iCasp9 Blast,ROI1_fractionated_RNA_biorep1_techrep3_F'2,HEK293T LLP iCasp9 Blast,HEK293T LLP iCasp9 Blast,Induction of transcription from landing pad with addition of 2 µg/mL Doxycycline,missing,missing
