Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,sex,tissue,replicate,BioSampleModel
SRR25278332,31938710,9581613000,150,3137,SRX21023723,RNAseq w1118-1_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296537,SAMN36429398,simple,7227,Drosophila melanogaster,RNAseq w1118-1_1,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 1,Model organism or animal
SRR25278331,28238163,8471448900,150,2718,SRX21023724,RNAseq w1118-1_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296538,SAMN36429399,simple,7227,Drosophila melanogaster,RNAseq w1118-1_2,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 2,Model organism or animal
SRR25278330,37853080,1054803491,27,411,SRX21023725,Riboseq CG9666-1_2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296539,SAMN36429408,simple,7227,Drosophila melanogaster,Riboseq CG9666-1_2,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 11,Model organism or animal
SRR25278329,38592713,1042946541,27,412,SRX21023726,Riboseq CG9666-1_3,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296540,SAMN36429409,simple,7227,Drosophila melanogaster,Riboseq CG9666-1_3,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 12,Model organism or animal
SRR25278328,31281013,9384303900,150,3023,SRX21023727,RNAseq w1118-1_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296541,SAMN36429400,simple,7227,Drosophila melanogaster,RNAseq w1118-1_3,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 3,Model organism or animal
SRR25278327,28980974,8694292200,150,2868,SRX21023728,RNAseq CG9666-1_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296542,SAMN36429401,simple,7227,Drosophila melanogaster,RNAseq CG9666-1_1,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 4,Model organism or animal
SRR25278326,28146818,8444045400,150,2771,SRX21023729,RNAseq CG9666-1_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296543,SAMN36429402,simple,7227,Drosophila melanogaster,RNAseq CG9666-1_2,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 5,Model organism or animal
SRR25278325,27630928,8289278400,150,2693,SRX21023730,RNAseq CG9666-1_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296544,SAMN36429403,simple,7227,Drosophila melanogaster,RNAseq CG9666-1_3,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 6,Model organism or animal
SRR25278324,36802606,995506521,27,390,SRX21023731,Riboseq w1118-1_1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296545,SAMN36429404,simple,7227,Drosophila melanogaster,Riboseq w1118-1_1,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 7,Model organism or animal
SRR25278323,37905330,1032151456,27,402,SRX21023732,Riboseq w1118-1_2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP449534,PRJNA994860,,"",SRS18296546,SAMN36429405,simple,7227,Drosophila melanogaster,Riboseq w1118-1_2,China Agricultural University,SRA1672895,04,2024,Yang,"","",missing,missing,missing,missing,missing,missing,missing,2022-09,missing,male,head,replicate = biological replicate 8,Model organism or animal
