Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,genotype,growth phase,geo_loc_name,collection_date
SRR29542567,8519528,642584519,75,264,SRX25049936,GSM8350208,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747082,SAMN42037968,simple,1423,Bacillus subtilis,GSM8350208,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Emp3h_i with plasmid pBW17,bacterial cell,BWB09,bacterial cell,with plasmid pBW17,3 h exponentail growth,missing,missing
SRR29542566,8820644,665670922,75,269,SRX25049937,GSM8350209,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747083,SAMN42037967,simple,1423,Bacillus subtilis,GSM8350209,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Amy3h_i with plasmid pCS74,bacterial cell,BWB09,bacterial cell,with plasmid pCS74,3 h exponentail growth,missing,missing
SRR29542565,7047812,531923410,75,212,SRX25049938,GSM8350210,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747084,SAMN42037966,simple,1423,Bacillus subtilis,GSM8350210,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Emp3h_ii with plasmid pBW17,bacterial cell,BWB09,bacterial cell,with plasmid pBW17,3 h exponentail growth,missing,missing
SRR29542564,6854519,517285031,75,207,SRX25049939,GSM8350211,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747085,SAMN42037965,simple,1423,Bacillus subtilis,GSM8350211,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Amy3h_ii with plasmid pCS74,bacterial cell,BWB09,bacterial cell,with plasmid pCS74,3 h exponentail growth,missing,missing
SRR29542563,7097805,535639337,75,215,SRX25049940,GSM8350212,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747086,SAMN42037964,simple,1423,Bacillus subtilis,GSM8350212,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Emp6h_i with plasmid pBW17,bacterial cell,BWB09,bacterial cell,with plasmid pBW17,6h stationary growth,missing,missing
SRR29542562,8227628,620850455,75,251,SRX25049941,GSM8350213,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747087,SAMN42037963,simple,1423,Bacillus subtilis,GSM8350213,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Amy6h_i with plasmid pCS74,bacterial cell,BWB09,bacterial cell,with plasmid pCS74,6h stationary growth,missing,missing
SRR29542561,7183681,542175882,75,217,SRX25049942,GSM8350214,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747088,SAMN42037962,simple,1423,Bacillus subtilis,GSM8350214,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Emp6h_ii with plasmid pBW17,bacterial cell,BWB09,bacterial cell,with plasmid pBW17,6h stationary growth,missing,missing
SRR29542560,7016544,529722364,75,213,SRX25049943,GSM8350215,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747089,SAMN42037961,simple,1423,Bacillus subtilis,GSM8350215,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Amy6h_ii with plasmid pCS74,bacterial cell,BWB09,bacterial cell,with plasmid pCS74,6h stationary growth,missing,missing
SRR29542557,9022983,685746708,76,251,SRX25049946,GSM8350218,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747092,SAMN42037958,simple,1423,Bacillus subtilis,GSM8350218,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Xyn3h-RPF_i with plasmid pCS58,bacterial cell,BWB143,bacterial cell,with plasmid pCS58,3 h exponentail growth,missing,missing
SRR29542556,6032799,458492724,76,171,SRX25049947,GSM8350219,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP515958,PRJNA1128008,,"",SRS21747093,SAMN42037957,simple,1423,Bacillus subtilis,GSM8350219,"Bacterial Cell Biology, Swammerdam Institute for Life Science, University of Amsterdam",SRA1911125,08,2024,Wang,bacterial cell,Xyn3h-RPF_ii with plasmid pCS58,bacterial cell,BWB143,bacterial cell,with plasmid pCS58,3 h exponentail growth,missing,missing
