Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,geo_loc_name,collection_date
SRR27667513,16482603,4944780900,150,1449,SRX23335312,GSM8027736,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197607,SAMN39515056,simple,3702,Arabidopsis thaliana,GSM8027736,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_WT_rep1,seedling,seedling,somatic,Col-0,missing,missing
SRR27667512,20315585,6094675500,150,1800,SRX23335313,GSM8027737,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197606,SAMN39515055,simple,3702,Arabidopsis thaliana,GSM8027737,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_WT_rep2,seedling,seedling,somatic,Col-0,missing,missing
SRR27667511,20050547,6015164100,150,1842,SRX23335314,GSM8027738,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197608,SAMN39515054,simple,3702,Arabidopsis thaliana,GSM8027738,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_WT_rep3,seedling,seedling,somatic,Col-0,missing,missing
SRR27667510,17918525,5375557500,150,1581,SRX23335315,GSM8027739,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197609,SAMN39515053,simple,3702,Arabidopsis thaliana,GSM8027739,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_h32_rep2,seedling,seedling,somatic,hot3-2,missing,missing
SRR27667508,22500586,6750175800,150,2015,SRX23335316,GSM8027740,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197610,SAMN39515052,simple,3702,Arabidopsis thaliana,GSM8027740,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_h32_rep3,seedling,seedling,somatic,hot3-2,missing,missing
SRR27667507,17339325,5201797500,150,1577,SRX23335317,GSM8027741,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197611,SAMN39515051,simple,3702,Arabidopsis thaliana,GSM8027741,Fudan University,SRA1788904,10,2024,Song,seedling,RNAseq_sdlg_h32_rep4,seedling,seedling,somatic,hot3-2,missing,missing
SRR27667506,24038573,7211571900,150,2181,SRX23335318,GSM8027742,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197612,SAMN39515050,simple,3702,Arabidopsis thaliana,GSM8027742,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_WT_rep1,inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27667509,27637405,8291221500,150,2538,SRX23335319,GSM8027743,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197614,SAMN39515049,simple,3702,Arabidopsis thaliana,GSM8027743,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_WT_rep2,inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27667505,17935903,5380770900,150,1607,SRX23335320,GSM8027744,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197613,SAMN39515048,simple,3702,Arabidopsis thaliana,GSM8027744,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_WT_rep3,inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27667504,18473571,5542071300,150,1672,SRX23335321,GSM8027745,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197615,SAMN39515047,simple,3702,Arabidopsis thaliana,GSM8027745,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_h32_rep2,inflorescence,inflorescence,somatic,hot3-2,missing,missing
SRR27667503,19929522,5978856600,150,1751,SRX23335322,GSM8027746,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197616,SAMN39515046,simple,3702,Arabidopsis thaliana,GSM8027746,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_h32_rep3,inflorescence,inflorescence,somatic,hot3-2,missing,missing
SRR27667502,22280714,6684214200,150,2043,SRX23335323,GSM8027747,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396091,PRJNA877655,,"",SRS20197617,SAMN39515045,simple,3702,Arabidopsis thaliana,GSM8027747,Fudan University,SRA1788904,10,2024,Song,inflorescence,RNAseq_infl_h32_rep4,inflorescence,inflorescence,somatic,hot3-2,missing,missing
