Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,strain,age,geo_loc_name,collection_date
SRR28548424,20762390,6228717000,150,1907,SRX24148256,GSM8186546,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930911,SAMN40742732,simple,10090,Mus musculus,GSM8186546,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_Ctrl rep1_RNA-seq,Heart,Heart,Ctrl,C57BL/6,4-week-old,missing,missing
SRR28548423,20957949,6287384700,150,1925,SRX24148257,GSM8186547,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930912,SAMN40742731,simple,10090,Mus musculus,GSM8186547,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_Ctrl rep2_RNA-seq,Heart,Heart,Ctrl,C57BL/6,4-week-old,missing,missing
SRR28548422,21830359,6549107700,150,1990,SRX24148258,GSM8186548,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930913,SAMN40742730,simple,10090,Mus musculus,GSM8186548,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_cKO rep1_RNA-seq,Heart,Heart,M1cKO,C57BL/6,4-week-old,missing,missing
SRR28548421,19278065,5783419500,150,1766,SRX24148259,GSM8186549,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930914,SAMN40742729,simple,10090,Mus musculus,GSM8186549,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_cKO rep2_RNA-seq,Heart,Heart,M1cKO,C57BL/6,4-week-old,missing,missing
SRR28548420,90550986,27165295800,150,13088,SRX24148260,GSM8186550,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930915,SAMN40742728,simple,10090,Mus musculus,GSM8186550,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_Ctrl rep1_Ribo-seq,Heart,Heart,Ctrl,C57BL/6,4-week-old,missing,missing
SRR28548419,118461068,35538320400,150,17121,SRX24148261,GSM8186551,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930916,SAMN40742727,simple,10090,Mus musculus,GSM8186551,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_Ctrl rep2_Ribo-seq,Heart,Heart,Ctrl,C57BL/6,4-week-old,missing,missing
SRR28548418,114270663,34281198900,150,15670,SRX24148262,GSM8186552,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930917,SAMN40742726,simple,10090,Mus musculus,GSM8186552,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_cKO rep1_Ribo-seq,Heart,Heart,M1cKO,C57BL/6,4-week-old,missing,missing
SRR28548417,100777530,30233259000,150,14527,SRX24148263,GSM8186553,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP499596,PRJNA1095927,,"",SRS20930918,SAMN40742725,simple,10090,Mus musculus,GSM8186553,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,Heart,M1 mouse heart_cKO rep2_Ribo-seq,Heart,Heart,M1cKO,C57BL/6,4-week-old,missing,missing
SRR28548416,21980969,6594290700,150,4013,SRX24148264,GSM8186554,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP499596,PRJNA1095927,,"",SRS20930919,SAMN40742724,simple,10116,Rattus norvegicus,GSM8186554,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,H9C2,H9C2_WT rep1,H9C2,H9C2,WT,Sprague-Dawley,,missing,missing
SRR28548415,21971834,6591550200,150,4047,SRX24148265,GSM8186555,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP499596,PRJNA1095927,,"",SRS20930920,SAMN40742723,simple,10116,Rattus norvegicus,GSM8186555,"Institute of Precision Medicine, The First Affiliated Hospital, Sun Yat-sen University",SRA1839470,10,2024,Du,H9C2,H9C2_WT rep2,H9C2,H9C2,WT,Sprague-Dawley,,missing,missing
