Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,Sex,genotype,diet,treatment,geo_loc_name,collection_date
SRR21640348,1474315,43499311,29,49,SRX17640474,GSM6594140,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174775,SAMN30934453,simple,10090,Mus musculus,GSM6594140,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow, rep 1",Liver,Liver,C57BL/6J,male,WT,Chow Diet,None,missing,missing
SRR21640347,2309888,67533908,29,77,SRX17640475,GSM6594141,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174776,SAMN30934452,simple,10090,Mus musculus,GSM6594141,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow, rep 2",Liver,Liver,C57BL/6J,male,WT,Chow Diet,None,missing,missing
SRR21640343,943446,27873176,29,31,SRX17640476,GSM6594142,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174778,SAMN30934451,simple,10090,Mus musculus,GSM6594142,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow, rep 3",Liver,Liver,C57BL/6J,male,WT,Chow Diet,None,missing,missing
SRR21640342,1043676,30679609,29,35,SRX17640477,GSM6594143,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174777,SAMN30934450,simple,10090,Mus musculus,GSM6594143,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"HFHS, rep 1",Liver,Liver,C57BL/6J,male,WT,High Fat High Sugar Diet,None,missing,missing
SRR21640344,1790476,52829834,29,59,SRX17640478,GSM6594144,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174779,SAMN30934449,simple,10090,Mus musculus,GSM6594144,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"HFHS, rep 2",Liver,Liver,C57BL/6J,male,WT,High Fat High Sugar Diet,None,missing,missing
SRR21640341,2756836,80937442,29,91,SRX17640479,GSM6594145,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174780,SAMN30934448,simple,10090,Mus musculus,GSM6594145,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"HFHS, rep 3",Liver,Liver,C57BL/6J,male,WT,High Fat High Sugar Diet,None,missing,missing
SRR21640345,2840640,82988319,29,93,SRX17640480,GSM6594146,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174781,SAMN30934447,simple,10090,Mus musculus,GSM6594146,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow + NAC, rep 1",Liver,Liver,C57BL/6J,male,WT,Chow Diet,NAC,missing,missing
SRR21640340,883553,26297977,29,29,SRX17640481,GSM6594147,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174782,SAMN30934446,simple,10090,Mus musculus,GSM6594147,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow + NAC, rep 2",Liver,Liver,C57BL/6J,male,WT,Chow Diet,NAC,missing,missing
SRR21640346,2214133,65162861,29,73,SRX17640482,GSM6594148,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174783,SAMN30934445,simple,10090,Mus musculus,GSM6594148,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"Chow + NAC, rep 3",Liver,Liver,C57BL/6J,male,WT,Chow Diet,NAC,missing,missing
SRR21640339,1619180,47427041,29,53,SRX17640483,GSM6594149,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP398238,PRJNA882418,1,"",SRS15174784,SAMN30934444,simple,10090,Mus musculus,GSM6594149,"Gatfield Lab, CIG, UNIL",SRA1501825,11,2022,Makar,Liver,"HFHS + NAC, rep 1",Liver,Liver,C57BL/6J,male,WT,High Fat High Sugar Diet,NAC,missing,missing
