Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,animal group,Sex,rna fraction,geo_loc_name,collection_date
SRR24072174,23456079,1970310636,84,758,SRX19873267,GSM7122421,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228528,SAMN33965628,simple,10090,Mus musculus,GSM7122421,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_41_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072173,18010460,1512878640,84,621,SRX19873268,GSM7122422,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228529,SAMN33965627,simple,10090,Mus musculus,GSM7122422,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_41_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072172,20433865,1716444660,84,661,SRX19873269,GSM7122423,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228530,SAMN33965626,simple,10090,Mus musculus,GSM7122423,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_45_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072171,17075667,1434356028,84,587,SRX19873270,GSM7122424,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228531,SAMN33965625,simple,10090,Mus musculus,GSM7122424,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_45_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072170,19801992,1544555376,78,637,SRX19873271,GSM7122425,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228532,SAMN33965624,simple,10090,Mus musculus,GSM7122425,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_73_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072169,18250259,1423520202,78,593,SRX19873272,GSM7122426,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228534,SAMN33965623,simple,10090,Mus musculus,GSM7122426,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_73_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072168,18376070,1543589880,84,592,SRX19873273,GSM7122427,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228533,SAMN33965622,simple,10090,Mus musculus,GSM7122427,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_75_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072167,23141383,1943876172,84,790,SRX19873274,GSM7122428,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228536,SAMN33965621,simple,10090,Mus musculus,GSM7122428,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_75_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072166,18449024,1549718016,84,602,SRX19873275,GSM7122429,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228535,SAMN33965620,simple,10090,Mus musculus,GSM7122429,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_76_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072165,20316227,1706563068,84,699,SRX19873276,GSM7122430,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228537,SAMN33965619,simple,10090,Mus musculus,GSM7122430,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_76_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072164,25596270,2150086680,84,821,SRX19873277,GSM7122431,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228538,SAMN33965618,simple,10090,Mus musculus,GSM7122431,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_80_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072163,18131882,1523078088,84,628,SRX19873278,GSM7122432,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228539,SAMN33965617,simple,10090,Mus musculus,GSM7122432,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_80_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072162,20932097,1632703566,78,679,SRX19873279,GSM7122433,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228540,SAMN33965616,simple,10090,Mus musculus,GSM7122433,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_84_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072161,21303496,1661672688,78,694,SRX19873280,GSM7122434,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228541,SAMN33965615,simple,10090,Mus musculus,GSM7122434,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_84_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072160,22691147,1769909466,78,735,SRX19873281,GSM7122435,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228542,SAMN33965614,simple,10090,Mus musculus,GSM7122435,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_89_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072159,21354422,1665644916,78,695,SRX19873282,GSM7122436,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228543,SAMN33965613,simple,10090,Mus musculus,GSM7122436,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_89_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,male,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072158,24792674,2082584616,84,800,SRX19873283,GSM7122437,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228544,SAMN33965612,simple,10090,Mus musculus,GSM7122437,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_98_Input,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,total RNA extraction from the 5% of total lysate (Input),missing,missing
SRR24072157,30104656,2528791104,84,1026,SRX19873284,GSM7122438,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228545,SAMN33965611,simple,10090,Mus musculus,GSM7122438,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP_98_IP,Thoracic aorta,Thoracic aorta,EGFP (+),TRAP-Control,female,smooth muscle cell specific ribosome-associated RNA (IP),missing,missing
SRR24072156,19870324,1549885272,78,649,SRX19873285,GSM7122439,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP423221,PRJNA935940,38289873,"",SRS17228547,SAMN33965610,simple,10090,Mus musculus,GSM7122439,University of Eastern Finland,SRA1612470,02,2024,Ravindran,Thoracic aorta,SMCTRAP-Athero_109_Input,Thoracic aorta,Thoracic aorta,"EGFP (+), LDLR (-/-), ApoB (100/100)",TRAP-Atherosclerosis,male,total RNA extraction from the 5% of total lysate (Input),missing,missing
