Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date
SRR24564982,62475215,3123760750,50,1002,SRX20348589,GSM7350160,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663949,SAMN35090297,simple,9606,Homo sapiens,GSM7350160,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_MAPKi_R1,A375,A375,skin melanoma,MAPK inhibitors for 24h,missing,missing
SRR24564981,54309914,2715495700,50,894,SRX20348590,GSM7350161,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663948,SAMN35090296,simple,9606,Homo sapiens,GSM7350161,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_MAPKi_R2,A375,A375,skin melanoma,MAPK inhibitors for 24h,missing,missing
SRR24564980,50661008,2533050400,50,809,SRX20348591,GSM7350162,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663950,SAMN35090295,simple,9606,Homo sapiens,GSM7350162,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_MAPKi_R3,A375,A375,skin melanoma,MAPK inhibitors for 24h,missing,missing
SRR24564979,47814964,2390748200,50,763,SRX20348592,GSM7350163,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663952,SAMN35090294,simple,9606,Homo sapiens,GSM7350163,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_DMSO_R1,A375,A375,skin melanoma,DMSO for 24h,missing,missing
SRR24564978,53428141,2671407050,50,857,SRX20348593,GSM7350164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663951,SAMN35090293,simple,9606,Homo sapiens,GSM7350164,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_DMSO_R2,A375,A375,skin melanoma,DMSO for 24h,missing,missing
SRR24564977,58237888,2911894400,50,929,SRX20348594,GSM7350165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663954,SAMN35090292,simple,9606,Homo sapiens,GSM7350165,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_DMSO_R3,A375,A375,skin melanoma,DMSO for 24h,missing,missing
SRR24564976,29083390,1454169500,50,503,SRX20348595,GSM7350166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663958,SAMN35090291,simple,9606,Homo sapiens,GSM7350166,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_CTRL_R1,A375,A375,skin melanoma,control medium for 24h,missing,missing
SRR24564975,36736844,1836842200,50,591,SRX20348596,GSM7350167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663956,SAMN35090290,simple,9606,Homo sapiens,GSM7350167,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_CTRL_R2,A375,A375,skin melanoma,control medium for 24h,missing,missing
SRR24564974,42599485,2129974250,50,695,SRX20348597,GSM7350168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663955,SAMN35090289,simple,9606,Homo sapiens,GSM7350168,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_CTRL_R3,A375,A375,skin melanoma,control medium for 24h,missing,missing
SRR24564973,34475444,1723772200,50,597,SRX20348598,GSM7350169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP437729,PRJNA972712,38690580,"",SRS17663957,SAMN35090288,simple,9606,Homo sapiens,GSM7350169,"Laboratory of Biology and Modeling of the Cell, ENS de Lyon",SRA1638476,05,2024,Aubé,A375,A375_-Q_R1,A375,A375,skin melanoma,Q depleted medium for 24h,missing,missing
