Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,fraction,geo_loc_name,collection_date
SRR27700052,36095883,2690294637,74,1208,SRX23366860,GSM8031713,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229176,SAMN39578632,simple,10090,Mus musculus,GSM8031713,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, Input 1",brain,brain,Camk2a-Cre-Rpl22HA,control,Input,missing,missing
SRR27700051,45853149,3417309159,74,1527,SRX23366861,GSM8031714,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229177,SAMN39578631,simple,10090,Mus musculus,GSM8031714,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, Input 2",brain,brain,Camk2a-Cre-Rpl22HA,control,Input,missing,missing
SRR27700050,45010830,3354373630,74,1523,SRX23366862,GSM8031715,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229178,SAMN39578630,simple,10090,Mus musculus,GSM8031715,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, Input 3",brain,brain,Camk2a-Cre-Rpl22HA,control,Input,missing,missing
SRR27700049,46600532,3472238023,74,1545,SRX23366863,GSM8031716,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229179,SAMN39578629,simple,10090,Mus musculus,GSM8031716,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, IP 1",brain,brain,Camk2a-Cre-Rpl22HA,control,IP,missing,missing
SRR27700048,40254403,2999144053,74,1339,SRX23366864,GSM8031717,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229180,SAMN39578628,simple,10090,Mus musculus,GSM8031717,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, IP 2",brain,brain,Camk2a-Cre-Rpl22HA,control,IP,missing,missing
SRR27700047,48967746,3648952989,74,1622,SRX23366865,GSM8031718,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229181,SAMN39578627,simple,10090,Mus musculus,GSM8031718,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Control, IP 3",brain,brain,Camk2a-Cre-Rpl22HA,control,IP,missing,missing
SRR27700046,51618837,3847516497,74,1727,SRX23366866,GSM8031719,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229182,SAMN39578626,simple,10090,Mus musculus,GSM8031719,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Tumor, Input 1",brain,brain,Camk2a-Cre-Rpl22HA,tumor,Input,missing,missing
SRR27700045,54862216,4088955269,74,1826,SRX23366867,GSM8031720,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229183,SAMN39578625,simple,10090,Mus musculus,GSM8031720,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Tumor, Input 2",brain,brain,Camk2a-Cre-Rpl22HA,tumor,Input,missing,missing
SRR27700044,43482854,3240824252,74,1456,SRX23366868,GSM8031721,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229184,SAMN39578624,simple,10090,Mus musculus,GSM8031721,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Tumor, Input 3",brain,brain,Camk2a-Cre-Rpl22HA,tumor,Input,missing,missing
SRR27700043,54191453,4037717159,74,1795,SRX23366869,GSM8031722,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP485460,PRJNA1068099,,"",SRS20229185,SAMN39578623,simple,10090,Mus musculus,GSM8031722,Columbia University,SRA1790733,01,2024,Tomassoni,brain,"Tumor, IP 1",brain,brain,Camk2a-Cre-Rpl22HA,tumor,IP,missing,missing
