Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR26184596,30767758,854437061,27,329,SRX21896502,GSM7806543,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983746,SAMN37547840,simple,4932,Saccharomyces cerevisiae,GSM7806543,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-0nM_a,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-0nM,missing,missing
SRR26184595,14917935,409806077,27,162,SRX21896503,GSM7806544,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983748,SAMN37547839,simple,4932,Saccharomyces cerevisiae,GSM7806544,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-0nM_b,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-0nM,missing,missing
SRR26184594,74070343,2007554818,27,754,SRX21896504,GSM7806545,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983747,SAMN37547838,simple,4932,Saccharomyces cerevisiae,GSM7806545,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-0nM_c,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-0nM,missing,missing
SRR26184593,50424991,1477332751,29,562,SRX21896505,GSM7806546,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983749,SAMN37547837,simple,4932,Saccharomyces cerevisiae,GSM7806546,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-100nM_a,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-100nM,missing,missing
SRR26184592,66860606,1903782992,28,719,SRX21896506,GSM7806547,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983751,SAMN37547836,simple,4932,Saccharomyces cerevisiae,GSM7806547,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-100nM_b,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-100nM,missing,missing
SRR26184591,14543432,410966924,28,162,SRX21896507,GSM7806548,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983750,SAMN37547835,simple,4932,Saccharomyces cerevisiae,GSM7806548,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-100nM_c,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-100nM,missing,missing
SRR26184590,53870283,1502020198,27,576,SRX21896508,GSM7806549,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983759,SAMN37547834,simple,4932,Saccharomyces cerevisiae,GSM7806549,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-500nM_a,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-500nM,missing,missing
SRR26184589,47868301,1337325328,27,511,SRX21896509,GSM7806550,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983753,SAMN37547833,simple,4932,Saccharomyces cerevisiae,GSM7806550,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-500nM_b,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-500nM,missing,missing
SRR26184588,65309710,1879948668,28,714,SRX21896510,GSM7806551,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983761,SAMN37547832,simple,4932,Saccharomyces cerevisiae,GSM7806551,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Ded1-500nM_c,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Ded1-500nM,missing,missing
SRR26184587,87691301,2395136718,27,1096,SRX21896511,GSM7806552,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983758,SAMN37547831,simple,4932,Saccharomyces cerevisiae,GSM7806552,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,eIF4A-500nM_a,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,eIF4A-500nM,missing,missing
SRR26184586,188091064,5217473404,27,2343,SRX21896512,GSM7806553,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983752,SAMN37547830,simple,4932,Saccharomyces cerevisiae,GSM7806553,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,eIF4A-500nM_b,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,eIF4A-500nM,missing,missing
SRR26184585,184389691,5121040622,27,2288,SRX21896513,GSM7806554,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983754,SAMN37547829,simple,4932,Saccharomyces cerevisiae,GSM7806554,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,eIF4A-5000nM_a,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,eIF4A-5000nM,missing,missing
SRR26184584,288755583,7741296354,26,3460,SRX21896514,GSM7806555,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983755,SAMN37547828,simple,4932,Saccharomyces cerevisiae,GSM7806555,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,eIF4A-5000nM_b,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,eIF4A-5000nM,missing,missing
SRR26184583,448245052,44824505200,100,13308,SRX21896515,GSM7806556,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP463272,PRJNA1021217,,"",SRS18983756,SAMN37547827,simple,4932,Saccharomyces cerevisiae,GSM7806556,"Section on the Mechanism and Regulation of Protein Synthesis, Eunice Kennedy Shriver National Institute of Child Health and Human Development,, National Institutes of Health",SRA1720625,10,2023,Lorsch,yeast cell,Input-total_mRNA,yeast cell,BY4741,yeast strain,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,Input-total_mRNA,missing,missing
