Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,geo_loc_name,collection_date
SRR19266838,27813974,2837025348,51,828,SRX15327222,GSM6165825,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055697,SAMN28524567,simple,4932,Saccharomyces cerevisiae,GSM6165825,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,WT_DMSO_1,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,DMSO,missing,missing
SRR19266837,27158260,2770142520,51,812,SRX15327223,GSM6165826,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055698,SAMN28524566,simple,4932,Saccharomyces cerevisiae,GSM6165826,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,WT_DMSO_2,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,DMSO,missing,missing
SRR19266836,27151622,2769465444,51,816,SRX15327224,GSM6165827,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055699,SAMN28524565,simple,4932,Saccharomyces cerevisiae,GSM6165827,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,WT_ANS_1,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,ANS,missing,missing
SRR19266835,27083315,2762498130,51,806,SRX15327225,GSM6165828,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055700,SAMN28524564,simple,4932,Saccharomyces cerevisiae,GSM6165828,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,WT_ANS_2,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,ANS,missing,missing
SRR19266834,27941865,2850070230,51,832,SRX15327226,GSM6165829,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055701,SAMN28524563,simple,4932,Saccharomyces cerevisiae,GSM6165829,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,upf1_DMSO_1,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 upf1*::kanMX4,DMSO,missing,missing
SRR19266833,29316121,2990244342,51,876,SRX15327227,GSM6165830,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055702,SAMN28524562,simple,4932,Saccharomyces cerevisiae,GSM6165830,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,upf1_DMSO_2,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 upf1*::kanMX4,DMSO,missing,missing
SRR19266832,26259534,2678472468,51,781,SRX15327228,GSM6165831,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055703,SAMN28524561,simple,4932,Saccharomyces cerevisiae,GSM6165831,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,upf1_ANS_1,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 upf1*::kanMX4,ANS,missing,missing
SRR19266831,29188951,2977273002,51,866,SRX15327229,GSM6165832,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375874,PRJNA839353,38443115,"",SRS13055704,SAMN28524560,simple,4932,Saccharomyces cerevisiae,GSM6165832,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422473,02,2024,Andjus,BY4741,upf1_ANS_2,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 upf1*::kanMX4,ANS,missing,missing
SRR19266946,29464734,3005402868,51,885,SRX15327329,GSM6165833,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375873,PRJNA839352,38443115,"",SRS13055733,SAMN28524587,simple,4932,Saccharomyces cerevisiae,GSM6165833,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422500,02,2024,Andjus,BY4741,WT_DMSO 1,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,DMSO,missing,missing
SRR19266945,31795960,3243187920,51,960,SRX15327330,GSM6165834,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375873,PRJNA839352,38443115,"",SRS13055734,SAMN28524586,simple,4932,Saccharomyces cerevisiae,GSM6165834,"Non-coding RNA, epigenetics and genome fluidity, UMR3244, Institut Curie",SRA1422500,02,2024,Andjus,BY4741,WT_DMSO 2,BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,DMSO,missing,missing
