Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,batch,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28618431,4927156,374463856,76,158,SRX24216637,GSM8196489,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986714,SAMN40921074,simple,10090,Mus musculus,GSM8196489,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_TRAP_rep1,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618430,15756732,1197511632,76,509,SRX24216638,GSM8196490,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986715,SAMN40921073,simple,10090,Mus musculus,GSM8196490,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_TRAP_rep2,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618429,16039940,1219035440,76,516,SRX24216639,GSM8196491,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986716,SAMN40921072,simple,10090,Mus musculus,GSM8196491,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_TRAP_rep3,cortex,cortex,female,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618428,13704756,1041561456,76,441,SRX24216640,GSM8196492,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986717,SAMN40921071,simple,10090,Mus musculus,GSM8196492,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_TRAP_rep4,cortex,cortex,male,1,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618427,8083214,816404614,101,337,SRX24216641,GSM8196493,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986718,SAMN40921070,simple,10090,Mus musculus,GSM8196493,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,Control_TRAP_rep5,cortex,cortex,female,2,microglia,Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
SRR28618426,4688947,356359972,76,151,SRX24216642,GSM8196494,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986719,SAMN40921069,simple,10090,Mus musculus,GSM8196494,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADTRAP_rep1,cortex,cortex,male,1,microglia,5xFAD;Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618425,2877809,218713484,76,93,SRX24216643,GSM8196495,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986720,SAMN40921068,simple,10090,Mus musculus,GSM8196495,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADTRAP_rep2,cortex,cortex,male,1,microglia,5xFAD;Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618424,6328818,639210618,101,266,SRX24216644,GSM8196496,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986721,SAMN40921067,simple,10090,Mus musculus,GSM8196496,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADTRAP_rep3,cortex,cortex,female,2,microglia,5xFAD;Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618423,6856955,692552455,101,285,SRX24216645,GSM8196497,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986722,SAMN40921066,simple,10090,Mus musculus,GSM8196497,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADTRAP_rep4,cortex,cortex,male,2,microglia,5xFAD;Cx3cr1CreErt2/+;Eef1a1LSL.eGFPL10a/+,tamoxifen and VEGF/ASV,missing,missing
SRR28618422,9857719,995629619,101,410,SRX24216646,GSM8196498,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP500826,PRJNA1098742,,"",SRS20986723,SAMN40921065,simple,10090,Mus musculus,GSM8196498,CUNY Graduate Center,SRA1843483,12,2024,Birnbaum,cortex,5xFADEif2ATRAP_rep1,cortex,cortex,female,1,microglia,5xFAD;Cx3cr1CreErt2/+;Eif2s1A/A;Tg(Eif2s1);Eef1a1LSL.eGFPL10a/+,tamoxifen,missing,missing
