Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,1,BioSampleModel
SRR24423846,21290347,6387104100,150,1950,SRX20211496,1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535563,SAMN34573086,simple,4081,Solanum lycopersicum,CR0-1-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,1,Plant
SRR24423845,21429574,6428872200,150,1942,SRX20211497,2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535564,SAMN34573087,simple,4081,Solanum lycopersicum,CR0-2-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,2,Plant
SRR24423844,23079904,6923971200,150,2111,SRX20211498,11,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535566,SAMN34573096,simple,4081,Solanum lycopersicum,CS30-2-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,11,Plant
SRR24423843,22841044,6852313200,150,2057,SRX20211499,12,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535565,SAMN34573097,simple,4081,Solanum lycopersicum,CS30-3-RNAseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,12,Plant
SRR24423842,55702925,16710877500,150,6916,SRX20211500,13,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535567,SAMN34573098,simple,4081,Solanum lycopersicum,CR0-1-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,13,Plant
SRR24423841,51231505,15369451500,150,6340,SRX20211501,14,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535568,SAMN34573099,simple,4081,Solanum lycopersicum,CR0-2-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,14,Plant
SRR24423840,55666838,16700051400,150,6913,SRX20211502,15,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535570,SAMN34573100,simple,4081,Solanum lycopersicum,CR0-3-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,15,Plant
SRR24423839,60015479,18004643700,150,7428,SRX20211503,16,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535569,SAMN34573101,simple,4081,Solanum lycopersicum,CS0-1-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,16,Plant
SRR24423838,61556248,18466874400,150,7607,SRX20211504,17,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535571,SAMN34573102,simple,4081,Solanum lycopersicum,CS0-2-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,17,Plant
SRR24423837,62163570,18649071000,150,7715,SRX20211505,18,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535572,SAMN34573103,simple,4081,Solanum lycopersicum,CS0-3-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-189,Red ripening fruit,China,Fruit,18,Plant
SRR24423836,62827058,18848117400,150,7770,SRX20211506,19,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP435822,PRJNA967039,,"",SRS17535573,SAMN34573104,simple,4081,Solanum lycopersicum,CR30-1-Riboseq,Nanjing Agriculture University,SRA1632190,11,2024,Jiang,"","",NT-91,Red ripening fruit,China,Fruit,19,Plant
