Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR27751386,100065728,10106638528,101,2745,SRX23416567,GSM8039387,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271631,SAMN39634208,simple,9606,Homo sapiens,GSM8039387,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_KO_water_Rep1,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",water for 2 hours,missing,missing
SRR27751385,127885427,12916428127,101,3521,SRX23416568,GSM8039388,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271633,SAMN39634207,simple,9606,Homo sapiens,GSM8039388,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_KO_water_Rep2,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",water for 2 hours,missing,missing
SRR27751384,110822983,11193121283,101,3069,SRX23416569,GSM8039389,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271630,SAMN39634206,simple,9606,Homo sapiens,GSM8039389,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_G3BP1_water_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 WT,water for 2 hours,missing,missing
SRR27751383,110675967,11178272667,101,3050,SRX23416570,GSM8039390,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271632,SAMN39634205,simple,9606,Homo sapiens,GSM8039390,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_G3BP1_water_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 WT,water for 2 hours,missing,missing
SRR27751382,118218836,11940102436,101,3274,SRX23416571,GSM8039391,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271636,SAMN39634204,simple,9606,Homo sapiens,GSM8039391,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_V11A_water_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 V11A,water for 2 hours,missing,missing
SRR27751381,106776662,10784442862,101,2959,SRX23416572,GSM8039392,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271635,SAMN39634203,simple,9606,Homo sapiens,GSM8039392,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_V11A_water_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 V11A,water for 2 hours,missing,missing
SRR27751380,118408911,11959300011,101,3275,SRX23416573,GSM8039393,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271634,SAMN39634202,simple,9606,Homo sapiens,GSM8039393,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_KO_NaAs_Rep1,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",Arsenite for 2 hours,missing,missing
SRR27751379,96293308,9725624108,101,2684,SRX23416574,GSM8039394,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271637,SAMN39634201,simple,9606,Homo sapiens,GSM8039394,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_KO_NaAs_Rep2,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",Arsenite for 2 hours,missing,missing
SRR27751378,109683168,11077999968,101,3039,SRX23416575,GSM8039395,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271638,SAMN39634200,simple,9606,Homo sapiens,GSM8039395,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_G3BP1_NaAs_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 WT,Arsenite for 2 hours,missing,missing
SRR27751377,95687995,9664487495,101,2679,SRX23416576,GSM8039396,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP486304,PRJNA1069987,,"",SRS20271640,SAMN39634199,simple,9606,Homo sapiens,GSM8039396,UCSF,SRA1792844,10,2024,Aghi,Bone,RNAseq_G3BP1_NaAs_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1 WT,Arsenite for 2 hours,missing,missing
