Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,organism,organism,growth condition,scientific_name,developmental stage,genotype,ENA-LAST-UPDATE,Experimental Factor: dcl3,Experimental Factor: complement
ERR1744193,86509465,4238963785,49,1563,ERX1813441,Sample 12_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462093,SAMEA17983918,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 12,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 12,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744192,73926189,3622383261,49,1349,ERX1813440,Sample 11_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462092,SAMEA17983168,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 11,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 11,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744205,66450564,3256077636,49,1198,ERX1813453,Sample 7_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462105,SAMEA17992918,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 7,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 7,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744201,54276789,2659562661,49,1161,ERX1813449,Sample 3_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462101,SAMEA17989918,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 3,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 3,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744190,61654390,3021065110,49,1155,ERX1813438,Sample 1_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462090,SAMEA17981668,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 1,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 1,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744204,70611633,3459970017,49,1311,ERX1813452,Sample 6_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462104,SAMEA17992168,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 6,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 6,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744194,6888577,523531852,76,200,ERX1813442,Sample 13_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462094,SAMEA17984668,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 13,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 13,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744203,54434684,2667299516,49,1047,ERX1813451,Sample 5_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462103,SAMEA17991418,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 5,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 5,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744206,90708522,4444717578,49,1633,ERX1813454,Sample 8_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462106,SAMEA17993668,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 8,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 8,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744197,5904251,448723076,76,170,ERX1813445,Sample 16_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462097,SAMEA17986918,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 16,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 16,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744195,5380714,408934264,76,161,ERX1813443,Sample 14_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462095,SAMEA17985418,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 14,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 14,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744198,6282905,477500780,76,184,ERX1813446,Sample 17_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462098,SAMEA17987668,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 17,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 17,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
ERR1744196,7310384,555589184,76,209,ERX1813444,Sample 15_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462096,SAMEA17986168,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 15,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 15,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744207,70630978,3460917922,49,1250,ERX1813455,Sample 9_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462107,SAMEA17994418,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 9,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 9,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744200,43894308,2150821092,49,863,ERX1813448,Sample 2_s,ssRNA-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,ERP020193,PRJEB18267,,"",ERS1462100,SAMEA17989168,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 2,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 2,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,complement,2016-11-30,,genotype
ERR1744199,6586014,500537064,76,196,ERX1813447,Sample 18_s,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP020193,PRJEB18267,,"",ERS1462099,SAMEA17988418,simple,3055,Chlamydomonas reinhardtii,E-MTAB-5271:Sample 18,European Bioinformatics Institute,ERA770292,03,2024,"","",Sample 18,not applicable,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,cultured to mid-log phase,Chlamydomonas reinhardtii,sporophyte vegetative stage,dcl3,2016-11-30,genotype,
