Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,geo_loc_name,collection_date
SRR25071780,22429081,1692730103,75,663,SRX20825792,GSM7518805,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104431,SAMN36072242,simple,7955,Danio rerio,GSM7518805,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 1 hpf, rep1",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071779,23360365,1762189348,75,689,SRX20825793,GSM7518806,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104432,SAMN36072241,simple,7955,Danio rerio,GSM7518806,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 1 hpf, rep2",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071778,26249180,1980374063,75,782,SRX20825794,GSM7518807,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104433,SAMN36072240,simple,7955,Danio rerio,GSM7518807,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 1 hpf, rep3",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071777,22049278,1664240742,75,651,SRX20825795,GSM7518808,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104438,SAMN36072239,simple,7955,Danio rerio,GSM7518808,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 6 hpf, rep1",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071776,23683518,1786925820,75,702,SRX20825796,GSM7518809,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104435,SAMN36072238,simple,7955,Danio rerio,GSM7518809,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 6 hpf, rep2",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071775,26301881,1983814816,75,782,SRX20825797,GSM7518810,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104436,SAMN36072237,simple,7955,Danio rerio,GSM7518810,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"Wild type, 6 hpf, rep3",Whole embryo,Whole embryo,Wild type AB strain,missing,missing
SRR25071774,24286583,1832077965,75,721,SRX20825798,GSM7518811,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104440,SAMN36072236,simple,7955,Danio rerio,GSM7518811,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"znf598 knockout, 1 hpf, rep1",Whole embryo,Whole embryo,znf598 knockout mutant,missing,missing
SRR25071773,23678222,1786890054,75,701,SRX20825799,GSM7518812,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104434,SAMN36072235,simple,7955,Danio rerio,GSM7518812,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"znf598 knockout, 1 hpf, rep2",Whole embryo,Whole embryo,znf598 knockout mutant,missing,missing
SRR25071772,23939526,1806663486,75,718,SRX20825800,GSM7518813,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104437,SAMN36072234,simple,7955,Danio rerio,GSM7518813,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"znf598 knockout, 1 hpf, rep3",Whole embryo,Whole embryo,znf598 knockout mutant,missing,missing
SRR25071771,23528443,1775047749,75,698,SRX20825801,GSM7518814,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP446536,PRJNA989133,,"",SRS18104439,SAMN36072233,simple,7955,Danio rerio,GSM7518814,"Department of Frontier Life Sciences, Kyoto Sangyo University",SRA1664576,10,2024,Ishibashi,Whole embryo,"znf598 knockout, 6 hpf, rep1",Whole embryo,Whole embryo,znf598 knockout mutant,missing,missing
