Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,treatment,geo_loc_name,collection_date
SRR27603716,24114924,7234477200,150,2116,SRX23272170,GSM8022600,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174458,SAMN39482924,simple,10090,Mus musculus,GSM8022600,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO mock_1,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,Mock transfected,missing,missing
SRR27603715,24051042,7215312600,150,2108,SRX23272171,GSM8022601,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174455,SAMN39482923,simple,10090,Mus musculus,GSM8022601,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO mock_2,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,Mock transfected,missing,missing
SRR27603714,23842303,7152690900,150,2100,SRX23272172,GSM8022602,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174456,SAMN39482922,simple,10090,Mus musculus,GSM8022602,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO 25A_1,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,2-5A transfected,missing,missing
SRR27603713,25755159,7726547700,150,2245,SRX23272173,GSM8022603,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174460,SAMN39482921,simple,10090,Mus musculus,GSM8022603,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO 25A_2,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,2-5A transfected,missing,missing
SRR27603711,23644240,7093272000,150,2083,SRX23272174,GSM8022604,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174459,SAMN39482920,simple,10090,Mus musculus,GSM8022604,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO A3_1,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,A3 transfected,missing,missing
SRR27603710,28523710,8557113000,150,2487,SRX23272175,GSM8022605,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174457,SAMN39482919,simple,10090,Mus musculus,GSM8022605,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,RKO A3_2,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,RNaseL KO,A3 transfected,missing,missing
SRR27603709,30881283,9264384900,150,2710,SRX23272176,GSM8022606,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174461,SAMN39482918,simple,10090,Mus musculus,GSM8022606,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,WT mock_1,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,WT,Mock transfected,missing,missing
SRR27603712,20255667,6076700100,150,1789,SRX23272177,GSM8022607,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174462,SAMN39482917,simple,10090,Mus musculus,GSM8022607,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,WT mock_2,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,WT,Mock transfected,missing,missing
SRR27603708,25959345,7787803500,150,2296,SRX23272178,GSM8022608,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174463,SAMN39482916,simple,10090,Mus musculus,GSM8022608,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,WT 25A_1,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,WT,2-5A transfected,missing,missing
SRR27603707,26697868,8009360400,150,2346,SRX23272179,GSM8022609,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP484413,PRJNA1066218,,"",SRS20174466,SAMN39482915,simple,10090,Mus musculus,GSM8022609,"Dr. Robert Silverman, Cancer Biology, Cleveland Clinic",SRA1787908,03,2024,XI,Bone Marrow Drived Macrophages,WT 25A_2,Bone Marrow Drived Macrophages,Bone Marrow Drived Macrophages,Primary cells,WT,2-5A transfected,missing,missing
