Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,fraction,geo_loc_name,collection_date
SRR22878244,17242907,879388257,51,296,SRX18836757,GSM6892105,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268726,SAMN32384195,simple,4932,Saccharomyces cerevisiae,GSM6892105,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP yeast SeRP, GFP IP, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP::kanMX,IP,missing,missing
SRR22878243,15705316,800971116,51,265,SRX18836758,GSM6892106,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268727,SAMN32384194,simple,4932,Saccharomyces cerevisiae,GSM6892106,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP yeast SeRP, GFP IP, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP::kanMX,IP,missing,missing
SRR22878242,24362171,1242470721,51,415,SRX18836759,GSM6892107,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268728,SAMN32384193,simple,4932,Saccharomyces cerevisiae,GSM6892107,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP yeast SeRP, total translatome, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP::kanMX,total translatome,missing,missing
SRR22878241,24551654,1252134354,51,399,SRX18836760,GSM6892108,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268729,SAMN32384192,simple,4932,Saccharomyces cerevisiae,GSM6892108,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP yeast SeRP, total translatome, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP::kanMX,total translatome,missing,missing
SRR22878240,14464326,737680626,51,239,SRX18836761,GSM6892109,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268730,SAMN32384191,simple,4932,Saccharomyces cerevisiae,GSM6892109,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP ΔNAC yeast SeRP, GFP IP, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP-kanMX egd1{delta}::hphNT1 btt1{delta}::hisMX6 egd2{delta}::natNT2,IP,missing,missing
SRR22878239,15235432,777007032,51,250,SRX18836762,GSM6892110,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268731,SAMN32384190,simple,4932,Saccharomyces cerevisiae,GSM6892110,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP ΔNAC yeast SeRP, GFP IP, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP-kanMX egd1{delta}::hphNT1 btt1{delta}::hisMX6 egd2{delta}::natNT2,IP,missing,missing
SRR22878238,32428475,1653852225,51,536,SRX18836763,GSM6892111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268732,SAMN32384189,simple,4932,Saccharomyces cerevisiae,GSM6892111,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP ΔNAC yeast SeRP, total translatome, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP-kanMX egd1{delta}::hphNT1 btt1{delta}::hisMX6 egd2{delta}::natNT2,total translatome,missing,missing
SRR22878237,55831850,2847424350,51,901,SRX18836764,GSM6892112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268733,SAMN32384188,simple,4932,Saccharomyces cerevisiae,GSM6892112,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"Chp1-GFP ΔNAC yeast SeRP, total translatome, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 ura3{delta}0 CHP1-sfGFP-kanMX egd1{delta}::hphNT1 btt1{delta}::hisMX6 egd2{delta}::natNT2,total translatome,missing,missing
SRR22878236,16203362,826371462,51,277,SRX18836765,GSM6892113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268734,SAMN32384187,simple,4932,Saccharomyces cerevisiae,GSM6892113,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"WT untagged yeast SeRP, GFP IP, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,IP,missing,missing
SRR22878235,23372164,1191980364,51,394,SRX18836766,GSM6892114,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268735,SAMN32384186,simple,4932,Saccharomyces cerevisiae,GSM6892114,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"WT untagged yeast SeRP, GFP IP, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,IP,missing,missing
SRR22878234,23364666,1191597966,51,409,SRX18836767,GSM6892115,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268736,SAMN32384185,simple,4932,Saccharomyces cerevisiae,GSM6892115,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"WT untagged yeast SeRP, total translatome, rep1",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,total translatome,missing,missing
SRR22878233,12054815,614795565,51,197,SRX18836768,GSM6892116,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP414609,PRJNA915314,38360885,"",SRS16268737,SAMN32384184,simple,4932,Saccharomyces cerevisiae,GSM6892116,"Claes Andreasson, Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University",SRA1564696,01,2024,Minoia,BY4741,"WT untagged yeast SeRP, total translatome, rep2",BY4741,BY4741,MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0,total translatome,missing,missing
