Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date
SRR27015455,25963480,7789044000,150,2374,SRX22707983,GSM7927199,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700285,SAMN38564662,simple,9606,Homo sapiens,GSM7927199,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, input_mRNA, rep1",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015454,27762031,8328609300,150,2560,SRX22707984,GSM7927200,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700284,SAMN38564661,simple,9606,Homo sapiens,GSM7927200,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, input_mRNA, rep2",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015453,24090161,7227048300,150,2232,SRX22707985,GSM7927201,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700286,SAMN38564660,simple,9606,Homo sapiens,GSM7927201,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, input_mRNA, rep3",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015452,39136908,1956845400,50,597,SRX22707986,GSM7927202,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP475325,PRJNA1047529,1,"",SRS19700287,SAMN38564659,simple,9606,Homo sapiens,GSM7927202,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, ribo-seq, rep1",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015451,36234035,1811701750,50,549,SRX22707987,GSM7927204,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP475325,PRJNA1047529,1,"",SRS19700289,SAMN38564658,simple,9606,Homo sapiens,GSM7927204,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, ribo-seq, rep2",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015450,35896039,1794801950,50,544,SRX22707988,GSM7927206,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP475325,PRJNA1047529,1,"",SRS19700288,SAMN38564657,simple,9606,Homo sapiens,GSM7927206,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, Scramble, ribo-seq, rep3",NCI-H1975,NCI-H1975,lung adenocarcinoma,Scramble,missing,missing
SRR27015449,23386816,7016044800,150,2211,SRX22707989,GSM7927207,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700290,SAMN38564656,simple,9606,Homo sapiens,GSM7927207,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, sgControl, input_mRNA, rep1",NCI-H1975,NCI-H1975,lung adenocarcinoma,CRISPR Control,missing,missing
SRR27015448,23296652,6988995600,150,2222,SRX22707990,GSM7927208,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700291,SAMN38564655,simple,9606,Homo sapiens,GSM7927208,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, sgControl, input_mRNA, rep2",NCI-H1975,NCI-H1975,lung adenocarcinoma,CRISPR Control,missing,missing
SRR27015447,24030845,7209253500,150,2291,SRX22707991,GSM7927209,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700292,SAMN38564654,simple,9606,Homo sapiens,GSM7927209,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, sgControl, input_mRNA, rep3",NCI-H1975,NCI-H1975,lung adenocarcinoma,CRISPR Control,missing,missing
SRR27015446,23074621,6922386300,150,2186,SRX22707992,GSM7927211,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP475325,PRJNA1047529,1,"",SRS19700293,SAMN38564653,simple,9606,Homo sapiens,GSM7927211,"Department of Thoracic Surgery, Shanghai Tongji Hospital Affiliated with Tongji University",SRA1761536,12,2023,Makar,NCI-H1975,"NCI-H1975 cells, sgDAMP, input_mRNA, rep1",NCI-H1975,NCI-H1975,lung adenocarcinoma,DAMP knockout,missing,missing
