Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR25288058,64680887,2625634729,40,1270,SRX21031648,GSM7611218,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304105,SAMN36459198,simple,9606,Homo sapiens,GSM7611218,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep2 72h Ribo,HeLa,HeLa,Ighmbp2 siRNA 72h,missing,missing
SRR25288057,30166136,2292626336,76,813,SRX21031649,GSM7611194,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304106,SAMN36459222,simple,9606,Homo sapiens,GSM7611194,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep1 72h,HeLa,HeLa,Control siRNA (siLuciferase) 72h,missing,missing
SRR25288056,28483227,2164725252,76,786,SRX21031650,GSM7611195,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304107,SAMN36459221,simple,9606,Homo sapiens,GSM7611195,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control Biorep2 72h,HeLa,HeLa,Control siRNA (siLuciferase) 72h,missing,missing
SRR25288055,29985802,2278920952,76,811,SRX21031651,GSM7611196,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304108,SAMN36459220,simple,9606,Homo sapiens,GSM7611196,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep3 72h,HeLa,HeLa,Control siRNA (siLuciferase) 72h,missing,missing
SRR25288054,32943471,2503703796,76,888,SRX21031652,GSM7611197,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304109,SAMN36459219,simple,9606,Homo sapiens,GSM7611197,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep1 72h,HeLa,HeLa,Ighmbp2 siRNA 72h,missing,missing
SRR25288053,33217896,2524560096,76,892,SRX21031653,GSM7611198,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304110,SAMN36459218,simple,9606,Homo sapiens,GSM7611198,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep2 72h,HeLa,HeLa,Ighmbp2 siRNA 72h,missing,missing
SRR25288052,30257924,2299602224,76,817,SRX21031654,GSM7611199,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304111,SAMN36459217,simple,9606,Homo sapiens,GSM7611199,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep3 72h,HeLa,HeLa,Ighmbp2 siRNA 72h,missing,missing
SRR25288051,31178434,4739121968,76,1773,SRX21031655,GSM7611200,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304112,SAMN36459216,simple,9606,Homo sapiens,GSM7611200,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep1 96h,HeLa,HeLa,Control siRNA (siLuciferase) 96h,missing,missing
SRR25288050,36548700,5555402400,76,2061,SRX21031656,GSM7611201,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304113,SAMN36459215,simple,9606,Homo sapiens,GSM7611201,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep2 96h,HeLa,HeLa,Control siRNA (siLuciferase) 96h,missing,missing
SRR25288049,30919017,4699690584,76,1747,SRX21031657,GSM7611202,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304114,SAMN36459214,simple,9606,Homo sapiens,GSM7611202,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Control BioRep3 96h,HeLa,HeLa,Control siRNA (siLuciferase) 96h,missing,missing
SRR25288048,33144262,5037927824,76,1899,SRX21031658,GSM7611203,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304115,SAMN36459213,simple,9606,Homo sapiens,GSM7611203,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep1 96h,HeLa,HeLa,Ighmbp2 siRNA 96h,missing,missing
SRR25288047,34823995,5293247240,76,1965,SRX21031659,GSM7611204,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP449618,PRJNA994913,38368610,"",SRS18304117,SAMN36459212,simple,9606,Homo sapiens,GSM7611204,"Institut für Virologie und Immunbiologie, Julius-Maximilians-Universität Würzburg",SRA1673413,01,2024,Prusty,HeLa,si Ighmbp2 BioRep2 96h,HeLa,HeLa,Ighmbp2 siRNA 96h,missing,missing
