Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date
SRR29365048,63973759,3198687950,50,892,SRX24879488,GSM8322599,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588352,SAMN41791664,simple,6239,Caenorhabditis elegans,GSM8322599,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 20C, rep 1",Whole animal,Whole animal,N2,20C,missing,missing
SRR29365047,43724044,2186202200,50,612,SRX24879489,GSM8322600,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588334,SAMN41791663,simple,6239,Caenorhabditis elegans,GSM8322600,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 20C, rep 2",Whole animal,Whole animal,N2,20C,missing,missing
SRR29365046,69410919,3470545950,50,967,SRX24879490,GSM8322601,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588335,SAMN41791662,simple,6239,Caenorhabditis elegans,GSM8322601,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 10C, rep 1",Whole animal,Whole animal,N2,10C 3h,missing,missing
SRR29365045,100000000,5e+09,50,1381,SRX24879491,GSM8322602,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588363,SAMN41791661,simple,6239,Caenorhabditis elegans,GSM8322602,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 10C, rep 2",Whole animal,Whole animal,N2,10C 3h,missing,missing
SRR29365044,56285230,2814261500,50,785,SRX24879492,GSM8322603,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588336,SAMN41791660,simple,6239,Caenorhabditis elegans,GSM8322603,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 1d, rep 1",Whole animal,Whole animal,N2,10C 3h 4C 1d,missing,missing
SRR29365043,81738444,4086922200,50,1132,SRX24879493,GSM8322604,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588345,SAMN41791659,simple,6239,Caenorhabditis elegans,GSM8322604,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 1d, rep 2",Whole animal,Whole animal,N2,10C 3h 4C 1d,missing,missing
SRR29365042,73039791,3651989550,50,1016,SRX24879494,GSM8322605,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588347,SAMN41791658,simple,6239,Caenorhabditis elegans,GSM8322605,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 3d, rep 1",Whole animal,Whole animal,N2,10C 3h 4C 3d,missing,missing
SRR29365041,52488266,2624413300,50,731,SRX24879495,GSM8322606,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588337,SAMN41791657,simple,6239,Caenorhabditis elegans,GSM8322606,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 3d, rep 2",Whole animal,Whole animal,N2,10C 3h 4C 3d,missing,missing
SRR29365040,100000000,5e+09,50,1372,SRX24879496,GSM8322607,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588338,SAMN41791656,simple,6239,Caenorhabditis elegans,GSM8322607,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 5d, rep 1",Whole animal,Whole animal,N2,10C 3h 4C 3d,missing,missing
SRR29365039,100000000,5e+09,50,1373,SRX24879497,GSM8322608,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP513282,PRJNA1122590,,"",SRS21588340,SAMN41791655,simple,6239,Caenorhabditis elegans,GSM8322608,"Valen, Department of Biosciences, University of Oslo",SRA1897134,12,2024,Valen,Whole animal,"N2, 4C 5d, rep 2",Whole animal,Whole animal,N2,10C 3h 4C 3d,missing,missing
