Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,fraction,geo_loc_name,collection_date
SRR29790669,68636239,20590871700,150,6160,SRX25290016,GSM8391527,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968735,SAMN42438478,simple,9606,Homo sapiens,GSM8391527,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.input.rep1,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,cytoplamic RNA,missing,missing
SRR29790668,69446255,20833876500,150,6271,SRX25290017,GSM8391528,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968737,SAMN42438477,simple,9606,Homo sapiens,GSM8391528,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.input.rep2,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,cytoplamic RNA,missing,missing
SRR29790667,71833771,21550131300,150,6473,SRX25290018,GSM8391529,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968738,SAMN42438476,simple,9606,Homo sapiens,GSM8391529,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.input.rep3,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,cytoplamic RNA,missing,missing
SRR29790666,74577327,22373198100,150,6688,SRX25290019,GSM8391530,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968739,SAMN42438475,simple,9606,Homo sapiens,GSM8391530,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.SMYD5KO.input.rep1,Huh7,Huh7,hepatocellular carcinoma cell line,SMYD5 knockout,NA,cytoplamic RNA,missing,missing
SRR29790665,70952411,21285723300,150,6375,SRX25290020,GSM8391531,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968741,SAMN42438474,simple,9606,Homo sapiens,GSM8391531,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.SMYD5KO.input.rep2,Huh7,Huh7,hepatocellular carcinoma cell line,SMYD5 knockout,NA,cytoplamic RNA,missing,missing
SRR29790664,70133324,21039997200,150,6208,SRX25290021,GSM8391532,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968740,SAMN42438473,simple,9606,Homo sapiens,GSM8391532,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.SMYD5KO.input.rep3,Huh7,Huh7,hepatocellular carcinoma cell line,SMYD5 knockout,NA,cytoplamic RNA,missing,missing
SRR29790663,222484221,66745266300,150,20303,SRX25290022,GSM8391533,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968742,SAMN42438472,simple,9606,Homo sapiens,GSM8391533,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.riboseq.rep1,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,ribosome protected footprint,missing,missing
SRR29790662,188154847,56446454100,150,17391,SRX25290023,GSM8391534,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968743,SAMN42438471,simple,9606,Homo sapiens,GSM8391534,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.riboseq.rep2,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,ribosome protected footprint,missing,missing
SRR29790661,191117297,57335189100,150,18040,SRX25290024,GSM8391535,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968744,SAMN42438470,simple,9606,Homo sapiens,GSM8391535,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.NC.riboseq.rep3,Huh7,Huh7,hepatocellular carcinoma cell line,Negative Control,NA,ribosome protected footprint,missing,missing
SRR29790660,208486771,62546031300,150,19650,SRX25290025,GSM8391536,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456796,PRJNA1008741,39103523,"",SRS21968745,SAMN42438469,simple,9606,Homo sapiens,GSM8391536,Fudan University,SRA1922210,09,2024,Miao,Huh7,Huh7.SMYD5KO.riboseq.rep1,Huh7,Huh7,hepatocellular carcinoma cell line,SMYD5 knockout,NA,ribosome protected footprint,missing,missing
