Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,breed,host,isolation_source,collection_date,geo_loc_name,tissue,Sample_inf,BioSampleModel
SRR29090832,21910344,6573103200,150,2035,SRX24614870,D5-HSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352051,SAMN41464576,simple,9031,Gallus gallus,D5-HSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC1-RNA,Invertebrate
SRR29090831,20073517,6022055100,150,1867,SRX24614871,D5-HSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352052,SAMN41464577,simple,9031,Gallus gallus,D5-HSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D5-HSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D5-HSSC2-RNA,Invertebrate
SRR29090830,24203797,7261139100,150,2298,SRX24614872,D10-LSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352053,SAMN41464586,simple,9031,Gallus gallus,D10-LSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC2-RNA,Invertebrate
SRR29090829,28225940,8467782000,150,2665,SRX24614873,D10-LSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352054,SAMN41464587,simple,9031,Gallus gallus,D10-LSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D10-LSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D10-LSSC3-RNA,Invertebrate
SRR29090828,25632655,7689796500,150,2405,SRX24614874,D15-HSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352055,SAMN41464588,simple,9031,Gallus gallus,D15-HSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC1-RNA,Invertebrate
SRR29090827,22088539,6626561700,150,2078,SRX24614875,D15-HSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352056,SAMN41464589,simple,9031,Gallus gallus,D15-HSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC2-RNA,Invertebrate
SRR29090826,26029630,7808889000,150,2508,SRX24614876,D15-HSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352057,SAMN41464590,simple,9031,Gallus gallus,D15-HSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-HSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-HSSC3-RNA,Invertebrate
SRR29090825,24055738,7216721400,150,2267,SRX24614877,D15-LSSC1-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352058,SAMN41464591,simple,9031,Gallus gallus,D15-LSSC1-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC1-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC1-RNA,Invertebrate
SRR29090824,22580386,6774115800,150,2121,SRX24614878,D15-LSSC2-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352059,SAMN41464592,simple,9031,Gallus gallus,D15-LSSC2-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC2-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC2-RNA,Invertebrate
SRR29090823,26434103,7930230900,150,2535,SRX24614879,D15-LSSC3-RNA,RNA-Seq,cDNA_oligo_dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508839,PRJNA1113713,,"",SRS21352060,SAMN41464593,simple,9031,Gallus gallus,D15-LSSC3-RNA,Guangxi University,SRA1872046,05,2024,Xiao,"",D15-LSSC3-RNA,not applicable,Guangxi partridge chicken,not applicable,not applicable,2022-12-12,China: Guangxi,uterus-vagina junction,D15-LSSC3-RNA,Invertebrate
