Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,antibody,treatment,geo_loc_name,collection_date
SRR26590556,59183116,14747114594,124,4523,SRX22291467,GSM7871213,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342429,SAMN38044759,simple,2961,Amphidinium carterae,GSM7871213,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, input-seq-F1",exponentially grown cells,exponentially grown cells,none,normal,missing,missing
SRR26590555,33769542,6552406339,96,2040,SRX22291468,GSM7871214,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342428,SAMN38044758,simple,2961,Amphidinium carterae,GSM7871214,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, RIP-seq-F1",exponentially grown cells,exponentially grown cells,m1A,normal,missing,missing
SRR26590554,20952413,5171196057,123,1603,SRX22291469,GSM7871215,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342442,SAMN38044757,simple,2961,Amphidinium carterae,GSM7871215,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, input-seq-F2",exponentially grown cells,exponentially grown cells,none,normal,missing,missing
SRR26590553,14423593,3307683793,114,1052,SRX22291470,GSM7871216,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342426,SAMN38044756,simple,2961,Amphidinium carterae,GSM7871216,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, RIP-seq-F2",exponentially grown cells,exponentially grown cells,m1A,normal,missing,missing
SRR26590552,46081660,11237903337,121,3519,SRX22291471,GSM7871217,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342431,SAMN38044755,simple,2961,Amphidinium carterae,GSM7871217,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, input-seq-F3",exponentially grown cells,exponentially grown cells,none,normal,missing,missing
SRR26590551,10786308,2527908102,117,788,SRX22291472,GSM7871218,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342427,SAMN38044754,simple,2961,Amphidinium carterae,GSM7871218,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, F2, RIP-seq-F3",exponentially grown cells,exponentially grown cells,m1A,normal,missing,missing
SRR26590550,31519293,6155687787,97,1927,SRX22291473,GSM7871219,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342435,SAMN38044753,simple,2961,Amphidinium carterae,GSM7871219,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N, input-seq-N1",exponentially grown cells,exponentially grown cells,none,nitrogen-depletion f/2 medium,missing,missing
SRR26590549,17804506,3565858682,100,1115,SRX22291474,GSM7871220,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342434,SAMN38044752,simple,2961,Amphidinium carterae,GSM7871220,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RIP-seq-N1",exponentially grown cells,exponentially grown cells,m1A,nitrogen-depletion f/2 medium,missing,missing
SRR26590548,23335216,4496613797,96,1434,SRX22291475,GSM7871221,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342432,SAMN38044751,simple,2961,Amphidinium carterae,GSM7871221,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N, input-seq-N2",exponentially grown cells,exponentially grown cells,none,nitrogen-depletion f/2 medium,missing,missing
SRR26590547,17766766,3692014448,103,1144,SRX22291476,GSM7871222,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP469268,PRJNA1033620,39223385,"",SRS19342433,SAMN38044750,simple,2961,Amphidinium carterae,GSM7871222,Southern University of Science and Technology (SUSTech),SRA1742155,07,2024,Li,exponentially grown cells,"Ac, N , RIP-seq-N2",exponentially grown cells,exponentially grown cells,m1A,nitrogen-depletion f/2 medium,missing,missing
