Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,type,GEO Accession
SRR6949764,62531165,3189089415,51,1160,SRX3893256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131028,SAMN08872702,simple,10090,Mus musculus,GSM3083069,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_1_4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083069
SRR6949765,10869562,554347662,51,249,SRX3893256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131028,SAMN08872702,simple,10090,Mus musculus,GSM3083069,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_1_4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083070
SRR6949766,49684212,2533894812,51,921,SRX3893257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131029,SAMN08872701,simple,10090,Mus musculus,GSM3083070,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_2_4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083071
SRR6949767,5934528,302660928,51,130,SRX3893257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131029,SAMN08872701,simple,10090,Mus musculus,GSM3083070,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_2_4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083072
SRR6949768,56739344,2893706544,51,1044,SRX3893258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131030,SAMN08872700,simple,10090,Mus musculus,GSM3083071,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_3_4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083073
SRR6949769,7012473,357636123,51,153,SRX3893258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131030,SAMN08872700,simple,10090,Mus musculus,GSM3083071,GEO,SRA682802,07,2018,Freimer,ESCs_WT 4sU,WT_3_4sU,ESCs_WT total,embryonic stem cells,wild type,total RNA,GSM3083074
SRR6949770,8681131,442737681,51,159,SRX3893259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131031,SAMN08872699,simple,10090,Mus musculus,GSM3083072,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_1_total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083075
SRR6949771,3619424,184590624,51,78,SRX3893259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131031,SAMN08872699,simple,10090,Mus musculus,GSM3083072,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_1_total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083076
SRR6949772,11062568,564190968,51,202,SRX3893260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131032,SAMN08872698,simple,10090,Mus musculus,GSM3083073,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_2_total RNA,ESCs_DDX8KO_4su,embryonic stem cells,DGCR8 KO,4sU,GSM3083077
SRR6949773,4962676,253096476,51,107,SRX3893260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131032,SAMN08872698,simple,10090,Mus musculus,GSM3083073,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_2_total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083078
SRR6949774,5412273,276025923,51,120,SRX3893261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131033,SAMN08872697,simple,10090,Mus musculus,GSM3083074,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_3_total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083079
SRR6949775,11192766,570831066,51,206,SRX3893261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131033,SAMN08872697,simple,10090,Mus musculus,GSM3083074,GEO,SRA682802,07,2018,Freimer,ESCs_WT total,WT_3_total RNA,ESCs_DDX8KO_total,embryonic stem cells,DGCR8 KO,total RNA,GSM3083080
SRR6949776,47594662,2427327762,51,882,SRX3893262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP137729,PRJNA448916,30044225,"",SRS3131035,SAMN08872696,simple,10090,Mus musculus,GSM3083075,GEO,SRA682802,07,2018,Freimer,ESCs_DDX8KO_4su,DGCR8KO 1 4sU,ESCs_WT 4sU,embryonic stem cells,wild type,4sU,GSM3083069
