Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,agent,geo_loc_name,collection_date
SRR23190744,4314071,162193691,37,67,SRX19141062,GSM6957077,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553843,SAMN32874504,simple,9606,Homo sapiens,GSM6957077,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,WT_1_ctrl,HEK293T,HEK293T,WT,untreated control,missing,missing
SRR23190743,5935605,227520516,38,94,SRX19141063,GSM6957078,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553844,SAMN32874503,simple,9606,Homo sapiens,GSM6957078,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,WT_2_ctrl,HEK293T,HEK293T,WT,untreated control,missing,missing
SRR23190742,14637935,549211253,37,264,SRX19141064,GSM6957079,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553845,SAMN32874502,simple,9606,Homo sapiens,GSM6957079,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,WT_1_HAC,HEK293T,HEK293T,WT,HAC treated,missing,missing
SRR23190741,21931742,817689896,37,393,SRX19141065,GSM6957080,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553846,SAMN32874501,simple,9606,Homo sapiens,GSM6957080,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,WT_2_HAC,HEK293T,HEK293T,WT,HAC treated,missing,missing
SRR23190740,2747345,97000372,35,41,SRX19141066,GSM6957081,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553847,SAMN32874500,simple,9606,Homo sapiens,GSM6957081,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M2KO_1_ctrl,HEK293T,HEK293T,METTL2A/2B KO,untreated control,missing,missing
SRR23190739,5501926,199769107,36,84,SRX19141067,GSM6957082,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553848,SAMN32874499,simple,9606,Homo sapiens,GSM6957082,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M2KO_2_ctrl,HEK293T,HEK293T,METTL2A/2B KO,untreated control,missing,missing
SRR23190738,15621059,570255248,36,275,SRX19141068,GSM6957083,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553849,SAMN32874498,simple,9606,Homo sapiens,GSM6957083,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M2KO_1_HAC,HEK293T,HEK293T,METTL2A/2B KO,HAC treated,missing,missing
SRR23190737,13347560,472997265,35,230,SRX19141069,GSM6957084,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553850,SAMN32874497,simple,9606,Homo sapiens,GSM6957084,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M2KO_2_HAC,HEK293T,HEK293T,METTL2A/2B KO,HAC treated,missing,missing
SRR23190736,5001801,193745731,38,80,SRX19141070,GSM6957085,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553851,SAMN32874496,simple,9606,Homo sapiens,GSM6957085,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M6KO_1_ctrl,HEK293T,HEK293T,METTL6 KO,untreated control,missing,missing
SRR23190735,5220633,184384434,35,78,SRX19141071,GSM6957086,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP418665,PRJNA926487,38982125,"",SRS16553852,SAMN32874495,simple,9606,Homo sapiens,GSM6957086,Boston Children's Hospital,SRA1578329,07,2024,Cui,HEK293T,M6KO_2_ctrl,HEK293T,HEK293T,METTL6 KO,untreated control,missing,missing
