Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,lentivirus,fraction,treatment,geo_loc_name,collection_date
SRR21503389,34741043,1157998776,33,422,SRX17505953,GSM6568765,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057638,SAMN30755348,simple,10090,Mus musculus,GSM6568765,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_pd_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx,missing,missing
SRR21503388,62235719,1935848990,31,712,SRX17505954,GSM6568750,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057639,SAMN30755363,simple,10090,Mus musculus,GSM6568750,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_in_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx + KCl depolarization,missing,missing
SRR21503387,65508674,2055405762,31,762,SRX17505955,GSM6568751,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057640,SAMN30755362,simple,10090,Mus musculus,GSM6568751,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_pd_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503386,36957751,1191372565,32,441,SRX17505956,GSM6568752,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057641,SAMN30755361,simple,10090,Mus musculus,GSM6568752,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_in_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx + KCl depolarization,missing,missing
SRR21503385,45772962,1461612643,31,542,SRX17505957,GSM6568753,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057642,SAMN30755360,simple,10090,Mus musculus,GSM6568753,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_PSD95_pd_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx + KCl depolarization,missing,missing
SRR21503384,86236541,2667407222,30,1000,SRX17505958,GSM6568754,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057643,SAMN30755359,simple,10090,Mus musculus,GSM6568754,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_in_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx,missing,missing
SRR21503383,54064516,1718535625,31,665,SRX17505959,GSM6568755,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057644,SAMN30755358,simple,10090,Mus musculus,GSM6568755,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_Pan_pd_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,streptavidin pulldown,Chx,missing,missing
SRR21503382,62016511,1944152144,31,731,SRX17505960,GSM6568756,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057645,SAMN30755357,simple,10090,Mus musculus,GSM6568756,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_in_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,input,Chx,missing,missing
SRR21503381,57575382,1826927116,31,684,SRX17505961,GSM6568757,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057646,SAMN30755356,simple,10090,Mus musculus,GSM6568757,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,REST_PSD95_pd_rep_1 [Ribo-Seq],NA,primary neuronal culture (cortical),PSD95-TurboID,streptavidin pulldown,Chx,missing,missing
SRR21503380,72712653,2360378572,32,860,SRX17505962,GSM6568758,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396440,PRJNA878797,38589584,"",SRS15057647,SAMN30755355,simple,10090,Mus musculus,GSM6568758,Rockefeller University,SRA1495850,03,2024,Hacisuleyman,NA,DEP_Pan_in_rep_2 [Ribo-Seq],NA,primary neuronal culture (cortical),Pan-TurboID,input,Chx + KCl depolarization,missing,missing
