Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,geo_loc_name,collection_date
SRR30321796,52321705,3014611055,57,2253,SRX25782002,GSM8475111,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414171,SAMN43276756,simple,9606,Homo sapiens,GSM8475111,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_input_trex,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Naive,missing,missing
SRR30321795,31402417,1843848307,58,1367,SRX25782003,GSM8475112,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414172,SAMN43276755,simple,9606,Homo sapiens,GSM8475112,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_input_WT1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321794,55702562,3245187835,58,2416,SRX25782004,GSM8475113,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414173,SAMN43276754,simple,9606,Homo sapiens,GSM8475113,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_input_WT2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321793,49637411,2893626395,58,2151,SRX25782005,GSM8475114,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414174,SAMN43276753,simple,9606,Homo sapiens,GSM8475114,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_input_AAQ1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321792,33492815,1968972039,58,1455,SRX25782006,GSM8475115,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414175,SAMN43276752,simple,9606,Homo sapiens,GSM8475115,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_input_AAQ2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321791,1208436,71671898,59,55,SRX25782007,GSM8475116,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414176,SAMN43276751,simple,9606,Homo sapiens,GSM8475116,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_IP_trex,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,Naive,missing,missing
SRR30321790,40179459,2447193444,60,1760,SRX25782008,GSM8475117,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414177,SAMN43276750,simple,9606,Homo sapiens,GSM8475117,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_IP_WT1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321789,62960397,3841254868,61,2759,SRX25782009,GSM8475118,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414178,SAMN43276749,simple,9606,Homo sapiens,GSM8475118,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_IP_WT2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1 overexpression,missing,missing
SRR30321788,54136085,3302805114,61,2373,SRX25782010,GSM8475119,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414179,SAMN43276748,simple,9606,Homo sapiens,GSM8475119,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_IP_AAQ1,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
SRR30321787,28649954,1754977257,61,1261,SRX25782011,GSM8475120,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP527665,PRJNA1150324,,"",SRS22414180,SAMN43276747,simple,9606,Homo sapiens,GSM8475120,Riken,SRA1952482,09,2024,Akiyama,HEK293 Flp-In T-REx,d_erf1_IP_AAQ2,HEK293 Flp-In T-REx,HEK293 Flp-In T-REx,Human embryonic kidney,SBP-eRF1-AAQ overexpression,missing,missing
