Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cell type,treatment,geo_loc_name,collection_date
SRR21518633,474916,10292601,21,9,SRX17521033,GSM6571300,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071589,SAMN30789325,simple,10090,Mus musculus,GSM6571300,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_1,primary neuronal culture (cortical),Chx,missing,missing
SRR21518632,38025,1237421,32,1,SRX17521034,GSM6571301,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071590,SAMN30789324,simple,10090,Mus musculus,GSM6571301,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_2,primary neuronal culture (cortical),Chx,missing,missing
SRR21518631,44009,1342612,30,1,SRX17521035,GSM6571302,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071591,SAMN30789323,simple,10090,Mus musculus,GSM6571302,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_3,primary neuronal culture (cortical),Chx,missing,missing
SRR21518630,390059,8998931,23,7,SRX17521036,GSM6571303,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071592,SAMN30789322,simple,10090,Mus musculus,GSM6571303,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_4,primary neuronal culture (cortical),Chx,missing,missing
SRR21518629,431811,10775133,24,8,SRX17521037,GSM6571304,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071593,SAMN30789321,simple,10090,Mus musculus,GSM6571304,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_5,primary neuronal culture (cortical),Chx,missing,missing
SRR21518628,398329,10126955,25,8,SRX17521038,GSM6571305,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071594,SAMN30789320,simple,10090,Mus musculus,GSM6571305,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_rest_6,primary neuronal culture (cortical),Chx,missing,missing
SRR21518627,317069,7149785,22,6,SRX17521039,GSM6571306,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071595,SAMN30789319,simple,10090,Mus musculus,GSM6571306,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_1,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
SRR21518626,90620,2569484,28,2,SRX17521040,GSM6571307,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071596,SAMN30789318,simple,10090,Mus musculus,GSM6571307,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_2,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
SRR21518625,111889,3257910,29,2,SRX17521041,GSM6571308,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071597,SAMN30789317,simple,10090,Mus musculus,GSM6571308,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_3,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
SRR21518624,263823,6604022,25,5,SRX17521042,GSM6571309,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071598,SAMN30789316,simple,10090,Mus musculus,GSM6571309,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_4,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
SRR21518623,376079,9210485,24,7,SRX17521043,GSM6571310,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071599,SAMN30789315,simple,10090,Mus musculus,GSM6571310,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_5,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
SRR21518622,142608,3509669,24,3,SRX17521044,GSM6571311,RIP-Seq,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP396554,PRJNA879071,38589584,"",SRS15071600,SAMN30789314,simple,10090,Mus musculus,GSM6571311,Rockefeller University,SRA1499883,03,2024,Hacisuleyman,NA,eif4g_clip_dep_6,primary neuronal culture (cortical),Chx + KCl depolarization,missing,missing
