Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,fraction,genotype,treatment,geo_loc_name,collection_date
SRR18592163,8867837,1330175550,150,597,SRX14720792,GSM6008503,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482971,SAMN27282950,simple,4932,Saccharomyces cerevisiae,GSM6008503,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR SSU Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,small ribosomal subunit (SSU),wild type,glucose (+),missing,missing
SRR18592162,29398625,4409793750,150,1944,SRX14720793,GSM6008504,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482970,SAMN27282949,simple,4932,Saccharomyces cerevisiae,GSM6008504,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR SSU Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,small ribosomal subunit (SSU),wild type,glucose (+),missing,missing
SRR18592161,51051885,7657782750,150,3482,SRX14720794,GSM6008505,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482972,SAMN27282948,simple,4932,Saccharomyces cerevisiae,GSM6008505,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min SSU Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,small ribosomal subunit (SSU),wild type,glucose (-),missing,missing
SRR18592160,191765688,28764853200,150,12408,SRX14720795,GSM6008506,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482973,SAMN27282947,simple,4932,Saccharomyces cerevisiae,GSM6008506,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min SSU Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,small ribosomal subunit (SSU),wild type,glucose (-),missing,missing
SRR18592159,7803497,1170524550,150,531,SRX14720796,GSM6008507,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482974,SAMN27282946,simple,4932,Saccharomyces cerevisiae,GSM6008507,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR RS Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,"monosomal (ribosomes, RS)",wild type,glucose (+),missing,missing
SRR18592158,199172445,29875866750,150,12776,SRX14720797,GSM6008508,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482975,SAMN27282945,simple,4932,Saccharomyces cerevisiae,GSM6008508,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR RS Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,"monosomal (ribosomes, RS)",wild type,glucose (+),missing,missing
SRR18592157,192385873,28857880950,150,13120,SRX14720798,GSM6008509,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482976,SAMN27282944,simple,4932,Saccharomyces cerevisiae,GSM6008509,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min RS Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,"monosomal (ribosomes, RS)",wild type,glucose (-),missing,missing
SRR18592156,70142977,10521446550,150,4465,SRX14720799,GSM6008510,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482977,SAMN27282943,simple,4932,Saccharomyces cerevisiae,GSM6008510,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min RS Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,"monosomal (ribosomes, RS)",wild type,glucose (-),missing,missing
SRR18592155,8285985,1242897750,150,539,SRX14720800,GSM6008511,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482978,SAMN27282942,simple,4932,Saccharomyces cerevisiae,GSM6008511,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR DS Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (+),missing,missing
SRR18592154,8073898,1211084700,150,483,SRX14720801,GSM6008512,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482979,SAMN27282941,simple,4932,Saccharomyces cerevisiae,GSM6008512,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR DS Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (+),missing,missing
SRR18592153,3524742,528711300,150,222,SRX14720802,GSM6008513,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482980,SAMN27282940,simple,4932,Saccharomyces cerevisiae,GSM6008513,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR DS Rep3,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (+),missing,missing
SRR18592152,4649502,697425300,150,301,SRX14720803,GSM6008514,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482981,SAMN27282939,simple,4932,Saccharomyces cerevisiae,GSM6008514,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR DS Rep4,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (+),missing,missing
SRR18592151,51091294,7663694100,150,3459,SRX14720804,GSM6008515,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482984,SAMN27282938,simple,4932,Saccharomyces cerevisiae,GSM6008515,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min DS Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (-),missing,missing
SRR18592150,2256044,338406600,150,143,SRX14720805,GSM6008516,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482982,SAMN27282937,simple,4932,Saccharomyces cerevisiae,GSM6008516,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min DS Rep2,Liquid yeast culture with OD600 0.6-0.8,BY4741,"disomal (disomes, DS)",wild type,glucose (-),missing,missing
SRR18592149,43063939,12919181700,150,3778,SRX14720806,GSM6008517,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482983,SAMN27282936,simple,4932,Saccharomyces cerevisiae,GSM6008517,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR TCL RNA Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,,wild type,glucose (+),missing,missing
SRR18592148,41253606,12376081800,150,3613,SRX14720807,GSM6008518,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482988,SAMN27282935,simple,4932,Saccharomyces cerevisiae,GSM6008518,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,S10min TCL RNA Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,,wild type,glucose (-),missing,missing
SRR18592147,443097774,132929332200,150,47327,SRX14720808,GSM6008519,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP367403,PRJNA822924,,"",SRS12482986,SAMN27282934,simple,4932,Saccharomyces cerevisiae,GSM6008519,The Australian National University,SRA1400082,03,2024,Sneddon,Liquid yeast culture with OD600 0.6-0.8,CTR TP RNA Rep1,Liquid yeast culture with OD600 0.6-0.8,BY4741,,wild type,glucose (+),missing,missing
