Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR2503626,118152398,6025772298,51,3831,SRX1281609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086979,SAMN04108352,simple,10090,Mus musculus,GSM1891958,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-siGFP,R1 mESC,embryonic stem cell,GSM1891958
SRR2503628,135397922,6905294022,51,4355,SRX1281610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086978,SAMN04108353,simple,10090,Mus musculus,GSM1891959,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-siNC,R1 mESC,embryonic stem cell,GSM1891959
SRR2503629,119453722,6092139822,51,3882,SRX1281611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086977,SAMN04108354,simple,10090,Mus musculus,GSM1891960,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-Lipo,R1 mESC,embryonic stem cell,GSM1891960
SRR2503631,103688685,5288122935,51,3362,SRX1281612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086976,SAMN04108355,simple,10090,Mus musculus,GSM1891961,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-siKrr1-1,R1 mESC,embryonic stem cell,GSM1891961
SRR2503632,127787429,6517158879,51,4138,SRX1281613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086975,SAMN04108356,simple,10090,Mus musculus,GSM1891962,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-siKrr1-2,R1 mESC,embryonic stem cell,GSM1891962
SRR2503634,118383013,6037533663,51,3826,SRX1281614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086974,SAMN04108357,simple,10090,Mus musculus,GSM1891963,GEO,SRA300759,09,2015,You,R1 mESC,RNAseq-siKrr1-3,R1 mESC,embryonic stem cell,GSM1891963
SRR2503635,139045463,7091318613,51,4776,SRX1281615,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086968,SAMN04108358,simple,10090,Mus musculus,GSM1891964,GEO,SRA300759,09,2015,You,R1 mESC,RPF-siGFP,R1 mESC,embryonic stem cell,GSM1891964
SRR2503637,155394890,7925139390,51,5311,SRX1281616,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086973,SAMN04108359,simple,10090,Mus musculus,GSM1891965,GEO,SRA300759,09,2015,You,R1 mESC,RPF-siNC,R1 mESC,embryonic stem cell,GSM1891965
SRR2503638,138097882,7042991982,51,4744,SRX1281617,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086972,SAMN04108360,simple,10090,Mus musculus,GSM1891966,GEO,SRA300759,09,2015,You,R1 mESC,RPF-Lipo,R1 mESC,embryonic stem cell,GSM1891966
SRR2503640,138133889,7044828339,51,4760,SRX1281618,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086969,SAMN04108361,simple,10090,Mus musculus,GSM1891967,GEO,SRA300759,09,2015,You,R1 mESC,RPF-siKrr1-1,R1 mESC,embryonic stem cell,GSM1891967
SRR2503641,141800809,7231841259,51,4888,SRX1281619,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086971,SAMN04108363,simple,10090,Mus musculus,GSM1891968,GEO,SRA300759,09,2015,You,R1 mESC,RPF-siKrr1-2,R1 mESC,embryonic stem cell,GSM1891968
SRR2503643,155411218,7925972118,51,5277,SRX1281620,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP064129,PRJNA296812,26443847,"",SRS1086970,SAMN04108364,simple,10090,Mus musculus,GSM1891969,GEO,SRA300759,09,2015,You,R1 mESC,RPF-siKrr1-3,R1 mESC,embryonic stem cell,GSM1891969
