Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,dev_stage,geo_loc_name,tissue,sex,replicate,Single-end/Pair-end,BioSampleModel
SRR25548094,114312019,5829912969,51,2125,SRX21277336,fzt1-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528757,SAMN36466196,simple,4577,Zea mays,fzt1-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",fzt1-Riboseq,fuzzytassel (dicer-like1),A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 1 of fuzzytassel mutant,SR,Plant
SRR25548093,127645155,6509902905,51,2393,SRX21277337,fzt2-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528758,SAMN36466197,simple,4577,Zea mays,fzt2-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",fzt2-Riboseq,fuzzytassel (dicer-like1),A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 2 of fuzzytassel mutant,SR,Plant
SRR25548092,69873988,21101944376,151,6374,SRX21277338,fzt3-RNAseq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP453694,PRJNA1002596,38963711,"",SRS18528759,SAMN36466206,simple,4577,Zea mays,fzt3-RNAseq_R1,East Carolina University,SRA1687188,07,2024,Yang,"",fzt3-RNAseq_R1,fuzzytassel (dicer-like1),A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,RNAseq biological replicate 3 of fuzzytassel mutant,PE_R1,Plant
SRR25548091,87845434,26529321068,151,7872,SRX21277339,N1-RNAseq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP453694,PRJNA1002596,38963711,"",SRS18528760,SAMN36466208,simple,4577,Zea mays,N1-RNAseq_R1,East Carolina University,SRA1687188,07,2024,Yang,"",N1-RNAseq_R1,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,RNAseq biological replicate 1 of normal siblings,PE_R1,Plant
SRR25548090,80784002,24396768604,151,7305,SRX21277340,N2-RNAseq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP453694,PRJNA1002596,38963711,"",SRS18528761,SAMN36466210,simple,4577,Zea mays,N2-RNAseq_R1,East Carolina University,SRA1687188,07,2024,Yang,"",N2-RNAseq_R1,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,RNAseq biological replicate 2 of normal siblings,PE_R1,Plant
SRR25548089,78371525,23668200550,151,7058,SRX21277341,N3-RNAseq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP453694,PRJNA1002596,38963711,"",SRS18528762,SAMN36466212,simple,4577,Zea mays,N3-RNAseq_R1,East Carolina University,SRA1687188,07,2024,Yang,"",N3-RNAseq_R1,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,RNAseq biological replicate 3 of normal siblings,PE_R1,Plant
SRR25548088,125368502,6393793602,51,2314,SRX21277342,fzt3-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528763,SAMN36466198,simple,4577,Zea mays,fzt3-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",fzt3-Riboseq,fuzzytassel (dicer-like1),A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 3 of fuzzytassel mutant,SR,Plant
SRR25548087,109913626,5605594926,51,2004,SRX21277343,N1-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528764,SAMN36466199,simple,4577,Zea mays,N1-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",N1-Riboseq,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 1 of normal siblings,SR,Plant
SRR25548086,160316355,8176134105,51,2891,SRX21277344,N2-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528765,SAMN36466200,simple,4577,Zea mays,N2-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",N2-Riboseq,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 2 of normal siblings,SR,Plant
SRR25548085,117006415,5967327165,51,2116,SRX21277345,N3-Riboseq,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP453694,PRJNA1002596,38963711,"",SRS18528766,SAMN36466201,simple,4577,Zea mays,N3-Riboseq,East Carolina University,SRA1687188,07,2024,Yang,"",N3-Riboseq,normal siblings,A619,A619,~4 weeks after planting,"USA: Greenville, NC",tassel primordia,male,Riboseq biological replicate 3 of normal siblings,SR,Plant
