Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,geo_loc_name,collection_date
SRR31074210,6561787,662740487,101,400,SRX26457662,GSM8586928,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972735,SAMN44381105,simple,6239,Caenorhabditis elegans,GSM8586928,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq rps-23 (0)/tmc5 4 days old , L4 stage, rpelicate 1",whole body,whole body,rps-23 (0)/tmc5,missing,missing
SRR31074209,8459422,854401622,101,506,SRX26457663,GSM8586929,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972736,SAMN44381104,simple,6239,Caenorhabditis elegans,GSM8586929,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq wild-type/tmc5, 3 days old L4 stagee, , rpelicate 1",whole body,whole body,wild-type/tmc5,missing,missing
SRR31074208,8075728,815648528,101,484,SRX26457664,GSM8586930,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972737,SAMN44381103,simple,6239,Caenorhabditis elegans,GSM8586930,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq wild-type/tmc5, 4 days old pre-gravid adult, , rpelicate 1",whole body,whole body,wild-type/tmc5,missing,missing
SRR31074207,6658969,672555869,101,398,SRX26457665,GSM8586931,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972738,SAMN44381102,simple,6239,Caenorhabditis elegans,GSM8586931,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq rps-10(0)/tmc20, 4 days old L4 stage, , rpelicate 1",whole body,whole body,rps-10(0)/tmc20,missing,missing
SRR31074206,7851918,793043718,101,469,SRX26457666,GSM8586932,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972739,SAMN44381101,simple,6239,Caenorhabditis elegans,GSM8586932,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq wild-type/tmc20, 3 days old, L4 stage, , rpelicate 1",whole body,whole body,wild-type/tmc20,missing,missing
SRR31074205,6806324,687438724,101,413,SRX26457667,GSM8586933,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972740,SAMN44381100,simple,6239,Caenorhabditis elegans,GSM8586933,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq wild-type/tmc20, 4 days old pregravid adult, , rpelicate 1",whole body,whole body,wild-type/tmc20,missing,missing
SRR31074204,12225786,1833867900,150,665,SRX26457668,GSM8586934,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972741,SAMN44381099,simple,6239,Caenorhabditis elegans,GSM8586934,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, wild-type/tmc20, 3 days old L4 stage, replicate 2",whole body,whole body,wild-type/tmc20,missing,missing
SRR31074203,16132797,2419919550,150,865,SRX26457669,GSM8586935,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972742,SAMN44381098,simple,6239,Caenorhabditis elegans,GSM8586935,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, wild-type/tmc20, 4 days old, pregravid adults, replicate 2",whole body,whole body,wild-type/tmc20,missing,missing
SRR31074202,12385476,1857821400,150,670,SRX26457670,GSM8586936,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972743,SAMN44381097,simple,6239,Caenorhabditis elegans,GSM8586936,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, wild-type/mc6, 3 days old, L4 stage, replicate 1",whole body,whole body,wild-type/mc6,missing,missing
SRR31074201,15380888,2307133200,150,836,SRX26457671,GSM8586937,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972744,SAMN44381096,simple,6239,Caenorhabditis elegans,GSM8586937,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, wild-type/mc6, 4 days old, pregravid adults, replicate 1",whole body,whole body,wild-type/mc6,missing,missing
SRR31074200,14825122,2223768300,150,793,SRX26457672,GSM8586938,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972745,SAMN44381095,simple,6239,Caenorhabditis elegans,GSM8586938,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, rps-10(0)/tmc20, 4 days old, L4 stage, replicate 2",whole body,whole body,rps-10(0)/tmc20,missing,missing
SRR31074199,13074419,1961162850,150,709,SRX26457673,GSM8586939,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP540207,PRJNA1176138,,"",SRS22972746,SAMN44381094,simple,6239,Caenorhabditis elegans,GSM8586939,University of Texas at Austin,SRA1995218,10,2024,SARINAY CENIK,whole body,"Ribo-Seq, rpl-33(0)/mc6, 4 days old, L4 stage, replicate 1",whole body,whole body,rpl-33(0)/mc6,missing,missing
