Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,infection,translation inhibitor,fraction,geo_loc_name,collection_date
SRR27450743,73210499,7467470898,51,2232,SRX23122360,GSM8005236,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075911,SAMN39287366,simple,9606,Homo sapiens,GSM8005236,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells,01_uninfected_rep1,human cells,MRC-5,wild type,NA,NA,ribodepleted RNA,missing,missing
SRR27450742,78702189,8027623278,51,2404,SRX23122361,GSM8005237,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075910,SAMN39287365,simple,9606,Homo sapiens,GSM8005237,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,02_OC43_3hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450741,65527532,6683808264,51,2010,SRX23122362,GSM8005238,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075912,SAMN39287364,simple,9606,Homo sapiens,GSM8005238,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,03_OC43_6hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
SRR27450740,191297812,13773442464,72,4575,SRX23122363,GSM8005296,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075913,SAMN39287306,simple,9606,Homo sapiens,GSM8005296,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,61_OC43_6hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450681,45522947,3277652184,72,1072,SRX23122364,GSM8005297,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075914,SAMN39287305,simple,9606,Homo sapiens,GSM8005297,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,62_OC43_6hpi_HAR_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,"8 µg/mL harringtonine for 10 min, then 0.1 mg/mL cycloheximide in lysis buffer",ribosome protected fragments,missing,missing
SRR27450739,65298207,4701470904,72,1547,SRX23122365,GSM8005298,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075915,SAMN39287304,simple,9606,Homo sapiens,GSM8005298,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,63_OC43_12hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450738,55206370,3974858640,72,1312,SRX23122366,GSM8005299,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075916,SAMN39287303,simple,9606,Homo sapiens,GSM8005299,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,64_OC43_18hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450737,129667007,9336024504,72,3083,SRX23122367,GSM8005300,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075918,SAMN39287302,simple,9606,Homo sapiens,GSM8005300,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,65_OC43_24hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450736,77460905,5577185160,72,1828,SRX23122368,GSM8005301,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075917,SAMN39287301,simple,9606,Homo sapiens,GSM8005301,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,66_OC43_30hpi_CHX_rep3,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,0.1 mg/mL cycloheximide in lysis buffer,ribosome protected fragments,missing,missing
SRR27450735,61427326,6265587252,51,1888,SRX23122369,GSM8005239,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP482325,PRJNA1062064,,"",SRS20075919,SAMN39287363,simple,9606,Homo sapiens,GSM8005239,"Tollervey Lab, Wellcome Trust Centre for Cell Biology, University of Edinburgh",SRA1781034,01,2024,Dunn-Davies,human cells infected with HCoV-OC43,04_OC43_9hpi_rep1,human cells infected with HCoV-OC43,MRC-5,wild type,HCoV-OC43,NA,ribodepleted RNA,missing,missing
