Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,gap_accession,submitter handle,biospecimen repository,study name,study design,biospecimen repository sample id,submitted sample id,submitted subject id,gap_sample_id,gap_subject_id,body site,histological type,analyte type,is tumor,gap_consent_code,gap_consent_short_name,alignment_software
SRR26827030,15923660,2388549000,150,851,SRX22383385,20220219_BCH111_JP9716_S28_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429618,SAMN38052107,simple,9606,Homo sapiens,20220219_BCH111_JP9716_S28_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH111_JP9716_S28_R1_001.fastq.gz,20220219_BCH111_JP9716_S28_R1_001.fastq.gz,Tissue_5,5685007,4644284,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827031,15923660,2388549000,150,876,SRX22383386,20220219_BCH111_JP9716_S28_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429620,SAMN38052084,simple,9606,Homo sapiens,20220219_BCH111_JP9716_S28_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH111_JP9716_S28_R2_001.fastq.gz,20220219_BCH111_JP9716_S28_R2_001.fastq.gz,Tissue_5,5685008,4644284,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827032,47570432,7135564800,150,2403,SRX22383387,20220219_BCH131_JP9716_S51_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429619,SAMN38052094,simple,9606,Homo sapiens,20220219_BCH131_JP9716_S51_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH131_JP9716_S51_R1_001.fastq.gz,20220219_BCH131_JP9716_S51_R1_001.fastq.gz,Tissue_6,5685009,4644285,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827033,47570432,7135564800,150,2488,SRX22383388,20220219_BCH131_JP9716_S51_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429621,SAMN38052090,simple,9606,Homo sapiens,20220219_BCH131_JP9716_S51_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH131_JP9716_S51_R2_001.fastq.gz,20220219_BCH131_JP9716_S51_R2_001.fastq.gz,Tissue_6,5685010,4644285,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827034,42919644,6437946600,150,2253,SRX22383389,20220219_BCH151_JP9716_S25_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429622,SAMN38052114,simple,9606,Homo sapiens,20220219_BCH151_JP9716_S25_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH151_JP9716_S25_R1_001.fastq.gz,20220219_BCH151_JP9716_S25_R1_001.fastq.gz,Tissue_7,5685011,4644286,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827035,42919644,6437946600,150,2349,SRX22383390,20220219_BCH151_JP9716_S25_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429623,SAMN38052120,simple,9606,Homo sapiens,20220219_BCH151_JP9716_S25_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH151_JP9716_S25_R2_001.fastq.gz,20220219_BCH151_JP9716_S25_R2_001.fastq.gz,Tissue_7,5685012,4644286,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827036,27994276,4199141400,150,1429,SRX22383391,20220219_BCH152_JP9716_S52_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429624,SAMN38052083,simple,9606,Homo sapiens,20220219_BCH152_JP9716_S52_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH152_JP9716_S52_R1_001.fastq.gz,20220219_BCH152_JP9716_S52_R1_001.fastq.gz,Tissue_8,5685013,4644287,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827037,27994276,4199141400,150,1496,SRX22383392,20220219_BCH152_JP9716_S52_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429625,SAMN38052081,simple,9606,Homo sapiens,20220219_BCH152_JP9716_S52_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH152_JP9716_S52_R2_001.fastq.gz,20220219_BCH152_JP9716_S52_R2_001.fastq.gz,Tissue_8,5685014,4644287,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827038,25926590,3888988500,150,1388,SRX22383393,20220219_BCH161_JP9716_S15_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429626,SAMN38052101,simple,9606,Homo sapiens,20220219_BCH161_JP9716_S15_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH161_JP9716_S15_R1_001.fastq.gz,20220219_BCH161_JP9716_S15_R1_001.fastq.gz,Tissue_11,5685015,4644274,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827039,25926590,3888988500,150,1441,SRX22383394,20220219_BCH161_JP9716_S15_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429627,SAMN38052117,simple,9606,Homo sapiens,20220219_BCH161_JP9716_S15_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH161_JP9716_S15_R2_001.fastq.gz,20220219_BCH161_JP9716_S15_R2_001.fastq.gz,Tissue_11,5685016,4644274,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827040,31136691,4670503650,150,1614,SRX22383395,20220219_BCH162_JP9716_S50_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429628,SAMN38052115,simple,9606,Homo sapiens,20220219_BCH162_JP9716_S50_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH162_JP9716_S50_R1_001.fastq.gz,20220219_BCH162_JP9716_S50_R1_001.fastq.gz,Tissue_12,5685017,4644275,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827041,31136691,4670503650,150,1656,SRX22383396,20220219_BCH162_JP9716_S50_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429629,SAMN38052088,simple,9606,Homo sapiens,20220219_BCH162_JP9716_S50_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH162_JP9716_S50_R2_001.fastq.gz,20220219_BCH162_JP9716_S50_R2_001.fastq.gz,Tissue_12,5685018,4644275,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827042,23898555,3584783250,150,1270,SRX22383397,20220219_BCH171_JP9716_S14_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429630,SAMN38052087,simple,9606,Homo sapiens,20220219_BCH171_JP9716_S14_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH171_JP9716_S14_R1_001.fastq.gz,20220219_BCH171_JP9716_S14_R1_001.fastq.gz,Tissue_14,5685019,4644277,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827043,23898555,3584783250,150,1316,SRX22383398,20220219_BCH171_JP9716_S14_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429631,SAMN38052111,simple,9606,Homo sapiens,20220219_BCH171_JP9716_S14_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH171_JP9716_S14_R2_001.fastq.gz,20220219_BCH171_JP9716_S14_R2_001.fastq.gz,Tissue_14,5685020,4644277,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827044,21753115,3262967250,150,1156,SRX22383399,20220219_BCH172_JP9716_S19_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429632,SAMN38052099,simple,9606,Homo sapiens,20220219_BCH172_JP9716_S19_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH172_JP9716_S19_R1_001.fastq.gz,20220219_BCH172_JP9716_S19_R1_001.fastq.gz,Tissue_15,5685021,4644278,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827045,21753115,3262967250,150,1223,SRX22383400,20220219_BCH172_JP9716_S19_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429633,SAMN38052082,simple,9606,Homo sapiens,20220219_BCH172_JP9716_S19_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH172_JP9716_S19_R2_001.fastq.gz,20220219_BCH172_JP9716_S19_R2_001.fastq.gz,Tissue_15,5685022,4644278,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827046,20831613,3124741950,150,1113,SRX22383401,20220219_BCH174_JP9716_S13_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429634,SAMN38052112,simple,9606,Homo sapiens,20220219_BCH174_JP9716_S13_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH174_JP9716_S13_R1_001.fastq.gz,20220219_BCH174_JP9716_S13_R1_001.fastq.gz,Tissue_17,5685023,4644280,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827047,20831613,3124741950,150,1134,SRX22383402,20220219_BCH174_JP9716_S13_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429635,SAMN38052092,simple,9606,Homo sapiens,20220219_BCH174_JP9716_S13_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH174_JP9716_S13_R2_001.fastq.gz,20220219_BCH174_JP9716_S13_R2_001.fastq.gz,Tissue_17,5685024,4644280,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827048,30883009,4632451350,150,1599,SRX22383403,20220219_BCH41704t_JP9716_S55_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429636,SAMN38052096,simple,9606,Homo sapiens,20220219_BCH41704t_JP9716_S55_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH41704t_JP9716_S55_R1_001.fastq.gz,20220219_BCH41704t_JP9716_S55_R1_001.fastq.gz,Autopsy_3,5685025,4644270,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827049,30883009,4632451350,150,1672,SRX22383404,20220219_BCH41704t_JP9716_S55_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429637,SAMN38052100,simple,9606,Homo sapiens,20220219_BCH41704t_JP9716_S55_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH41704t_JP9716_S55_R2_001.fastq.gz,20220219_BCH41704t_JP9716_S55_R2_001.fastq.gz,Autopsy_3,5685026,4644270,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827050,34159918,5123987700,150,1766,SRX22383405,20220219_BCH41706t_JP9716_S56_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429638,SAMN38052104,simple,9606,Homo sapiens,20220219_BCH41706t_JP9716_S56_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH41706t_JP9716_S56_R1_001.fastq.gz,20220219_BCH41706t_JP9716_S56_R1_001.fastq.gz,Autopsy_5,5685027,4644272,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827051,34159918,5123987700,150,1787,SRX22383406,20220219_BCH41706t_JP9716_S56_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429639,SAMN38052126,simple,9606,Homo sapiens,20220219_BCH41706t_JP9716_S56_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220219_BCH41706t_JP9716_S56_R2_001.fastq.gz,20220219_BCH41706t_JP9716_S56_R2_001.fastq.gz,Autopsy_5,5685028,4644272,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827052,226554742,11327737100,50,3401,SRX22383407,20220510_BCH151_JP10031_S11_R1_001.fastq.gz,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429640,SAMN38052110,simple,9606,Homo sapiens,20220510_BCH151_JP10031_S11_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor OTHER sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220510_BCH151_JP10031_S11_R1_001.fastq.gz,20220510_BCH151_JP10031_S11_R1_001.fastq.gz,Tissue_7,5685029,4644286,Brain,Medulloblastoma,OTHER,Yes,1,HMB,STAR v2.7.8a
SRR26827053,207681029,10384051450,50,3206,SRX22383408,20220613_BCH151_JP10120_S1_R1_001.fastq.gz,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429641,SAMN38052095,simple,9606,Homo sapiens,20220613_BCH151_JP10120_S1_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor OTHER sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220613_BCH151_JP10120_S1_R1_001.fastq.gz,20220613_BCH151_JP10120_S1_R1_001.fastq.gz,Tissue_7,5685030,4644286,Brain,Medulloblastoma,OTHER,Yes,1,HMB,STAR v2.7.8a
SRR26827054,71159607,10673941050,150,3703,SRX22383409,20220615_BCH154_JP10040_S4_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429643,SAMN38052085,simple,9606,Homo sapiens,20220615_BCH154_JP10040_S4_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220615_BCH154_JP10040_S4_R1_001.fastq.gz,20220615_BCH154_JP10040_S4_R1_001.fastq.gz,Tissue_10,5685031,4644273,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827055,71159607,10673941050,150,3617,SRX22383410,20220615_BCH154_JP10040_S4_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429642,SAMN38052130,simple,9606,Homo sapiens,20220615_BCH154_JP10040_S4_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220615_BCH154_JP10040_S4_R2_001.fastq.gz,20220615_BCH154_JP10040_S4_R2_001.fastq.gz,Tissue_10,5685032,4644273,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
SRR26827056,101438226,15215733900,150,5018,SRX22383411,20220623_BCH41713n_JP10037_S61_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429644,SAMN38052105,simple,9606,Homo sapiens,20220623_BCH41713n_JP10037_S61_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Non-tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220623_BCH41713n_JP10037_S61_R1_001.fastq.gz,20220623_BCH41713n_JP10037_S61_R1_001.fastq.gz,Autopsy_1,5685033,4644268,Brain,Cerebellum,RNA,No,1,HMB,STAR v2.7.8a
SRR26827057,101438226,15215733900,150,4979,SRX22383412,20220623_BCH41713n_JP10037_S61_R2_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429645,SAMN38052103,simple,9606,Homo sapiens,20220623_BCH41713n_JP10037_S61_R2_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Non-tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220623_BCH41713n_JP10037_S61_R2_001.fastq.gz,20220623_BCH41713n_JP10037_S61_R2_001.fastq.gz,Autopsy_1,5685034,4644268,Brain,Cerebellum,RNA,No,1,HMB,STAR v2.7.8a
SRR26827058,108573574,16286036100,150,5400,SRX22383413,20220623_BCH41713t_JP10037_S63_R1_001.fastq.gz,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP470386,PRJNA1028780,,"",SRS19429647,SAMN38052118,simple,9606,Homo sapiens,20220623_BCH41713t_JP10037_S63_R1_001.fastq.gz,NCI-phs003446,SRA1746157,01,2024,"","","Tumor RNA sample from Brain of a human participant in the dbGaP study ""Profiling RNA Translation in Pediatric Medulloblastoma""",phs003446,NCI_RNATranslation_MB,NCI_RNATranslation_MB,Profiling RNA Translation in Pediatric Medulloblastoma,Collection,20220623_BCH41713t_JP10037_S63_R1_001.fastq.gz,20220623_BCH41713t_JP10037_S63_R1_001.fastq.gz,Autopsy_2,5685035,4644269,Brain,Medulloblastoma,RNA,Yes,1,HMB,STAR v2.7.8a
