Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR31433924,53088814,2707529514,51,909,SRX26802766,GSM8644717,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288113,SAMN44857222,simple,9606,Homo sapiens,GSM8644717,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_control_cells_dmso_replica_1,HeLa,HeLa,an immortal human epithelial cell line,wt,DMSO,missing,missing
SRR31433923,42298476,2157222276,51,737,SRX26802767,GSM8644718,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288116,SAMN44857221,simple,9606,Homo sapiens,GSM8644718,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_control_cells_dmso_replica_2,HeLa,HeLa,an immortal human epithelial cell line,wt,DMSO,missing,missing
SRR31433922,30064192,1533273792,51,517,SRX26802768,GSM8644719,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288117,SAMN44857220,simple,9606,Homo sapiens,GSM8644719,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_control_cells_dmso_replica_3,HeLa,HeLa,an immortal human epithelial cell line,wt,DMSO,missing,missing
SRR31433921,44854495,2287579245,51,774,SRX26802769,GSM8644720,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288119,SAMN44857219,simple,9606,Homo sapiens,GSM8644720,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_eIF2A-KO_dmso_replica_1,HeLa,HeLa,an immortal human epithelial cell line,eIF2A-KO,DMSO,missing,missing
SRR31433920,40890649,2085423099,51,709,SRX26802770,GSM8644721,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288120,SAMN44857218,simple,9606,Homo sapiens,GSM8644721,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_eIF2A-KO_dmso_replica_2,HeLa,HeLa,an immortal human epithelial cell line,eIF2A-KO,DMSO,missing,missing
SRR31433919,62766920,3201112920,51,1087,SRX26802771,GSM8644722,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288118,SAMN44857217,simple,9606,Homo sapiens,GSM8644722,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_eIF2A-KO_dmso_replica_3,HeLa,HeLa,an immortal human epithelial cell line,eIF2A-KO,DMSO,missing,missing
SRR31433918,85573554,4364251254,51,1732,SRX26802772,GSM8644723,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288123,SAMN44857216,simple,9606,Homo sapiens,GSM8644723,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_control_cells_TM_replica_1,HeLa,HeLa,an immortal human epithelial cell line,wt,Tunicamycin 1µg/ml 16 hours,missing,missing
SRR31433917,80281882,4094375982,51,1658,SRX26802773,GSM8644724,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288122,SAMN44857215,simple,9606,Homo sapiens,GSM8644724,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_control_cells_TM_replica_2,HeLa,HeLa,an immortal human epithelial cell line,wt,Tunicamycin 1µg/ml 16 hours,missing,missing
SRR31433916,103393232,5273054832,51,2129,SRX26802774,GSM8644725,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288121,SAMN44857214,simple,9606,Homo sapiens,GSM8644725,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_eIF2A-KO_TM_replica_1,HeLa,HeLa,an immortal human epithelial cell line,eIF2A-KO,Tunicamycin 1µg/ml 16 hours,missing,missing
SRR31433915,107382404,5476502604,51,2184,SRX26802775,GSM8644726,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP546775,PRJNA1189055,,"",SRS23288125,SAMN44857213,simple,9606,Homo sapiens,GSM8644726,DKFZ,SRA2018935,11,2024,Roiuk,HeLa,Riboseq_HeLa_eIF2A-KO_TM_replica_2,HeLa,HeLa,an immortal human epithelial cell line,eIF2A-KO,Tunicamycin 1µg/ml 16 hours,missing,missing
