Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,geo_loc_name,collection_date
SRR29438725,100206359,30061907700,150,9516,SRX24951251,GSM8333820,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654962,SAMN41879473,simple,30521,Bos grunniens,GSM8333820,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y6M-1,yak,testis,Juvenile stage,missing,missing
SRR29438724,120533536,36160060800,150,11538,SRX24951252,GSM8333821,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654963,SAMN41879472,simple,30521,Bos grunniens,GSM8333821,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y6M-2,yak,testis,Juvenile stage,missing,missing
SRR29438723,112863035,33858910500,150,10565,SRX24951253,GSM8333822,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654964,SAMN41879471,simple,30521,Bos grunniens,GSM8333822,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y6M-3,yak,testis,Juvenile stage,missing,missing
SRR29438722,97720361,29316108300,150,9307,SRX24951254,GSM8333823,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654965,SAMN41879470,simple,30521,Bos grunniens,GSM8333823,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y18M-1,yak,testis,puberty,missing,missing
SRR29438721,101691108,30507332400,150,9743,SRX24951255,GSM8333824,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654966,SAMN41879469,simple,30521,Bos grunniens,GSM8333824,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y18M-2,yak,testis,puberty,missing,missing
SRR29438720,107508015,32252404500,150,10051,SRX24951256,GSM8333825,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654967,SAMN41879468,simple,30521,Bos grunniens,GSM8333825,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y18M-3,yak,testis,puberty,missing,missing
SRR29438719,98501992,29550597600,150,9278,SRX24951257,GSM8333826,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654968,SAMN41879467,simple,30521,Bos grunniens,GSM8333826,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y4Y-1,yak,testis,sexual maturity,missing,missing
SRR29438718,103662186,31098655800,150,9617,SRX24951258,GSM8333827,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654969,SAMN41879466,simple,30521,Bos grunniens,GSM8333827,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y4Y-2,yak,testis,sexual maturity,missing,missing
SRR29438717,98525590,29557677000,150,9486,SRX24951259,GSM8333828,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654970,SAMN41879465,simple,30521,Bos grunniens,GSM8333828,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,yak,Y4Y-3,yak,testis,sexual maturity,missing,missing
SRR29438716,133420645,40026193500,150,12658,SRX24951260,GSM8333829,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654971,SAMN41879464,simple,331036,Bos grunniens x Bos taurus,GSM8333829,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,cattle-yak,CY-1,cattle-yak,testis,sexual maturity,missing,missing
SRR29438715,111697528,33509258400,150,10509,SRX24951261,GSM8333830,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654972,SAMN41879463,simple,331036,Bos grunniens x Bos taurus,GSM8333830,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,cattle-yak,CY-2,cattle-yak,testis,sexual maturity,missing,missing
SRR29438714,115711586,34713475800,150,11234,SRX24951262,GSM8333831,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP514394,PRJNA1124923,,"",SRS21654973,SAMN41879462,simple,331036,Bos grunniens x Bos taurus,GSM8333831,"Lanzhou institute of husbandry and pharmaceutical sciences, Chinese Academy of Agricultural Sciences",SRA1904884,08,2024,guo,cattle-yak,CY-3,cattle-yak,testis,sexual maturity,missing,missing
