Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,sample type,geo_loc_name,collection_date
SRR23176625,44360800,3484466564,39,1127,SRX19127036,GSM6948129,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526427,SAMN32851237,simple,9606,Homo sapiens,GSM6948129,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_input_1,HEK293T,HEK293T,WT,Input,missing,missing
SRR23176624,60873701,4726175729,38,1540,SRX19127037,GSM6948130,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526157,SAMN32851236,simple,9606,Homo sapiens,GSM6948130,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_input_2,HEK293T,HEK293T,WT,Input,missing,missing
SRR23176623,78918544,6257603895,39,2021,SRX19127038,GSM6948131,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526158,SAMN32851235,simple,9606,Homo sapiens,GSM6948131,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_input_3,HEK293T,HEK293T,WT,Input,missing,missing
SRR23176622,64936172,5213255258,40,1668,SRX19127039,GSM6948132,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526159,SAMN32851234,simple,9606,Homo sapiens,GSM6948132,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,"M2,6KO_input_1",HEK293T,HEK293T,METTL2A/2B and METTL6 KO,Input,missing,missing
SRR23176621,7118368,569464935,39,184,SRX19127040,GSM6948133,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526160,SAMN32851233,simple,9606,Homo sapiens,GSM6948133,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,"M2,6KO_input_2",HEK293T,HEK293T,METTL2A/2B and METTL6 KO,Input,missing,missing
SRR23176620,6269541,498940780,39,159,SRX19127041,GSM6948134,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526161,SAMN32851232,simple,9606,Homo sapiens,GSM6948134,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,"M2,6KO_input_3",HEK293T,HEK293T,METTL2A/2B and METTL6 KO,Input,missing,missing
SRR23176619,48762654,1641705106,33,632,SRX19127042,GSM6948135,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526162,SAMN32851231,simple,9606,Homo sapiens,GSM6948135,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_RPF_1,HEK293T,HEK293T,WT,RPF,missing,missing
SRR23176618,53863772,1844248147,34,704,SRX19127043,GSM6948136,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526163,SAMN32851230,simple,9606,Homo sapiens,GSM6948136,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_RPF_2,HEK293T,HEK293T,WT,RPF,missing,missing
SRR23176617,50528360,1763610214,34,646,SRX19127044,GSM6948137,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526165,SAMN32851229,simple,9606,Homo sapiens,GSM6948137,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,WT_RPF_3,HEK293T,HEK293T,WT,RPF,missing,missing
SRR23176616,115754249,3975314687,34,1488,SRX19127045,GSM6948138,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526164,SAMN32851228,simple,9606,Homo sapiens,GSM6948138,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,"M2,6KO_RPF_1",HEK293T,HEK293T,METTL2A/2B and METTL6 KO,RPF,missing,missing
SRR23176615,114997428,3983307992,34,1477,SRX19127046,GSM6948139,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418556,PRJNA926112,38982125,"",SRS16526166,SAMN32851227,simple,9606,Homo sapiens,GSM6948139,Boston Children's Hospital,SRA1577973,07,2024,Cui,HEK293T,"M2,6KO_RPF_2",HEK293T,HEK293T,METTL2A/2B and METTL6 KO,RPF,missing,missing
