Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,ip,geo_loc_name,collection_date
SRR27641094,99309564,12910243320,130,4395,SRX23309204,GSM8024599,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185629,SAMN39500015,simple,9606,Homo sapiens,GSM8024599,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA D12 rep 1,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,HA,missing,missing
SRR27641093,77330826,10053007380,130,3215,SRX23309205,GSM8024600,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185628,SAMN39500014,simple,9606,Homo sapiens,GSM8024600,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA D12 rep 2,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,HA,missing,missing
SRR27641092,68310892,8880415960,130,2812,SRX23309206,GSM8024601,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185630,SAMN39500013,simple,9606,Homo sapiens,GSM8024601,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA D12 rep 3,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,HA,missing,missing
SRR27641091,73915167,9608971710,130,3299,SRX23309207,GSM8024602,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185633,SAMN39500012,simple,9606,Homo sapiens,GSM8024602,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA DMSO rep 1,HEK 293T,HEK 293T,WT,DMSO 1hr,HA,missing,missing
SRR27641090,93566935,12163701550,130,3859,SRX23309208,GSM8024603,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185631,SAMN39500011,simple,9606,Homo sapiens,GSM8024603,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA DMSO rep 2,HEK 293T,HEK 293T,WT,DMSO 1hr,HA,missing,missing
SRR27641089,71263868,9264302840,130,2959,SRX23309209,GSM8024604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185632,SAMN39500010,simple,9606,Homo sapiens,GSM8024604,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF1HA DMSO rep 3,HEK 293T,HEK 293T,WT,DMSO 1hr,HA,missing,missing
SRR27641088,112303611,14599469430,130,4606,SRX23309210,GSM8024605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185634,SAMN39500009,simple,9606,Homo sapiens,GSM8024605,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 D12 rep 1,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,eIF4G1,missing,missing
SRR27641087,45033405,5854342650,130,1879,SRX23309211,GSM8024606,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185635,SAMN39500008,simple,9606,Homo sapiens,GSM8024606,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 D12 rep 2,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,eIF4G1,missing,missing
SRR27641086,93416925,12144200250,130,3989,SRX23309212,GSM8024607,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185637,SAMN39500007,simple,9606,Homo sapiens,GSM8024607,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 D12 rep 3,HEK 293T,HEK 293T,WT,i14G1-12 1hr 5 µM,eIF4G1,missing,missing
SRR27641085,83477057,10852017410,130,3473,SRX23309213,GSM8024608,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP484690,PRJNA1066716,,"",SRS20185638,SAMN39500006,simple,9606,Homo sapiens,GSM8024608,Weizmann Institute of Science,SRA1788634,03,2024,Schreiber,HEK 293T,Sel-eIF4G1 DMSO rep 1,HEK 293T,HEK 293T,WT,DMSO 1hr,eIF4G1,missing,missing
