Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,sex,tissue,biomaterial_provider,cell_type,transduced_transgenes,experimental_replicate,data_type,BioSampleModel
SRR31337398,221617238,22383341038,101,7469,SRX26714645,11412-AG-1_AGTCAA_S13,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205666,SAMN44723672,simple,10090,Mus musculus,Ribo-seq_GFP_dTom_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP +dTomato,replicate1,Ribo-seq,Model organism or animal
SRR31337397,233828179,23616646079,101,7984,SRX26714646,11412-AG-1_AGTTCC_S14,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205667,SAMN44723673,simple,10090,Mus musculus,Ribo-seq_GFP_dTom_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP +dTomato,replicate2,Ribo-seq,Model organism or animal
SRR31337396,221530399,22374570299,101,7539,SRX26714647,11412-AG-1_GAGTGG_S23,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205668,SAMN44723682,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_AKT_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate2,Ribo-seq,Model organism or animal
SRR31337395,304714226,30776136826,101,10350,SRX26714648,11412-AG-1_GGTAGC_S24,Ribo-seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205669,SAMN44723683,simple,10090,Mus musculus,Ribo-seq_METTL1-CD_AKT_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,METTL1-CD+AKT,replicate3,Ribo-seq,Model organism or animal
SRR31337394,93889879,28354743458,151,8460,SRX26714649,11142-AG-60_S93,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205670,SAMN44723684,simple,10090,Mus musculus,RNA-seq_GFP_dTom_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+dTomato,replicate1,RNA-seq,Model organism or animal
SRR31337393,83469951,25207925202,151,7561,SRX26714650,11142-AG-61_S94,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205671,SAMN44723685,simple,10090,Mus musculus,RNA-seq_GFP_dTom_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+dTomato,replicate2,RNA-seq,Model organism or animal
SRR31337392,94766855,28619590210,151,8475,SRX26714651,11142-AG-62_S95,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205672,SAMN44723686,simple,10090,Mus musculus,RNA-seq_GFP_dTom_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+dTomato,replicate3,RNA-seq,Model organism or animal
SRR31337391,99700833,30109651566,151,8907,SRX26714652,11142-AG-63_S96,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205673,SAMN44723687,simple,10090,Mus musculus,RNA-seq_GFP_AKT_1,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate1,RNA-seq,Model organism or animal
SRR31337390,88166448,26626267296,151,8004,SRX26714653,11142-AG-64_S97,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205674,SAMN44723688,simple,10090,Mus musculus,RNA-seq_GFP_AKT_2,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate2,RNA-seq,Model organism or animal
SRR31337389,89065868,26897892136,151,8000,SRX26714654,11142-AG-65_S98,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP545061,PRJNA1185761,,"",SRS23205675,SAMN44723689,simple,10090,Mus musculus,RNA-seq_GFP_AKT_3,St. Jude Children's Research Hospital,SRA2014489,12,2024,Gutierrez,"","",unknown,not applicable,laboratory mouse,not applicable,not applicable,not determined,embryo,2024-08-19,not applicable,not determined,Fibroblast,ATCC_catalog_number_CRL-2991,Mouse embryonic fibroblasts,EGFP+AKT,replicate3,RNA-seq,Model organism or animal
