Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date,genotype,cell type
SRR26069896,399857,20392707,51,7,SRX21785622,GSM7783169,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888147,SAMN37408073,simple,9606,Homo sapiens,GSM7783169,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 % DMSO, 30 min, rep1",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 30 min",missing,missing,,
SRR26069895,50711,2586261,51,1,SRX21785623,GSM7783170,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888149,SAMN37408072,simple,9606,Homo sapiens,GSM7783170,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 % DMSO, 30 min, rep2",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 30 min",missing,missing,WT,
SRR26069894,82340,4199340,51,2,SRX21785624,GSM7783171,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888148,SAMN37408071,simple,9606,Homo sapiens,GSM7783171,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.01 μM DMDA-PatA, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.01 microM DMDA-PatA, 30 min",missing,missing,WT,
SRR26069893,17124,873324,51,0,SRX21785625,GSM7783172,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888150,SAMN37408070,simple,9606,Homo sapiens,GSM7783172,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 μM DMDA-PatA, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 microM DMDA-PatA, 30 min",missing,missing,WT,
SRR26069892,327866,16721166,51,7,SRX21785626,GSM7783173,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888151,SAMN37408069,simple,9606,Homo sapiens,GSM7783173,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 1 μM San, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"1 microM San, 30 min",missing,missing,WT,
SRR26069891,388096,19792896,51,7,SRX21785627,GSM7783174,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888152,SAMN37408068,simple,9606,Homo sapiens,GSM7783174,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 20 μM SAN, 30 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"20 microM San, 30 min",missing,missing,WT,
SRR26069890,31479823,920906066,29,1041,SRX21785628,GSM7783175,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888153,SAMN37408067,simple,9606,Homo sapiens,GSM7783175,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 % DMSO, 15 min, rep1",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 15 min",missing,missing,WT,
SRR26069889,15926971,467925965,29,527,SRX21785629,GSM7783176,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888154,SAMN37408066,simple,9606,Homo sapiens,GSM7783176,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 % DMSO, 15 min, rep2",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 percent DMSO, 15 min",missing,missing,WT,
SRR26069888,45413493,1351736545,29,1498,SRX21785630,GSM7783177,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888155,SAMN37408065,simple,9606,Homo sapiens,GSM7783177,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 0.1 μM Hipp, 15 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"0.1 microM Hipp, 15 min",missing,missing,WT,
SRR26069887,42359440,1278545002,30,1399,SRX21785631,GSM7783178,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP460734,PRJNA1017801,,"",SRS18888156,SAMN37408064,simple,9606,Homo sapiens,GSM7783178,"RNA Systems Biochemistry Laboratory, Cluster for Pioneering Research, RIKEN",SRA1713018,07,2024,Iwasaki,HEK293 Flp-In T-Rex,"ribosome profiling, 1 μM Hipp, 15 min",HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,"1 microM Hipp, 15 min",missing,missing,WT,
